XFTU	SFTU	SFRC	SFNC	SFRN
Fip1l1			Aqp2	Glyr1
Ilf2	Sox10	Cnga2	Rac3	Clec4g
Ndufa1	Snrpd2	Mlana	Myl3	Mkl1
	AW551984	Rps9	Got2	St8sia4
2310045N01Rik	Mlana	Apoa2	Pfas	Pnliprp1
3230401D17Rik	Apoa2	Chmp7	Lage3	Osbpl11
Casp14	Tmem104	Ints9	Inpp5k	Trim32
D3Ertd751e		Slc22a1	Gna13	Shfm1
Pam16		Gsdmc	Ccdc124	Vmn1r59
Sox13	Xpa	Sun5	Snca	Errfi1
Abpe	Snf8	Lrp5	Dph3b-ps	Adamts8
Actb	Rasgrp4	Col6a6	Snf8	Il20rb
Apeh	Guk1		Srp54c	Coch
Crabp2	Triap1	Dph3b-ps	Gm1332	Fam113a
Eif3j			Ngfrap1	Ppp1cb
Srgap2	Tnni3k	Cplx2	Snrpd2	Cox6a2
Rps2	Stk40	Brpf1	Unc79	Polr2k
0610010K14Rik	Gemin7	Rnf25	Zglp1	1700125D06Rik
Slc9a3r2	Ngfrap1	Dio1		Tmem204
Anp32a	Ghrh	Tcfap2d	Skp1a	Gm684
Sepw1	Sart1	Igf1	Dkkl1	Gm2016
Ciz1	Xlr5a			Tceal8
Nck2		Tox4	Rxrg	
		Zfp707	Vasp	Cacng8
Dkkl1	Slc28a3	Gm13375	C130074G19Rik	Eml2
Car7	Cox5a		Cym	Car6
H2afx	3110062M04Rik	Adck5	Chmp7	Gmfg
Sctr	4933434E20Rik	Mrpl2	Pole4	Dus4l
	Noc4l	Tmem104	Nufip1	Trappc5
Capza2		Mtvr2	D3Ertd751e	Lyz1
Tnni3k	Uts2r	Unc79	Rab5a	Tuba1a
Sun5	Slc4a2	Dnahc17	Trappc6b	Net1
Cetn1	Atp2a3	Chrna2	Mrpl2	Prss21
Dio1	Lrrc2	Gamt	Arhgap12	Spop
Ephx3			Guk1	Lonp2
Sprr1a	Mtvr2	Ilf2	Rasgrp4	Sykb
Ubxn1	Unc79	Trappc6a	Gdpd2	Flad1
Cops3	Sun5	Myl3		Mtap1b
2900010M23Rik	Inpp5a	Rps21	Cstb	Mbnl2
Psmd10		Got2	Gja3	St3gal6
Adam11	Dnahc17	Gorasp2	Arpc3	Nit1
Lair1	Etfb	Acox1	Glyctk	Plb1
Eif3k	Ngf	Stfa3	Rpl4	Itpa
Phc2	1810006K21Rik	Nbl1	Dmwd	Pcdhac1
