IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
Ankrd63	Olig1	Gnaz	Mcm6	Mtmr4
Rps28	Kansl1l	Zfhx4	Wnt7b	Esco1
Tti2	Daam2	Usp2	6330549D23Rik	Rnf149
Guk1	Mif	Arl2bp	Armc2	Znrf3
Filip1	Gde1	Ubap2	Mxra7	Dclk3
Ppif	Gm1976	Smad3	Phf21b	Med12l
Hint1	Rhobtb2	Sema6a	9430015G10Rik	Kcnk2
Tanc1	Dhdh	Pcdh15	Blm	Lrtm2
Fam76b	Pmp22	Sntg1	Vwa1	Gdpd1
Lrrc10b	Uggt2	Kcna6	6030443J06Rik	Tmem59
Cntnap5b	Bdnf	Cald1	Plxnb3	Osbp2
Zfyve27	Dnmt1	Apod	Cdpf1	Hbp1
Emc1	Sertm1	Zbtb20	Smoc2	Eps15l1
Gltp	Ryr3	Elmo2	Uaca	Lcorl
Fez2	Sae1	Tenm4	9430037G07Rik	Flrt1
Sun1	Ccdc3	Mtmr4	Lpcat2	Ccl27a
Rab4a	Srgap1	Tra2b	Chdh	Atg13
Eif2s3y	Gm5523	Esco1	Tprn	Snx30
Dnajb14	Gcnt4	Rnf149	Zfp300	Cdc42bpb
Maneal	Unc5a	Znrf3	Prkch	Jarid2
Acsbg1	Tsc22d3	Dclk3	Rangrf	Klf10
Tmem158	Zswim8	Pcgf3	Rnaseh2c	Grik5
Zfp839	Fam149b	Kcnk2	Lamc2	Nf2
Rbm22	N6amt1	Lrtm2	Kif11	Pcyt1b
Slc31a1	Sun2	Gdpd1	Rmst	Cdyl2
Abhd8	Gpr137c	Osbp2	Cenpe	Rps15
Nln	Gm5643	Hbp1	Pard6a	Psd2
Cxxc1	Mau2	Eps15l1	Tpk1	Fam131b
Lrrc75b	Slc36a4	Mtus1	Smco3	Coro1c
Slc41a2	Kitl	Lcorl	Gm15328	Chmp4b
Zfyve16	Lonrf3	Flrt1	Tirap	Zfp426
Gmcl1	Fam135b	Ddb1	Tmem205	Cds1
Sat1	Zc3hav1l	Ccl27a	Ap5s1	E2f3
Ptch1	Tubb3	Atg13	Gm9958	Vamp3
Msmo1	Rassf3	Snx30	Fgf18	Rasgef1b
Mcur1	Ptcd3	Cdc42bpb	Rgsl1	Slc44a1
Stard3nl	Steap2	Klf10	Map2k3	Ndst3
Socs4	Slc36a1	Pde1b	Pik3cg	Zfp654
Pttg1ip	Dcp1a	Grik5	Mir568	Mpped2
Emd	Akt2	Pcyt1b	AW011738	Spon1
Orai2	Rpn1	Cdyl2	Il18bp	Ccdc25
Tmem70	Camk2n2	Rps15	Pcbd1	Sec61a2
Dpp9	Nr2f2	Psd2	Has3	Ppa1
Dsel	Ccdc136	Fam131b	Podn	Hid1
Plekha8	Rnf144a	Coro1c	Kif26b	Sox2ot
Ndufa8	E2f6	Chmp4b	Ednra	Errfi1
Paqr7	Aff1	Zfp426	D7Ertd443e	Syt6
Cab39l	2610008E11Rik	Cds1	Oasl2	Ccndbp1
Oprd1	Suclg1	E2f3	Harbi1	Atp11a
Fuca2	Brpf3	Lrig2	Aim2	Fkbp4
Gpr12	Wdfy1	Vamp3	Isl1	Inhba
Doc2b	Arhgef26	Rasgef1b	Mapk12	Tmem151b
Trmt61a	Stk35	Scn1b	Txlnb	Pygb
Pex3	Fhod3	Zc3h7b	Cln6	Foxo3
Jup	Elovl5	Slc44a1	Shf	Zfp697
G3bp1	Zfp169	Ndst3	Gm20754	Nrxn2
Cox14	Usp6nl	Ddx3y	Zfp85	Unc13b
Tmem179	Arf2	Mpped2	C130026L21Rik	5031439G07Rik
Lias	9430021M05Rik	Spon1	Itgb5	Elf2
2900052N01Rik	Fgd4	Ccdc25	C030029H02Rik	Asah2
Trnt1	Rogdi	Ubp1	Adpgk	Slain2
Pim2	Smyd2	Sec61a2	Atf5	Apbb1
Glrx3	Tmem41b	Ncor2	Ido1	Ntng1
Cdc16	Sh2d5	Hid1	Cartpt	Traf6
Ftsj3	Arhgap29	Sox2ot	Fst	Hk1
Hax1	Galnt16	Syt6	Rab34	Kdm1a
Cpne9	Mtfp1	Rps2	1700047M11Rik	Jak2
Ndufa6	Npc1	Ccndbp1	Ggh	Sox9
Mpi	Gcnt2	Fkbp4	Sgcd	Fam131a
Erh	Dcaf17	Inhba	Nt5dc1	Lypd1
Usp13	Abcd2	Tmem151b	Izumo4	Cldn25
Rpp25	Fahd1	Foxo3	Atp10b	Rassf2
Ndufa1	Gnpat	Zfp697	Fcer1g	Smad1
C1galt1	Ablim3	Ddx50	Slc22a6	Mtss1
Crcp	Scyl3	Robo1	4933431G14Rik	Smcr8
Pld5	Fam13c	Nrxn2	Adamts16	Kat2a
Dgcr2	Mpp1	Upf3b	Cbln3	Ext1
Stk38	Lrrc55	Unc13b	Pxdc1	Scn4b
Litaf	Dlx6os1	Elf2	Robo3	Map4k5
Dpy19l4	Tank	Asah2	Gm11149	Zfp46
Abhd4	Sidt1	Shisa6	Six3os1	Hmgcr
Sorbs2os	B4galnt2	Slain2	Rras	Me1
Gpr85	Jakmip1	Apbb1	Mob3a	Asns
Ano4	Arhgef25	Ntng1	Serpinb1a	Fbxo41
Tomm6	Gnpda2	Traf6	Fancd2os	Spock3
Sc5d	Taf15	Hk1	Cd93	Arrdc3
Mrps25	Gnb4	Kdm1a	Fam117a	Rcan1
Tmem184b	Cherp	Jak2	Cog8	Ap1b1
Rpl18	Adam19	Sox9	Gemin2	Frmd5
Cnn3	Npy1r	Fam131a	Slc7a3	Erlec1
Guf1	Zfp39	Trappc10	Ret	Lrrtm4
Acss1	Sh3rf1	Rassf2	Rbm47	Parva
P4hb	Gabpb2	Smad1	Vmn2r85	Acsl1
Atp11c	Ndufb3	Mtss1	Mri1	Galnt1
Supt4a	Raver1	Smcr8	AI197445	Serinc5
Orc6	Tspan31	Snap29	Plp2	C130074G19Rik
Sephs2	Elk1	Ext1	Edem2	Tceal3
Pxdn	Pdrg1	Psmc2	Mad1l1	Clic4
Palmd	Ykt6	Tor1aip1	Nes	Dgki
Mdp1	Intu	Scn4b	Dpm3	Arhgap1
Pcdhb18	Zfp142	Map4k5	Pdlim2	Dync2h1
Pqbp1	Osgin2	Hmgcr	Fgfrl1	Gnai2
Ndufaf2	Cd2bp2	Arid5b	Tmem125	Map3k12
Zfp760	Cited2	Phc1	Pik3r6	Gxylt1
Kat5	Lpl	Me1	E130114P18Rik	Mylk
Ttbk1	Dtnb	Asns	Mthfd2	Slc6a7
Pcdhac2	Trerf1	Fbxo41	Ulk4	Sulf2
Phc2	Rnpc3	Anln	Kank3	Csmd3
Nelfb	Chrna4	Spock3	F5	Cebpz
Rrbp1	Sar1b	Arrdc3	Gstcd	Vps29
Rps19	Iffo2	Itga4	Psmg3	Cpeb1
Lamc1	Lrrc61	Ap1b1	Slc37a1	Vmp1
Nudt10	Clvs2	Frmd5	Egfl6	Ptpre
Sorbs3	Lsm8	Erlec1	Cd28	Ift81
Pdik1l	Fpgt	Lrrtm4	Gm5820	B4galnt1
Fancm	Fam174a	Parva	Rgs13	Adarb2
Cuedc2	Ankrd50	Calr	Pmaip1	Alg10b
Tle3	Jam2	C130074G19Rik	Gmnn	Orc4
Ankrd13a	Cc2d2a	Clic4	Edn3	Prkab2
Ahr	Ubald1	Dgki	Ky	Mboat7
Hcfc2	Adamts3	Plcxd3	Pus7l	Sfxn5
Galc	Tmod3	Arhgap1	Sfrp2	Cyb5r3
Abca8b	Pla2g4e	Gnai2	Bank1	Mink1
Hipk4	Fbxl2	1300002E11Rik	Ngfr	Lrrn3
Adhfe1	Crip2	Mylk	9330179D12Rik	Dtx4
Rasl10a	Nmrk1	Slc6a7	Alk	Npas2
Cnot8	Flot2	Rps11	Adck5	Zdhhc3
Serp2	Pcbp3	Sulf2	Nqo1	Tox3
Samd12	Entpd7	Csmd3	Hhex	Mafb
Pcsk5	Cdo1	Cebpz	Klf14	Fat1
Ubxn1	Mkx	Vps29	Ccdc38	Sv2c
Rpa1	Nudt11	Hadhb	Tnnc1	Asic2
Nop10	Dhx40	Cpeb1	4833412C05Rik	Fus
Pkd1	Man2a1	Vmp1	Slc6a20a	Aldh6a1
Schip1	Rreb1	Tprkb	Abi3	Dock10
Urod	Ndufc2	Ptpre	Plekhn1	Cpne6
Cd4	Prkag2	Ift81	4930444F02Rik	S100pbp
Atp9b	Per1	B4galnt1	Capsl	Trf
Zfp715	Akr1e1	Fosl2	Rpe65	Trpm3
Herc4	Zfp869	Adarb2	Ngb	Rasd2
Sec23b	Slc25a42	Alg10b	Asb5	A830082N09Rik
Myo9b	Asb13	Orc4	Bmf	Mpdz
Stx5a	Lsm11	Prkab2	Foxj1	Afg3l2
Ints2	Dcdc2a	Mboat7	Rad9b	Sez6
Zfp882	Mkrn2	Sfxn5	Adamts15	Ap4s1
Gm5069	Lnx1	Cyb5r3	Hmgcs2	Lrrtm3
Stk17b	Dnaja4	Mink1	Kcnh6	Ppp1r10
Fam43a	Smad9	Lrrn3	Neurod4	Twsg1
Tmem132d	Fndc3b	Dtx4	Palb2	Strip2
Crnkl1	Atp7a	Npas2	Prss36	Pgrmc2
Chfr	Ptchd4	Zdhhc3	Sugct	Lrrcc1
Zbed3	Npy	Nexn	Trim34a	Cacnb1
Kdm2b	Syt17	Tox3	Impg2	Bcl6
Tomm5	Igfn1	Mafb	Rnf17	Kcnj3
Lin28b	Ankrd63	Fat1	Acta2	Dagla
Mbd3	Aspa	Srpk1	Gipc2	Snap23
Pign	Mrps2	Sv2c	Gmnc	Ppp1r13b
Timmdc1	Tanc1	Asic2	Crh	Osbpl9
Fcf1	Fam76b	Aldh6a1	Pate2	Ebag9
Thoc3	Cntnap5b	Dock10	Pih1d2	Aatk
Magoh	Prr16	Cpne6	Kcng2	Tgfa
Ezr	St8sia5	S100pbp	Xlr3b	Kcnh5
Cry1	Uvssa	Trim66	Rad51	Rab23
Cdon	Rpl27	Trf	Calcr	Ston2
Olig2	Bcor	Trpm3	Pcdha3	Car11
Zpr1	Gtpbp1	Rasd2	Gm13749	Pcdh11x
Sptssa	Hip1	Klf3	Cyp4f14	Tdrd3
Sidt2	Npas3	Mpdz	Taf1c	Frmd4a
Prr14	Rprm	Afg3l2	Tagln	Zfp831
Zfp146	Synm	Sez6	Mfsd10	Ppip5k1
Bscl2	Zyx	Ap4s1	Htra3	Slc25a22
P4ha1	Rbm22	Lrrtm3	Chat	Medag
Acadl	Actn1	Ppp1r10	Pctp	Zfhx2
Yes1	Pak6	Twsg1	Ston1	Stx1a
Msantd2	Myh9	Strip2	Efhc1	Chka
Acot11	Gm2897	Lrrcc1	Mpl	Reln
Zic1	Spata13	Cacnb1	Tmed1	Clk1
Slc35f5	Nln	Bcl6	Polg2	Coro2a
Cep70	Hspa2	Kcnj3	Gramd1c	Kctd2
Thap11	Arhgef28	Dagla	Serpinb1b	Cyb5r4
Fbl	Slc41a2	Snap23	Ccdc13	Fkrp
Tnnt2	Dhx30	Htr5a	Grem1	Nploc4
Pgm2	Zfyve16	Fndc5	Aspg	Trib2
Ptgs1	Itgbl1	Rps27a	Actr5	Zfp941
Ndufa3	Cers2	Osbpl9	Klhl40	Ajap1
Dpm2	Sat1	Ebag9	Esm1	Dnajb9
Ppard	Plekha2	Elfn2	Vmn2r57	Chuk
Tmem209	Spty2d1	Tgfa	Vipr2	Lztr1
Taf1d	Stard3nl	Tmed2	Trhr2	Ddit4l
Derl2	Fbxo31	Kcnh5	Cabp4	Hdac5
Tsen34	Chga	Rab23	Ocln	Irf2bpl
Zfp414	Idh1	Car11	Ccdc89	Ankrd34b
Tmem181a	Dnm2	Pcdh11x	Gp1ba	Flnb
Slirp	Pttg1ip	Tdrd3	Rxfp2	Rnf181
Aldh7a1	Maml3	Syt5	Traf5	Dcc
Kirrel3	Zcchc12	Cpne5	Alox5ap	Ppp2r5a
Haus6	Oprk1	Frmd4a	Rec8	Usp53
Tmem39a	Serpinb8	Zfp831	Ngf	Myo1b
Cndp2	Nrp1	Ppip5k1	Trim43c	Cttn
Tmem62	Sorcs3	Srebf2	Pla2g2d	Jph3
Tomm7	Col19a1	Zcchc24	Ldoc1	Sntb2
Prpf40b	Dpp9	Slc25a22	Mndal	Fhl2
Rel	Ankrd49	Medag	Ninj2	Dr1
D130043K22Rik	Zfp40	Zfhx2	Fkbp7	Cwf19l2
Pde3b	Oprd1	Stx1a	Parp10	Mme
P2ry12	Dtx1	Chka	Relb	Grin3a
Urb2	Zfp945	Pou6f1	Oip5	Cspg5
C1galt1c1	Trpc5	Phf2	Gm14015	Gprin1
Grpel1	Pm20d2	Reln	1810010H24Rik	Abhd17b
Ap5m1	Nptx2	Clk1	Slc25a45	Mier3
Abcb10	Gpr12	Kctd2	Btbd16	Tob1
Myt1	Krcc1	Cyb5r4	Srpk3	Jun
Gstp2	Jup	Nploc4	Tmem40	Snapc1
Nme7	Pfkl	Trib2	A330070K13Rik	Paqr8
Abcc1	G3bp1	Zfp941	1810012K16Rik	Brd7
Ankrd16	Slc32a1	Ajap1	Dmrta1	Chst11
Npr3	Prmt5	Dnajb9	Gm10046	Nefh
Hebp1	Cdkn1a	Lztr1	Ptgfr	Sipa1l3
Tmbim1	Rab36	Ddit4l	Gm5105	Rasa3
Zscan12	Agpat4	Irf2bpl	Megf6	Usp27x
Hcfc1r1	Tgfb1i1	Flnb	Vdr	Rundc3b
Erich3	Fam53b	Rnf181	Sec14l5	Dgkd
Sec61g	Igfbp4	Dcc	Spata3	Chchd10
Dtymk	2900052N01Rik	Ppp2r5a	Trim16	Lypd6
Tmem67	Ccdc117	Mtmr7	S100a4	Kcnip1
Decr1	Pim2	Usp53	1700028J19Rik	Lrrfip2
Hspb6	Sgsm1	Myo1b	Hspg2	Grem2
Coq3	Hpcal1	Cttn	Gsdmd	Tubb2b
Cdh4	Ing3	Jph3	Thbs1	A330023F24Rik
Rspo2	1600012H06Rik	Sntb2	Hoga1	Dhrs1
Fam107b	Kif1c	Fhl2	Fam180a	Tex9
Banf1	Ftsj3	Dr1	Mustn1	Gse1
AI837181	Ttll11	Cwf19l2	Gm20597	Camkk1
Bzw2	Zfp874a	Dusp1	Mkrn3	Afap1
Uqcrq	9330102E08Rik	Acsl5	Emilin2	Zfp275
Kcnk9	Cyth1	Mme	A730020M07Rik	Golga7b
Rgs5	Necab2	Grin3a	Ifi44	Rbm28
Ephb6	Zbtb1	Gprin1	Calml4	Htr2c
Rab43	Parm1	Abhd17b	Slc47a1	Nnat
Plekho1	Fat4	Mier3	Gm10538	4930570G19Rik
Gpr25	Srrt	Tob1	4931440P22Rik	Cux2
Rasal1	Mpi	Jun	Ushbp1	Pisd-ps1
Sptbn4	Kit	Cltb	A2m	Zmat1
Tom1	Krt12	Gpld1	Tnfsf13b	Osbpl3
Gart	Usp13	Snapc1	Dph1	Brap
Ggt7	Heg1	Slc35a5	Maff	Sel1l3
Mas1	Ankrd44	Lmo7	Casq2	Hrk
Cdkal1	Mospd3	Paqr8	Calr4	Txndc16
Lactb2	Pld5	Chst11	E330011O21Rik	Chmp7
Nme5	Tmem63c	Nefh	2700046A07Rik	Kcnj2
Snrpd2	Iglon5	Sipa1l3	Phf19	Rnf19a
AA388235	Tunar	Rasa3	Tmem154	Cckbr
Pigg	Mplkip	Rundc3b	Gm11413	Stard8
Acot1	Pmpcb	Dgkd	Abcc12	Ndufab1
Nkain3	Firre	Chchd10	Clnk	Cyp51
Dhfr	Il1rapl1	Lypd6	Gm2762	Olig1
Tbc1d7	Rnf144b	Ppip5k2	Ripk4	Kansl1l
Etnppl	Sulf1	Kcnip1	Kcnmb1	Mif
Dot1l	Os9	Lrrfip2	Dna2	Gde1
Slc25a39	Rara	Grem2	Prom2	Gm1976
Exosc8	Ptprf	Efhd1	Drd3	Rhobtb2
Mrps23	Ephb1	Tubb2b	Clec1a	Dhdh
Nudt16l1	Sec11c	A330023F24Rik	Cd52	Pmp22
Rpl31-ps12	Zfp606	Erbb4	Atp2c2	Uggt2
Gh	Gfap	Dhrs1		Bdnf
Arvcf	Rab26	Tex9		Dnmt1
Hopx	Zfp935	Gse1		Sertm1
Nelfcd	Guf1	Bex1		Ryr3
Zbtb39	Eid2b	Camkk1		Tshz1
Elmod2	Cyb561	Afap1		Prox1
Foxred2	Gdap1l1	Zfp275		Gm3002
Bri3	Magt1	Lrrc57		Sae1
Fam163a	Rap1gap	Golga7b		Tsc2
Gtf2h3	Wscd2	Rbm28		Dph3
Gm10754	Smn1	Htr2c		Ccdc3
Mcts2	Amy1	4930570G19Rik		Sox10
Nsun7	Gcc1	Cux2		Gcnt4
1700001L05Rik	Ppp4r1	Pisd-ps1		Unc5a
Zfp758	Ndst4	Zmat1		Shisa4
Arx	Smc4	Osbpl3		Fabp5
Adcy6	Palmd	Brap		Tsc22d3
Cacna1h	Rtn4r	Sel1l3		Tiam2
Sfxn4	Fosb	Hrk		Zswim8
Gm14204	Pcdhb18	Chmp7		N6amt1
Slco5a1	Rbm15	Kcnj2		Fxyd6
Grm2	Gm15663	Rnf19a		Fam204a
Irf2bp1	Cabyr	Tada1		Sun2
Lingo3	Rpl36	Cckbr		Gpr137c
Dnajc16	Zfp760	Stard8		Ifngr2
Tmem242	Cdkn2d	Tmcc3		Gm5643
Thrsp	Acvr1	Ndufab1		Slc36a4
Sharpin	Zfp120	Cyp51		Rsl24d1
Gpc1	Spata9	Olig1		Kitl
Ldlr	Amot	Kansl1l		Lonrf3
Aldh1l1	Reep6	Mif		Fam135b
Il1rapl2	Trap1	Gde1		Orc2
Prkcq	Prmt2	Gm1976		Tubb3
Clgn	Nudt10	Dhdh		Rassf3
Cdc7	Spns2	Pmp22		Sertad4
St8sia4	Fancm	Rasgrp3		Steap2
Col12a1	Cdk18	Arhgef2		Slc36a1
Serpinb9	Armc10	Uggt2		Wdr33
Polr2k	Itpk1	Bdnf		Dcp1a
Pak4	Osgepl1	Cox15		Akt2
Myl12a	Marcksl1	Sertm1		Rpn1
Lgi2	Fn3krp	Cacna2d2		Gpd1
Neu4	Agfg2	Ryr3		Camk2n2
Icam5	Hipk4	Tshz1		Uty
Galnt14	Lysmd3	Prox1		Nr2f2
Rnft1	Rasl10a	Gm3002		Ccdc136
Hip1r	Hagh	Tsc2		Gga3
Rwdd2a	Numbl	Ccdc3		Ybx3
Lsm3	Pkd1	Sox10		Rnf144a
Itga6	Schip1	Gcnt4		E2f6
Slc25a18	Ankrd34c	Unc5a		Aff1
Plgrkt	Adrb1	Shisa4		Olfm3
Slc25a15	Cd4	Ddx47		Suclg1
Lrtm1	Cd24a	Txn1		Brpf3
Pacsin3	Grm4	Fabp5		Lamtor5
Ipp	Zfp317	Tiam2		Wdfy1
Sap30bp	Zfp882	Rbm12		Plbd2
Mrpl55	Mog	Zswim8		Arhgef26
Lsm2	Mertk	Fxyd6		Stk35
Nt5c3b	Fam43a	Sun2		Anxa6
Rhbdl3	Apaf1	Ppp1r15b		Fhod3
Slc5a7	Cdh20	Ifngr2		Arl5b
Tppp3	Cbln2	Slc36a4		Zfp169
Smox	Myrf	Rsl24d1		Usp6nl
Gng5	Npnt	Kitl		Arf2
Cecr2	Ptgs2	Lonrf3		9430021M05Rik
Med22	Lin28b	Fam135b		Fgd4
Tbc1d2b	Upp2	Orc2		Rogdi
Zdhhc1	Igsf9b	Rassf3		Smyd2
Impdh2	Zkscan2	Sertad4		Lhx6
Pamr1	Timmdc1	Steap2		Cdh13
Iqce	Klhdc1	Slc36a1		Mt2
Fstl4	Ezr	Dcp1a		Dnaja3
Parl	Etv3	Akt2		Sh2d5
Hspb8	Sema4a	Rpn1		Farp1
Cryz	Ubxn8	Gpd1		Sdhb
Smim8	Rin1	Camk2n2		Galnt16
Lepr	Ap1s1	Uty		Mtfp1
Pax6	Ctso	Fa2h		Npc1
Prr5l	Eif3b	Nr2f2		Gcnt2
Tecpr1	Antxr1	Ccdc136		Hmbox1
Pcdhb14	Creg1	Lap3		Gne
Noc4l	Vgf	Ybx3		Fam133b
Gucy2e	Cep104	Cables2		Dcaf17
Dnajc24	Zfand1	Rnf144a		Abcd2
Bop1	Zbtb2	Rab24		Nol7
Tspan6	Msantd2	Aff1		Ablim3
D8Ertd738e	Crhbp	Olfm3		Fam13c
Kctd20	Acot11	Suclg1		Mpp1
Anapc7	9330133O14Rik	Brpf3		Neurl1a
Dach1	Pde5a	Lamtor5		Lrrc55
Fam227a	Fbl	Wdfy1		Dlx6os1
Tex264	Tnnt2	Plbd2		Sidt1
Adamts1	Pgm2	Stk35		Nucb2
Dpp3	Ptgs1	Anxa6		Arhgef25
P4ha3	R74862	Fhod3		Taf15
Catsper2	Fkbp5	Arl5b		Susd4
Pfdn1	Adcy8	Tdrkh		Gnb4
Pcdhb22	Larp1b	Rps26		Adam19
Chrna7	B3gat2	Usp6nl		Npy1r
Rfx1	Tmem209	9430021M05Rik		Elovl7
Mrgpre	Atad5	Fgd4		Sh3rf1
Nr4a3	Cep192	Rogdi		Gm10409
Romo1	Utp18	Smyd2		Sec22c
Akr1b10	Mmaa	Rab28		Gabpb2
Nt5c	Slc5a5	Lhx6		Hs6st2
Fadd	Ucp2	Cdh13		Onecut2
Sec61b	Fam185a	Mt2		Raver1
Nxpe4	Cd34	Dnaja3		Tspan31
Rgcc	Matk	Sh2d5		Plekhh1
Gbp7	Slc7a5	Farp1		Elk1
Msrb1	Glmn	Sdhb		Pdrg1
Hps5	Sgpp2	Mtfp1		Ykt6
Oxnad1	Adnp2	Npc1		Intu
Mok	Pkd2l2	Gcnt2		Prkdc
Lrig1	Tmem39a	Dpysl5		Zfp142
S100a16	Trp53inp1	Fam133b		Mrpl18
Cdkl1	Cndp2	Dcaf17		Btbd9
Ebf1	Dusp16	Abcd2		Cd2bp2
Vipr1	Arhgef15	Nol7		Cited2
Otx1	Mbd6	Fam13c		Net1
4930431F12Rik	C2cd4c	Mpp1		Lpl
Acaa2	Mpp3	Neurl1a		Dtnb
Mettl22	Swt1	Zfp667		Trerf1
Gm16386	Trim59	Lrrc55		Fem1c
S100a1	Arrb2	Mt1		Neurl1b
1700008O03Rik	Slc2a1	Dlx6os1		Rnpc3
Galnt6	1700030J22Rik	Slc3a2		Kansl2
Oxsm	Prss23	Sidt1		Chrna4
Aldh2	Gabrd	Nucb2		Tusc3
Sh3gl1	P2ry12	Arhgef25		Psmb2
Htr1f	Hexb	Efnb3		Sar1b
Snhg8	Mpnd	Taf15		Iffo2
Polr3c	Usp20	Susd4		Lrrc61
Dclre1b	Gm5148	Lrrn2		Clvs2
Etfb	Rnf182	Gnb4		Lsm8
Ddi2	Pabpc4	Adam19		Fpgt
Prkcd	Npr3	Npy1r		Ankrd50
Gldc	A730020E08Rik	Mast1		Tmem44
St3gal6	Blnk	Bach2		Tesk1
Atp13a1	Ddx54	Elovl7		Jam2
Sp3os	Cln8	Sh3rf1		Cc2d2a
Gucd1	Hebp1	Gm10409		Rbm24
Mpeg1	Scn9a	Bcas1		Krt20
A330032B11Rik	Kxd1	Gabpb2		Pbx3
Adck2	Zfp433	Soat1		Adamts3
Pigz	Sowahb	Fbxo34		Asic1
	Ippk	Hs6st2		Pla2g4e
	Tmem67	Onecut2		Fbxl2
	Fam184b	Raver1		Sarnp
	Sfrp1	Tspan31		Crip2
	Hspb6	Plekhh1		Spg11
	Jpx	Elk1		G6pdx
	Enpp6	Pdrg1		Nmrk1
	Rspo2	Ykt6		Flot2
	Gpr68	Mrpl18		Pcbp3
	Crtac1	Btbd9		Nek6
	Pcdh20	Dnajc9		Eid2
	Rgs5	Cited2		Entpd7
	Arhgap17	Tceal1		Cdo1
	Malt1	Net1		Mkx
	Apln	Lpl		Ints3
	6430584L05Rik	Trerf1		Nudt11
	Bend3	Fem1c		Dbnl
	Xrcc3	Neurl1b		Ccdc71l
	Ccdc137	Rnpc3		A230056P14Rik
	St7	Kansl2		Rpe
	Tom1	Tusc3		Dcaf12
	Ccdc141	Psmb2		Dhx40
	Ptp4a3	Iffo2		Ptrh2
	Vim	Zfp937		Isca2
	Pgm3	Itpka		Man2a1
	Lactb2	Zbtb16		Otud1
	Fgf10	Fpgt		Rreb1
	Scn7a	Atad2		Ndufc2
	Pitpnm1	Ankrd50		Gm14322
	Nos1	Tmem44		Prkag2
	AA388235	Jam2		Per1
	Zdhhc15	Smpd1		Zfp869
	Dact1	Rbm24		A430033K04Rik
	Tmbim4	Krt20		Rin2
	Lime1	Pbx3		Me3
	Pip5k1b	Adamts3		Ino80
	Acot1	Asic1		Slc25a42
	Pvalb	Becn1		Lsm11
	Taldo1	Pla2g4e		Dcdc2a
	Rtkn	Fbxl2		Klhl11
	Etnppl	Crip2		Mkrn2
	Slc7a4	Spg11		Arhgef10
	Arfrp1	G6pdx		Lnx1
	Ndnf	Tac1		Dnaja4
	Akap1	Flot2		Sbf1
	Gm14403	Pcbp3		Smad9
	Nudt16l1	Nek6		Atp7a
	Gh	Eid2		Ptchd4
	Cradd	Cdo1		Rpn2
	Pcsk1	Mkx		Npy
	Frmd3	Pxk		Syt17
	Arvcf	Nudt11		Igfn1
	Tesc	Zcchc17		Ankrd63
	Hopx	Dbnl		Aspa
	Cr1l	Ccdc71l		Trim3
	Zbtb39	A230056P14Rik		Filip1
	Gjb2	Nbas		Mrps2
	Tfcp2l1	Rpe		Rpgr
	Zfyve26	Dcaf12		Mospd1
	Zfp623	Dhx40		Tanc1
	4833422C13Rik	B4galt5		Hyou1
	Gpr180	Ptrh2		Fam76b
	Filip1l	Lin54		Slc29a3
	Zfp459	Utp14b		Cntnap5b
	Zfp28	Isca2		Pyurf
	Gm10754	Man2a1		Kpna2
	Pex6	Ndufc2		Prr16
	Pllp	Pcdhb16		St8sia5
	Jdp2	Gm14322		Arhgef6
	Adra1b	Prkag2		Uvssa
	Sdk2	Tbc1d10b		Eftud2
	Arx	Per1		Gltp
	Prcp	Eml6		Bcor
	Pvt1	Zfp869		Sun1
	Aldh1a2	A430033K04Rik		Gtpbp1
	Gm14204	Rin2		Tmem18
	Doc2a	Me3		Rprm
	Piga	Ino80		Synm
	Zfp960	Sft2d2		Zyx
	Cyp26b1	Slc25a42		Tmem158
	Grm2	Lsm11		Bcl9l
	Timp4	Dcdc2a		Actn1
	Rspo1	Klhl11		Etaa1
	Bloc1s2	Usp10		Carhsp1
	Top1mt	Arhgef10		Pak6
	Zbtb25	Adap1		Myh9
	Ctbp2	Dnaja4		Cbx7
	Rprml	Sbf1		Gm2897
	Fndc9	Jade3		Spata13
	9630013A20Rik	Smad9		Nln
	AU023762	Tmem14a		Hspa2
	Nedd9	Kif13a		Arhgef28
	Nenf	Magee2		Slc41a2
	Alkbh6	Ptchd4		Dhx30
	Islr2	Npy		Zfyve16
	Aldh1l1	Frmd6		Itgbl1
	St8sia4	Syt17		Cers2
	Isg20l2	Igfn1		Tmem9
	Gfpt2	Efcab5		Stat3
	Gpr101	Ankrd63		Fstl5
	Arl6ip5	Aspa		Plekha2
	Bloc1s1	Chst15		Ccnyl1
	C130083M11Rik	Trim3		Stard3nl
	Pdlim1	Filip1		Fbxo31
	Gas2	Rpgr		Gli3
	Mir128-1	Apmap		Nck2
	Gm5141	Mospd1		Chga
	Fhad1	Tanc1		Coch
	Lgi2	Hyou1		Idh1
	Neu4	Mboat2		Dnm2
	Dhps	Lrrc10b		Cdh7
	Gm14305	Pyurf		Pttg1ip
	Glt8d2	Kpna2		Slc9a7
	Syndig1l	Prr16		Map3k4
	1700048O20Rik	St8sia5		St18
	Pard6b	Arhgef6		Maml3
	Wnt9a	Uvssa		Ppm1d
	Elk3	Gltp		Zcchc12
	Foxo6	Bcor		Nim1k
	Slc5a7	Rprm		Oprk1
	Smox	Synm		Serpinb8
	Med22	Zyx		Nrp1
	Tbc1d2b	Tmem158		Sorcs3
