TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Taf2	Atf4	Nav3	Cnga2	Wnk3
Emd	Ubc	Fmn2	Gm2516	Ptprg
Mpc2	Bend6	Chd5	Aurkc	Sfr1
Dusp14	Ppp1r16b	Oaz2	Fndc8	Atf6
Rif1	Epha7	Ralbp1	Tcf23	Cir1
Limch1	Ctdsp1	Srp9	4921525O09Rik	Map7d1
Kat7	Fam120c	Hnrnpm	1700008K24Rik	Zcrb1
Gabra4	Eif4enif1	Cdip1	Stfa2l1	Chd2
Lrrk2	Isca1	Rnf187	Krtdap	Rian
Dhx57	Abhd5	Khsrp	Wfikkn1	Ptprt
Gon4l	Dlgap2	Rbmx	C1rb	Sst
Rlf	Tmem230	Lmtk2	Pkd1l2	Tpi1
Pisd-ps1	Cstb	4933431E20Rik	Mboat4	Trim35
Gna11	Wfs1	Ankrd46	1700120K04Rik	Ahi1
Lrp8	Usp54	Gmps	Gnmt	Nrbp2
Ascc3	Pfn1	Ppm1h	Rapsn	5730409E04Rik
Cntnap1	Atg3	Tnrc6a	4930564C03Rik	Pdhb
Usp6nl	Cct7	Lmbrd1	Cyp2b19	Syt7
Rcan1	Ociad2	Cep350	Apob	Ddn
Fnip1	Fnta	Asph	Slc25a2	Ptprn
Ndufb10	4931406C07Rik	Zfp462	Wfdc3	Cacna1b
Dock10	Daam1	Phyhip	1700065J18Rik	Col1a1
Vps39	Chd8	Prdx6	4933417D19Rik	Rasgrf2
Exoc4	Mtor	Zfp704	1700100L14Rik	Fam98b
Taok3	Grin2a	Ift20	Trim38	Ptprs
Igsf11	Mon2	Ablim1	Nr1i2	Hcfc1
Gm14295	Itm2a	Aldh5a1	Synpo2l	Elavl4
Tsc2	Tbc1d30	Anxa1	Snora17	Vps54
Vps29	Zbtb11	Glrx2	9430069I07Rik	Samd9l
Brd7	Mdn1	Rnf44	A730085K08Rik	Rpl7
Ndufb4	Atp2c1	Lrrtm2	Defb1	Man2a2
Zfp354c	Gosr2	Fnbp1	Bcl2l14	Mrps33
Lsm12	Mpped2	Wdr13	Anxa13	Atp6v1g1
Tdrp	Rbm17	Napg	Bpifc	Slc2a13
Prdx5	Ocrl	Rab3a	Khdc1a	Errfi1
Akap8	Map4k3	Psme3	Spta1	Ptprj
Gaa	Idh3a	Arid2	3110099E03Rik	Snrnp200
Sik2	Ahctf1	Srek1	Slc26a9	Dip2c
Neto2	Fam120b	Mkrn1	Mir3095	Mfap1b
Smc5	Ndufs4	Cdh11	Fam181a	Pdcd5
Ypel3	Slc12a2	Rit2	1700065J11Rik	D630045J12Rik
Prkg1	Akirin2	Abat	Hmga1	Zwint
Lrrfip2	Dido1	Arhgef7	Dspp	Cops7a
Gpr155	Ndufs2	Supt16	Hpse2	Spen
Phf20l1	Tns1	Magi3	5430437J10Rik	Snx13
Clk4	Ltn1	Ndufb5	4930558K02Rik	Ube2v2
Nwd2	Eif1a	Unc5c	Tldc2	Ptprz1
Scn3a	Dnajb1	Nsa2	Mpo	Psma4
Erlec1	Etfa	Agap1	4930461G14Rik	Zfp266
Ccdc90b	Iqsec3	Rhou	Ms4a4d	Mlec
Ubtf	Sav1	Gabpa	Pkn3	Clint1
Ambra1	Dnmt3a	Psmd12	Mir137	Cflar
Cops8	Uqcrfs1	Ttc14	Foxi1	Lnpep
Mmadhc	Wwtr1	Ccdc92		Bex2
Plekhb1	Rangap1	Efhd2		Tfg
Tmx3	Tgs1	Cox4i1		Kcnv1
Rrn3	Tollip	Sh3bgrl3		Slc25a51
Hmgb3	Otud4	Dennd5b		Ube3a
Slit2	Zfp385a	Colec12		Xpo6
Eif1b	Trpm7	Ralgps1		Zmynd8
Casd1	Nop56	Ccndbp1		Rnf11
Tuba1c	Sgk1	Cipc		Gria4
Dcdc2c	Ppp2r3a	Ppp1r9b		Fbxo22
Hmgcr	Ubl7	Sap18		Bicc1
Fnbp4	Hif1a	Vps13d		Taf1
B3galt1	Dzip1	Uba52		Mapk8ip3
Kcna4	Mapkap1	Atf4		Fmo1
Arpc5l	Rictor	Ppm1k		Nin
Rragc	Dnajc7	Uchl5		Zfp445
Ube4a	Unc13b	Ubc		Sdhd
Cep19	Sri	Ppp1r16b		Thsd7a
Ufl1	Trrap	Epha7		Ncor2
Rnf185	Capn7	Ctdsp1		Clta
Vps28	Rin2	Fam120c		Mocs2
Map7	Inpp4a	Scg3		Dock5
Ctdnep1	Robo2	Psmc5		Zc3h11a
Igbp1	St3gal5	Eif4enif1		Rsu1
Irf2bpl	Scara3	Isca1		Ube2g1
Fam135a	Ncbp2	Abhd5		Pikfyve
Akirin1	Vps13c	Dlgap2		Efr3b
Cyb5r4	Ssh2	Tmem230		Lrp6
Dcx	Leng8	Mfn2		Tgfb1i1
Kif21b	Dlst	Cstb		Tet2
Cc2d2a	Fam174b	Wfs1		Krr1
Trappc9	Hypk	Usp54		Samd4b
Vti1b	Pitpnm2	Pfn1		Snx3
Bcas2	Hdgf	Atg3		Vamp4
Numa1	Dock9	Bcl2		Grsf1
Sult1a1	Sin3a	Higd1a		Cdo1
Tbc1d9	Ankib1	Ociad2		Psmb7
Dock1	Mgrn1	Daam1		Gfod1
Nol7	Fmn1	Chd8		Sdhc
Sh3rf3	Mest	Dab1		Cox6a1
Adam10	Gtf3c1	Ncoa3		Dcun1d1
Fndc3b	Chmp3	Mtor		Ipo5
Ackr1	Med13l	Grin2a		Apba1
Ahsa1	Exph5	Cic		Zfp318
Abca5	Psme4	Dlc1		Rapgef6
Snrnp70	Cacna1a	Mon2		Islr
Faim	Snx10	Itm2a		Shroom2
Cntn2	Yae1d1	Tbc1d30		Bpgm
Paxbp1	Tiam1	Naa15		Gsta4
Mfap3l	Hadhb	Zbtb11		C1ql3
Ammecr1l	Sema5a	Mdn1		Peak1
Rnf145	Vcl	Atp2c1		Uqcrb
Lztr1	Clk1	Gosr2		Zfp280d
Bri3bp	Mpc1	Rbm17		Inpp5f
Iqsec2	Ptprk	Map4k3		Htt
Timm17a	Gabrg2	Idh3a		Cttnbp2
Cntn3	Cdk2ap1	Ahctf1		Slc12a6
Dph3	Acbd3	Fam120b		Zdhhc17
Eri1	Ndufb9	Ndufs4		Pak2
Asah2	Strn	Slc12a2		Exoc6b
Denr	Puf60	Akirin2		Snx4
Myo10	Hmgn2	Dido1		Grm5
Gm10845	Rab3gap2	Ltn1		Helz
Swi5	Nalcn	Eif1a		Hs2st1
AI504432	Rbbp9	Etfa		Nav3
Rbbp5	Ireb2	Pcf11		Acap2
Morn4	Pygb	Ptk2		Fmn2
Arl6	Etf1	Iqsec3		Chd5
Mrpl30	Emc2	Ap3b1		Sh3bp5
Mtx2	Klf4	Sav1		Eif2s1
Brox	Anxa4	Dnmt3a		Oaz2
Ntrk3	Tro	Uqcrfs1		Ralbp1
Esco1	Nicn1	Wwtr1		Srp9
Comt	Ranbp6	Tnfaip8l3		Hnrnpm
Asah1	Tle4	Rangap1		Cdip1
Dscam	Hdac9	Ankrd28		Rnf187
Nqo2	Aida	Tgs1		Psmd7
Ndufa12	Anxa7	Otud4		Rbmx
Snrpb2	Psma7	Srsf10		Lmtk2
Grm3	Tenm3	Dhx15		Abcf1
Bbs1	Lyst	Zfp385a		Ankrd46
Gabra5	Cxxc5	Ptms		Gmps
Speg	Srp19	Trpm7		Rnf169
N6amt1	Wasf2	Nop56		Tnrc6a
Rmi1	Tbl1x	Chd1		Lmbrd1
Stk3	Chmp4b	Slc39a6		Cnot7
Gcsh	Cast	Sgk1		Cep350
Lpcat4	Shisa7	Ppp2r3a		Asph
Arhgef2	Glo1	Ubl7		Zfp462
Dctn3	Myo6	Hif1a		Prdx6
Slc35e2	Cadps2	Ttc33		Zfp704
Pag1	Ap3d1	Rab11a		Ift20
Agl	Zfp277	Dzip1		Ablim1
Med21	Cmah	Rbx1		Copz2
Rad54l2	Plxnc1	Mapkap1		Aldh5a1
Stk38l	Hecw2	Rictor		Anxa1
1110059E24Rik	Zdhhc21	Dnajc7		Alg11
Unc50	Ndufs3	Unc13b		Glrx2
Col25a1	Cpne8	Sri		Lrrtm2
Tgfbrap1	Psma6	Trrap		Fnbp1
Knop1	Scaper	Capn7		Wdr13
1810037I17Rik	Smarce1	Gpx1		Clcn3
Zfp518a	Plec	Cdc42bpb		Sh3d19
Ttll1	Ptgr2	Lancl1		Dpy19l1
Rasl11b	Tspan2	Robo2		Psme3
Dgkh	Chm	Scara3		Arid2
Ndufab1	Khdrbs3	Ncbp2		Srek1
Dcaf12l1	Acsl4	Vps13c		Cdh11
Lamtor3	Zbtb34	Ssh2		Rit2
Nudc	Atp6v1e1	Leng8		Abat
Syf2	Mal2	Ergic1		Supt16
Cenpc1	Shc1	Dlst		St8sia1
Rnf24	Ankrd13c	Sulf2		Ndufb5
Bloc1s6	Plekhm3	Fam174b		Unc5c
Sugt1	Zfp60	Pitpnm2		Pan3
Aqp4	Snx6	Vstm2a		Nsa2
Prpf39	Kcnh7	Hdgf		Agap1
Cers4	Zhx2	Dock9		Rhou
Sh3gl3	Ypel2	Sin3a		Gabpa
Samhd1	Txn1	Ankib1		Sbds
Slc35f3	Tagln3	Mgrn1		Psmd12
Palmd	Atp11b	Fmn1		Ttc14
Chchd10	Psmc1	Med15		Ccdc92
Ndufa5	Cpne4	Mest		Efhd2
Slc8a2	Lix1l	Gtf3c1		Cox4i1
Orc4	Zfp781	Med13l		Sh3bgrl3
Net1	Ctcf	Exph5		Mdm2
Tle1	Edf1	Fip1l1		Dennd5b
Ythdc2	Tiprl	Psme4		Mast4
Psmc3	Arl14ep	Cacna1a		Colec12
Irgm2	Kifc2	Snx10		Ralgps1
Stx1a	Eya2	Sema5a		Ccndbp1
Nedd8	Myo18a	Clk1		Rpl24
Usp29	Slitrk4	Mpc1		Ppp1r9b
Zfp236	2610005L07Rik	Ptprk		Sap18
Sae1	Nat8l	Gabrg2		Vps13d
Nefh	Stx4a	Cdk2ap1		Uba52
Kcnk1	Zfp26	Acbd3		Atf4
Ubxn6	Miat	Ndufb9		Ppm1k
Atp7a	Cacna1c	Strn		Ubc
Alg10b	Ube2a	Qrich1		Ppp1r16b
Epg5	Adh5	Puf60		Epha7
Psma1	Dgkz	Rab3gap2		Ctdsp1
Zc3h7a	Iscu	Nalcn		Fam120c
Bccip	Thoc7	Kctd1		Psmc5
Kcnt2	Tmcc3	Rnf4		Eif4enif1
Timm8b	Slc6a8	Etf1		Isca1
Kcnq2	Npepps	Emc2		Abhd5
Pkib	Srp54b	Fasn		Dlgap2
Rsbn1l	Dnajc10	Fam210a		Tmem230
Tmem245	Cox5a	Tbc1d5		Mfn2
Eif4e3	Mia3	Tro		Cstb
Kctd2	Pom121	Nicn1		Wfs1
Dclk3	Emc4	Cpped1		Usp54
Csmd3	Rsrp1	Ranbp6		Pfn1
Tfrc	Zfp652	Nek1		Atg3
Dgke	Cpd	Tle4		Cct7
Zc3hav1	Chmp2b	Hdac9		Higd1a
Ppip5k1	Zcchc14	Zbtb41		Ociad2
Synm	Ubp1	Aida		Fnta
Pgap1	St13	Psma7		4931406C07Rik
Gng4	Rapgefl1	Tenm3		Daam1
Nploc4	Txndc17	Lyst		Chd8
Spata2	Gtpbp4	Phf14		Dab1
E2f6	Vdac3	Cxxc5		Mtor
Tenm1	Rabggtb	Map4k4		Grin2a
Rab5a	Dicer1	Srp19		Cic
Cdc42se1	Dnajc13	Tbl1x		Mon2
Lamtor1	2310022B05Rik	Sec16a		Itm2a
Serac1	Appl2	Chmp4b		Tbc1d30
Sptb	Ubr2	Cast		Naa15
Anapc4	Tpm2	Shisa7		Meis2
Haus2	D430019H16Rik	Glo1		Zbtb11
Tmtc3	Dpysl3	Myo6		Mdn1
Cds1	Atg7	Cadps2		Atp2c1
Msl3	Nbeal1	Ap3d1		Gosr2
Maea	Spcs3	Dusp11		Mpped2
Cops3	Pcna	Pcmt1		Rbm17
Ssbp1	Cox5b	Zfp277		Arhgef17
Bhlhb9	Trank1	Cmah		Map4k3
Soat1	Atp6v1h	Plxnc1		Idh3a
Phlpp2	Adcy5	Hecw2		Ahctf1
Ryr3	Trappc8	Zdhhc21		Fam120b
Dagla	Cyc1	Kif3c		Sfrp1
Grm1	Trabd2b	Ndufs3		Ndufs4
Hs3st4	Me2	Psma6		Slc12a2
0610030E20Rik	Tpd52l2	Scaper		Akirin2
Kcnt1	Sccpdh	Cacybp		Dido1
Zfp280c	Smap1	Mpdz		Ndufs2
Rab43	Nme1	Smarce1		Tns1
Fam216a	Gtdc1	Tbpl1		Ltn1
Zyx	Bag5	Plec		Gfpt1
Cox6b1	Rps2	Gpcpd1		Eif1a
Plekha5	Unc5d	Tspan2		Dnajb1
Txndc16	Srxn1	Khdrbs3		Etfa
Csrnp2	Arid1b	Acsl4		Ptk2
Ttll5	Ssbp2	Zbtb34		Iqsec3
Mrpl3	Fdft1	Atp6v1e1		Sav1
Erlin2	Mical3	Ankrd13c		Dnmt3a
Trerf1	Psmc2	Nup98		Uqcrfs1
Mctp1	Brk1	Plekhm3		Nebl
Slitrk2	Asb8	Zfp60		Wwtr1
Pex11b	Ankmy2	Zfp422		Tnfaip8l3
Ppa2	Terf2	Pa2g4		Rangap1
Pou3f3	Asap2	Snx6		Ankrd28
Timm8a1	Snapc5	Kcnh7		Hnrnpul1
Nfyb	Rbms1	Txn1		Tgs1
Ccdc167	Csnk1g1	Tagln3		Tollip
Znfx1	Cnn3	Atp11b		Otud4
Vegfa	Ptpn13	Psmc1		Zfp385a
Decr1	Atl1	Tmsb10		Trpm7
Hax1	Cdk7	Coq5		Nop56
Cdkn1a	Kndc1	Sec14l1		Chd1
Psmb2	Uba3	Lix1l		Ube2e2
Arhgap33	Btaf1	Mturn		Sgk1
Ubxn1	Rnf181	Zfp781		Ppp2r3a
Rnf114	Cyfip1	Gng5		Ubl7
Mrpl36	Dync2h1	Edf1		Taf13
Ugt8a	Rbm6	Tiprl		Hif1a
Zswim8	Heg1	Arl14ep		Ttc33
Herc6	Ezr	Kifc2		Rab11a
Lrrtm4	Cdc123	Eya2		Dzip1
Scyl3	Ndufa10	Ubb		Rbx1
Vwa8	2210016L21Rik	Myo18a		Mapkap1
Ccdc91	Capza1	2610005L07Rik		Rictor
Sipa1l3	Adcy9	Stx4a		Dnajc7
Rptor	Tet1	Wtap		Unc13b
Laptm4b	Vkorc1l1	Miat		Sri
Cyp51	Dock4	Cacna1c		Specc1
Id4	Fsd1l	Ube2a		Trrap
Itpr2	Map3k9	Dgkz		Capn7
Aatk	Atrnl1	Iscu		Rin2
Mien1	Phlpp1	Thoc7		Gpx1
Med12l	Zic4	Slc6a8		Inpp4a
Socs2	Smchd1	Npepps		Cdc42bpb
Rsrc1	Pacsin2	Srp54b		Robo2
Rtca	Cnot2	Otud6b		St3gal5
Papolg	Medag	Cox5a		Scara3
Casp8	Eif1ax	Mia3		Ncbp2
Cox14	Kdm6a	Arl8a		Vps13c
Med16	Ier5	Emc4		Ssh2
Higd2a	Pdzd2	Rsrp1		Leng8
Zzef1	Rhoq	Hey1		Dlst
Kl	Ndufv2	Cntnap2		Sulf2
Filip1l	Brwd3	Cpd		Fam174b
Dtnbp1	Csmd1	Chmp2b		Hypk
Hmgxb4	Acvr2a	Zcchc14		Pitpnm2
Kcnj10	Gnptab	Ubp1		Hdgf
Mrpl27	Eif3m	1110004F10Rik		Dock9
Cntn4	Ubr1	St13		Sin3a
Reln	Dkc1	Rapgefl1		Ankib1
Dpm1	Tbx18	Txndc17		Wdr47
Lrfn5	Smarcal1	Vdac3		Mgrn1
Depdc5	Ndufa9	Dicer1		Ccpg1
Slc7a1	Atl2	Dnajc13		Asxl2
Frmd4b	Pde8b	Ap1s2		Fmn1
Commd6	Xbp1	2310022B05Rik		Gria1
Tfe3	Anapc1	Appl2		Med15
Zfp831	Cdc5l	Dhx36		Mest
Prkdc	Metap1	Ubr2		Gtf3c1
Tia1	Fat1	Dpysl3		Chmp3
Zkscan16	Rab5c	Atg7		Med13l
Zfp738	Morc2a	Nbeal1		Exph5
Rnf34	Gprasp2	Cox5b		Fip1l1
Pts	Trnp1	Trank1		Psme4
Bmp3	Clns1a	Atp6v1h		Cacna1a
Ctbp1	Srrm4	Adcy5		Snx10
Asnsd1	Prdx2	Trappc8		Yae1d1
Paip2b	Pik3c2a	Cyc1		Tiam1
Mfhas1	Wbp4	Trabd2b		Hadhb
Dcaf12	Sema6d	Me2		Sema5a
Ndufa8	Csnk1e	Tpd52l2		Vcl
Bmyc	Fosl2	Fam114a1		Clk1
Dlg5	Tmem229a	Sccpdh		Mpc1
Cabin1	Dctn5	Smap1		Ptprk
Ptgfrn	Actr1a	N4bp2l2		Gabrg2
Cetn2	Bcl11b	Nme1		Cdk2ap1
Slc2a3	Tshz3	Bag5		Acbd3
1300002E11Rik	Aldh3a2	Rps2		Ndufb9
Eapp	Ubqln4	Unc5d		Snw1
Nup155	Isyna1	Srxn1		Strn
Rimbp2	Lrrc8a	Arid1b		Crbn
Rbm8a	Lmbrd2	Fdft1		Puf60
Phtf2	Mdm4	Mical3		Hmgn2
Strip2	Smim15	Arel1		Rab3gap2
Rwdd1	Mdga2	Psmc2		Nalcn
Aqr	Srcin1	Brk1		Kctd1
Atad2b	Timm23	Asb8		Rbbp9
Yeats4	Cadm1	Ankmy2		Ireb2
Creb3l1	Grin1	Cuta		Brinp1
Asic2	Cmbl	Terf2		Etf1
Tcp11l1	Rcbtb1	Asap2		Emc2
Grik2	Acot7	Snapc5		Fam210a
Rgs9	Pdzd11	Rbms1		Tbc1d5
Becn1	Anxa2	Csnk1g1		Anxa4
Pxn	Syt16	Cnn3		Tro
Ranbp1	Zcchc2	Zc3h12c		Nicn1
C1qbp	Parp1	Ptpn13		Cpped1
Chsy1	Sez6l	Fbxo45		Ranbp6
Pkd1	Insig2	Cdk7		Nek1
Nwd1	Mospd1	Kndc1		Tle4
Preb	BC005624	Uba3		Hdac9
Zfp830	Fzd1	Btaf1		Zbtb41
Plekha2	Aox3	Mtus2		Aida
Ppard	Ppid	Ppp6c		Anxa7
Cluh	Rufy2	Rnf181		Psma7
Gstt3	Scmh1	Ube2w		Tenm3
Olfm2	L2hgdh	Cyfip1		Lyst
Ccdc181	Kcnd2	Dync2h1		Phf14
Wdr17	Abca2	Mllt10		Cxxc5
Hgsnat	5830417I10Rik	Rbm6		Srp19
Omd	Slitrk3	Mamld1		Dnajc2
Mlxip	Rad50	Gca		Wasf2
Mrps36	Zdbf2	Cdc123		Tbl1x
Gtf3c3	Asgr1	Ndufa10		Sec16a
Gkap1	Naa60	2210016L21Rik		Chmp4b
Mphosph10	Prkag2	Tet1		Fundc1
Plagl2	Klhl13	Dock4		Cast
Synpr	Uchl1	Map3k9		Shisa7
Tbc1d14	Acsl6	Atrnl1		Glo1
Cacna2d3	Pitpnm3	Zfp770		Myo6
Zfp65	Dock7	Phlpp1		Cadps2
Magoh	Glrx	Zic4		Ap3d1
Ckap4	Leo1	Smchd1		Dusp11
Erh	Xrn1	Pacsin2		Pcmt1
Gtf2h5	Vldlr	Pogk		Zfp277
Wdr33	Lmo7	Medag		Cmah
Hook1	Lrp1b	Kdm6a		Plxnc1
Zbtb24	Ttc9c	Pdzd2		Hecw2
Eogt	Nup214	Vma21		Zdhhc21
Pde7a	Gpr88	Ndufv2		Kif3c
Inip	Ksr2	Brwd3		Ndufs3
Hnmt	Esd	Csmd1		Cpne8
Spg11	Irs1	Acvr2a		Psma6
Car11	Cnrip1	Ak5		Scaper
Rab3ip	Bod1	Smyd3		Cacybp
Alms1	Kat2b	Ubr1		Mtch1
Eif2s3y	Bcr	Rtn4rl1		Smarce1
Ndufa6	Arl15	Nop58		Tbpl1
Spred3	Atg2b	Smarcal1		Plec
Smpd4	Zfp804a	Flnb		Gpcpd1
Cdh10	B3gat1	Tpgs2		Tbca
Tnrc18	Mid1ip1	Atl2		Tspan2
Tceal3	Camkv	Zfp329		Chm
Dimt1	Tank	Pde8b		Khdrbs3
Ufc1	Drp2	Anapc1		Acsl4
Ap3b2	Cgnl1	Cdc5l		Zbtb34
Pik3c2b	Mtmr3	Metap1		Atp6v1e1
Tmem68	Atm	Fat1		Shc1
Ndufs6	Elovl6	Rab5c		Ankrd13c
Igdcc4	Lrpprc	Morc2a		Nup98
Paqr8	Tet3	Gprasp2		Plekhm3
Osbpl3	Eno1b	Trnp1		Snap29
Slc30a1	Pdcd10	Clns1a		Zfp60
Rara	Tab3	Prdx2		Zfp422
Pik3r4	Gapvd1	Kctd13		Pa2g4
Tnk2	Hapln4	Pik3c2a		Snx6
Chchd3	Pdap1	Wbp4		Kcnh7
Tnr	Camkk2	Sema6d		Zhx2
Uty	Tceal5	Fbxo28		Ypel2
Dnajc1	Prrc1	Dctn5		Txn1
Anapc13	Ldb2	Actr1a		Tagln3
Ank1	Edem3	Neurod6		Atp11b
Megf8	Scd1	Ubqln4		Psmc1
Zfp961	Fat4	Isyna1		Tmsb10
Nbas	Ankfy1	Mdm4		Coq5
Zbtb6	Atpaf1	Smim15		Lix1l
Psmd8	Zmym3	Mdga2		Zfp781
Edrf1	Gbf1	Srcin1		Ctcf
Ppdpf	Unc79	Timm23		Gng5
H2-T24	Lhfpl4	Tub		Edf1
Ythdf2	Jun	Rcbtb1		Tiprl
Uggt2	Aspa	Znrf1		Arl14ep
Commd3	Zc3h7b	Gabpb2		Kifc2
Slc44a2	Cops4	Acot7		Eya2
A730017L22Rik	Psmb1	Suco		Ubb
Hnrnpa1	Shprh	Pdzd11		Myo18a
Urod	Tenm4	Anxa2		Slitrk4
Cisd1	Clmn	Syt16		2610005L07Rik
Rasa2	Tox4	Zcchc2		Nat8l
Cdc37	Pcp4l1	Tshz2		Stx4a
Fkbp8	Rpl27	Sez6l		Wtap
Sp100	Eml5	Insig2		Zfp26
Abca1	Cxxc1	Mospd1		Cmtm4
Trmt112	Kcnc2	BC005624		Miat
Gbp6	Tsc1	Aox3		Cacna1c
Sox6	Arpc1b	Ppid		Ube2a
Dsel	Eif3f	Rsbn1		Adh5
Jph3	Ttc1	Ago3		Dgkz
Plcxd3	Insr	Rufy2		Iscu
Agrn	Kcnab2	Kcnd2		Thoc7
Dnaja3	Lrrc4	Abca2		Tmcc3
Ccdc93	Dbndd2	Hid1		Slc6a8
Rarb	Cct4	5830417I10Rik		Npepps
Stat6	Trp53	Slitrk3		Srp54b
Phka2	Ssbp3	Rad50		Hspe1
Ecm2	Raver1	Zdbf2		Otud6b
Mnt	Mtmr4	Asgr1		Cox5a
Snd1	Nlgn3	Klhl13		Mia3
Mrps21	Lifr	Uchl1		Pom121
Cacna2d2	Heyl	Acsl6		Emc4
Cox20	Copg2	Pitpnm3		Rsrp1
Hace1	Dio2	Dock7		Hey1
Jakmip3	Ifrd1	Syt13		Cntnap2
1500004A13Rik	Itgav	Glrx		Cpd
Myof	Lrrc8b	Leo1		Chmp2b
Suds3	Pwwp2a	Xrn1		Zcchc14
Jund	Ilk	Vldlr		Ubp1
Ppp4r4	Dcun1d5	Lmo7		1110004F10Rik
Med12	Mon1b	Lrp1b		St13
Adarb2	Lamtor5	Ttc9c		Rapgefl1
Abcc5	Akt2	Nup214		Txndc17
Eif4a3	Nsmf	Sesn3		Gtpbp4
Rnpc3	Unc13c	Gpr88		Vdac3
Arhgap39	Peli1	Pip4k2c		Rabggtb
Trappc3	Tial1	Ksr2		Dicer1
Hspa2	Sat1	Bnip3		Dnajc13
Npc1	Mpv17	Esd		Ap1s2
Utp14b	Osgin2	Irs1		Ccnt1
Aldh7a1	Srp68	Cnrip1		2310022B05Rik
Tpd52l1	Tomm22	Ppfibp1		Appl2
Mphosph9	Bbip1	Srgap2		Dhx36
Ints6	Psmd6	Bod1		Ubr2
Amot	Myo1b	Nf2		Tpm2
Ppp2r3c	Emc8	Kat2b		Dpysl3
Sdr39u1	Pdcd6	Armcx4		Atg7
Kctd12b	Trp53bp2	Rrbp1		Nbeal1
Dcun1d3	Lrba	Bcr		Spcs3
Dnajc30	Gulp1	Terf2ip		Pcna
Rab3gap1	Rpgrip1l	Arl15		Cox5b
Tsr2	Nxf1	Atg2b		Trank1
Adam9	Chst1	Zfp804a		Atp6v1h
Zswim5	Nt5dc3	B3gat1		Adcy5
Agpat3	Dapk1	Napa		Trappc8
Itga4	Ift57	Samd8		Cyc1
Txndc5	Rilpl1	Tns3		Trabd2b
Isy1	Taf2	Calb1		Me2
Ophn1	Emd	Rapgef1		Tpd52l2
Edem1	Dusp14	Camkv		Fam114a1
Abcg1	Ccp110	Drp2		Sccpdh
Rpl35	Rif1	Mtmr3		Smap1
Zfyve16	Limch1	Atm		Nme1
Fgd4	Syap1	Lrpprc		Gtdc1
Lrp3	Kat7	Tet3		Bag5
Ift52	Dnajb11	Eno1b		Rps2
Gm17066	2900026A02Rik	Pdcd10		Unc5d
Rnf208	Per3	Gapvd1		Nrg3
Ppp1r3b	Gabra4	Hapln4		Ndfip2
Minpp1	Kdm5b	Pdap1		Srxn1
Gabra2	Lrrk2	Camkk2		Arid1b
Sv2c	Dhx57	Tceal5		Fdft1
Endod1	Gon4l	Prrc1		Mical3
Slc5a5	Emc3	Ldb2		Arel1
Pcdh15	Trappc10	Edem3		Pex19
Dgki	Rlf	Scd1		Psmc2
Als2	Pisd-ps1	Adar		Brk1
St6gal2	Exoc2	Fat4		Asb8
Vezt	Ostf1	Ankfy1		Ankmy2
Rad1	Kat2a	Ddx42		Cuta
Apmap	Gna11	Atpaf1		Terf2
Mast1	Ascc3	Zmym3		Asap2
Ccdc115	Slc44a1	Gbf1		Snapc5
Neurl1b	Cntnap1	Unc79		Arid5b
Epha6	Yap1	Lhfpl4		Rbms1
Pttg1	S100a6	Jun		Csnk1g1
Rab30	Slitrk5	Aspa		Kcnq5
Zfp563	Dnajb5	Cops5		Cnn3
Ccnt2	Fkbp4	Zc3h7b		Ptpn13
Aurkaip1	Rcan1	Cops4		Atl1
4833420G17Rik	Sulf1	Mllt6		Fbxo45
Gpatch4	Fnip1	Psmb1		Cdk7
Zfp280b	Ndufb10	Mtx3		Kndc1
Srrt	Elf1	Dtd1		Uba3
Hspa13	Uba5	Shprh		Btaf1
Gpr137c	Dock10	Tenm4		Ppp6c
Fras1	Ppp1r10	Clmn		Rnps1
Arl6ip4	Exoc4	Tox4		Rnf181
H13	Taok3	Sacm1l		Cyfip1
Sox11	Dctn2	Wipf1		Dync2h1
Tlr3	Ralgds	Ddhd2		Mllt10
Fam199x	Gm14295	Rpl27		Rbm6
Vhl	Kctd6	Eml5		Mamld1
Csmd2	Brd7	Cxxc1		Heg1
Zfp874a	AI597479	Kcnc2		Zfp788
Ifi27	Ndufb4	Ufm1		Gca
Jph1	Brd8	Tsc1		Ezr
Ptpn23	Fam76a	Ttc1		Cdc123
Ttc17	Ccdc25	Insr		Ndufa10
Lcmt1	Uqcr10	Lrrc4		2210016L21Rik
Thoc1	Idi1	Ssbp3		Capza1
Acsf2	Prdx5	Raver1		Adcy9
Sez6	Jarid2	Mtmr4		Tet1
Enoph1	Akap8	Kbtbd2		Dock4
Celsr3	Sik2	Cox7a2		Fsd1l
Grk4	Neto2	Heyl		Map3k9
Asic1	Smc5	Copg2		Atrnl1
Acot2	Cacng7	Dio2		Phlpp1
Tcf7	Ift74	Aldh6a1		Zic4
Invs	Ypel3	Fus		Smchd1
Slc25a42	Prkg1	Oxsr1		Pacsin2
Nsmaf	Flrt3	Anapc16		Pogk
Pcdhgc5	Midn	Lrrc8b		Cnot2
Swap70	Mpp1	Pwwp2a		Medag
Mettl9	Gpr155	Trappc1		Eif1ax
Wdr41	Phf20l1	Mon1b		Kdm6a
Lyrm2	Clk4	Lamtor5		Ier5
Bcl10	Rabif	Unc13c		Pdzd2
