TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Tnks2	Kcna2	Mycbp2	Lrrc8a	Scn8a
Cap2	Arf4	Plcb1	Cadm1	Shank1
Gabrb2	Mdh1	Cul3	Gabpb2	Agtpbp1
Atp6v1d	Nedd4l	6820431F20Rik	Cxxc4	Hivep2
Cntn1	Sparc	Dlgap1	Asb7	Actg1
Rtf1	Adcy1	Tmsb4x	Nkiras1	Timp2
Bzw1	Sub1	Ensa	Kazn	Hsbp1
Kidins220	Rpl4	Ndrg2	Bcl6	Ppp1r9a
Arf1	Psip1	Atf2	Lmo7	Cltc
Cacna1e	Cadm2	Peg3	Arl15	Ldhb
Hspa12a	Sqstm1	Trip12	Ddx42	Arhgap35
Fry	Arpp21	Ankrd11	Atpaf1	Rph3a
Enc1	Eif5	Camsap2	Clmn	Mycbp2
Trim9	Nefl	Pcp4	Brd1	Plcb1
Kmt2c	Dpysl2	Kcna2	Necab3	Cul3
Pebp1	Plp1	Arf4	Ifrd1	6820431F20Rik
Cycs	AI593442	Dazap2	Nsmf	Dlgap1
Bnip3l	Pitpna	Mdh1	Unc13c	Tmsb4x
Pcdh7	Sumo2	Nedd4l	Emc8	Ensa
Smc3	Ddx3x	Sparc	Emd	Ndrg2
Slk	Cdc42	Adcy1	Gnl1	Atf2
Akap6	Prrc2b	Sub1	Nrsn2	Peg3
Zmym2	Calm3	Psip1	Rcan1	Trip12
Crebbp	Gabrb3	Cadm2	Slc22a17	Tmem64
Lrrc7	Syne1	Sqstm1	Ralgds	Ankrd11
Herc1	Pcm1	Arpp21	Lsm12	Camsap2
Nf1	Paics	Tnrc6b	Vopp1	Pcp4
Tulp4	Hnrnpa2b1	Eif5	Mobp	Kcna2
Ep300	Polr2m	Nefl	Gnaz	Arf4
Celf1	Cadps	Dpysl2	Ubtf	Spin1
Top2b	Clic4	Plp1	B3galt1	Dazap2
Fat3	Braf	AI593442	Hsd17b4	Mdh1
Nrxn3	Tax1bp1	Scoc	Lrrn3	Nedd4l
Rpl41	Gria3	Pitpna	Fndc3b	Sparc
Ak3	Stxbp5l	Sumo2	Pcyt1a	Adcy1
Gucy1a2	Dmxl2	Cdc42	Larp7	Sub1
Hp1bp3	Shoc2	Prrc2b	Ilf3	Rpl4
Son	Nnat	Calm3	Stmn3	Psip1
Astn1	Dnm3	Dkk3	Nup88	Cadm2
