XFTU	XFRC	XFNC	XFRN
Iqsec3	Dusp18		Fam160b1
Tgfb1	Ubtd1		Rgs8
Cox7a1	Camk1g		Sh3yl1
Hdac11	Cnp		Hiatl1
Hrasls	9330179D12Rik		Grik4
Vps37d	Akr1c18		Foxo3
Cdk10	Slco4a1		Trip13
Ugt8a	Jun		Gm4980
Fam101a	Ppm1a		Zfp955a
Akap7	Casz1		F11r
Klf10	Dtl		Chac1
Mak	Hsp90b1		Slc3a2
Inpp5f	Rcor3		Tmem241
Prss23	Amot		March4
Efcab6	Slc16a7		Trem2
Chka	N4bp3		Spire1
Xpo1	Wipf3		Skp1a
Fus	Ackr2		Wtip
Scn1a	Bre		Tspan5
Otub2	Myom3		Il18bp
Rhobtb2	Itsn2		Kdm7a
Bbs2	Kmt2e		Gm14446
Ncor2	Gpr3		Slc35f3
Cxxc5	Mettl22		2310039H08Rik
Ly6g6e	Vps35		Snx10
Rspo3	Park2		1500004A13Rik
Pspc1	Grik2		Prrg1
Sh3gl2	Fbxw7		Zfp260
Kif1c	Syt7		Snrpf
Fbxo3	Kbtbd11		Hras
Mir22hg	Nupr1		9330159F19Rik
Fstl3	Otub2		Vps45
Orai1	Casp9		March1
Nefl	Bnip3		Fig4
Zfp59	Ankrd28		Eif2s2
Ankrd13c	Ncdn		Smyd5
Map6d1	Sema4a		Mog
Snx18	Foxp1		Otop2
Ttll7	Ormdl1		Cyc1
Stxbp5	3110009E18Rik		Vps54
Ttll5	Ptprg		Rspo2
Sowahb	Zfr		Moxd1
Dusp4	Clcn5		Caprin1
Zfp703	6430548M08Rik		Atp8a2
Anp32a	Churc1		Kcnh2
Ankrd44	Ace		Smarca5
Sgk3	C77080		Tagln3
Siah2	Rgs10		Cep41
Krt12	Vipr1		Kcnj9
Ube2e3	Cdk10		Abhd10
Nr1d1	Lrg1		AW209491
Enpp2	Hrasls		Rps27l
Fstl5	Mog		Myh14
Larp7	Ocln		Blnk
Csnk1g2	Cradd		Mcc
Pnoc	Wtap		Wdr66
Bcar3	Gse1		Cyb5d1
Snx7	Hspb3		Zfp280d
Slitrk2	Ucma		Thsd7b
Mxra7	Plch1		Vps4a
Prkca	Slc35f6		Kremen1
Leprel4	Cep97		Napg
Neu2	D430019H16Rik		Tmem120a
Atf6b	Slc1a6		Atxn1
Mpv17	Adam23		Hipk3
Slc16a1	Ddx49		Nudt14
Dhrs7	Plxna3		Efs
Dancr	Cyth3		Cwf19l2
Tenm4	Lypd6b		Fem1a
Lsm11	Klhdc8a		Mfap2
Dnaja2	Slc5a3		Car15
Rps6ka5	Bex4		Cpm
Gab2	Zfand4		Raly
Zdhhc4	Arhgef1		2310067B10Rik
Ankrd28	Rab29		Strip2
Rin3	Pfkfb3		Timp2
Epha5	Stra6		Katnbl1
C630043F03Rik	Ndnf		Zfp954
Idi1	Dlg5		Cyth4
Slc27a2	Ccrn4l		Atp6ap2
Plekha2	Gpc1		Cdh13
Sec61a2	Cth		Crocc
Nrn1	Lgi2		Far2
Uap1l1	Mrap2		Cacna1g
Elk1	Trim2		Slc41a3
