XFTU	XFRC	XFNC	XFRN
Lancl2			
Zfp423			
Acvr1			
Plk5			
Rbm46			
Evi5			
Aplp1			
Gda			
Rffl			
Rapgef4			
Aqr			
Stx17			
Nod1			
Kmt2e			
Kcnq5			
Wwtr1			
Mfsd7b			
Smurf2			
Obfc1			
Gpr125			
Gucy1b3			
Gmeb1			
Pdlim2			
Wdr90			
Macrod2			
Zbtb48			
Nans			
Il17rb			
Mcee			
Twsg1			
Atp2b3			
Ntf3			
Cdh16			
Svs5			
Samd4b			
Hhex			
Prr13			
Enthd2			
Porcn			
Tbcd			
Pde4dip			
Actr3b			
Birc3			
Kdm4d			
Ankrd46			
Tmem132e			
Sec11a			
Akap1			
Ccng2			
Pick1			
Ppip5k1			
Ddah1			
Psen1			
Klk8			
Zfp84			
Tmem198			
Atp10a			
Ip6k2			
Ambra1			
Npr2			
Efna5			
Enpep			
Osgepl1			
Fam129b			
Kbtbd11			
Fam189b			
Npas4			
Slc25a37			
C1ql3			
9530036O11Rik			
Gse1			
Caprin1			
Pamr1			
Eps8			
Slc6a16			
Naa16			
Scfd2			
Nol7			
Mknk2			
Jam3			
Rrp8			
Pard6a			
Lrrc20			
Gpr61			
Rab15			
Tshz1			
Golt1b			
Pqbp1			
Itga6			
Cmas			
Anxa5			
Calu			
Glce			
St6galnac4			
Etv3			
Stmn2			
Nme7			
Tox3			
Fam132a			
Pcdh15			
Acot1			
Mrfap1			
B230219D22Rik			
Znhit2			
Rnf169			
Fgd4			
Rexo2			
Taf15			
Ddit4			
Gtf2ird2			
Ppp1r1a			
Magel2			
3110009E18Rik			
Renbp			
Trim59			
Rilpl2			
Rgs4			
Kcnc1			
Sept6			
Stard7			
Zfp612			
Rad18			
Kcnt1			
Fbxo5			
Hs3st2			
Cbln2			
Btbd3			
Adra2c			
Nfatc4			
Osgin2			
Farp1			
Ccdc107			
Ptpre			
Tcf12			
Reck			
Serpina3n			
Ssh2			
Tmeff2			
Cops7b			
Slc16a6			
Itpkc			
Tmem117			
Ccdc3			
Dusp7			
Pik3r3			
Rbfox1			
Lincpint			
Ncapd3			
Zfp777			
Olfm2			
Gm13889			
Npr3			
Macrod1			
Pygo1			
Gpr88			
Net1			
Me3			
Ntng2			
Ctsc			
Cabp1			
Gdap1l1			
Stt3b			
Pdlim4			
C2cd2			
Dcc			
Sag			
Mrps2			
Gsta4			
Gnb2l1			
Bcr			
Gpr85			
Pstpip2			
Rgs12			
Scn3b			
4933427D14Rik			
Zfp148			
Ascc1			
Cdc7			
Kctd1			
Myo1d			
Gpr151			
Pdilt			
Lrig2			
Rpp25			
Ptgr1			
Gabbr1			
Chrna6			
Neil1			
Mcfd2			
Nr4a2			
Slc19a1			
Sbf1			
Brat1			
Cyth1			
Mroh1			
Hist2h2be			
Epha6			
Maff			
Tgfbr1			
Chrna7			
Col1a1			
Malat1			
Park2			
L1cam			
Cenpj			
Ncdn			
Rcor3			
Sqle			
Cry2			
Klf2			
Spata2			
Kctd10			
Clec4a3			
Lypd6			
Apopt1			
Dpy19l1			
Kcnd3			
Neurod2			
Surf1			
Plekhh2			
Cyth4			
Cdh4			
Fam120c			
Rab31			
Smpd1			
Orc6			
Tm9sf1			
Rora			
Setd4			
Rgl1			
Rad51d			
Espn			
Gng7			
Fam171a2			
Rgs14			
Dcx			
Cbx4			
Dhx32			
Mbp			
Metrn			
Inpp4a			
Zfp143			
Ttc21b			
Strbp			
Parvb			
Cpne7			
Pcgf3			
Filip1			
Mrpl10			
Snrpg			
Itpr3			
Tspan12			
Kbtbd3			
Panct2			
Racgap1			
Ppfia4			
Ints6			
Sfrp5			
Smc2os			
Rab29			
Wdr45			
Atad5			
Rtn4rl2			
Rgs19			
Cyp46a1			
Ngly1			
Rnd3			
Arhgap26			
Tanc1			
Ppp1r36			
Zswim3			
U2af1			
Ccdc93			
Abca7			
Npy			
Eml2			
Stra6			
Zcchc12			
Nt5c2			
Fam189a2			
Efna3			
Ylpm1			
Arsj			
Tle2			
Eri1			
Fam213b			
Hltf			
Stx5a			
Sdf2l1			
Med28			
Tex30			
Unc5a			
Dap			
Cpne9			
Brdt			
Hspa2			
Sugp1			
2810428I15Rik			
Pld4			
Mtss1			
Plekhh3			
Rhoc			
S1pr5			
Igf1r			
Cdk5rap3			
Fam135a			
B4galt4			
Ccdc6			
Scn4b			
Eif2ak4			
Xkr8			
Dgkq			
Rasal2			
Cadm3			
Fosl2			
Tcea2			
Ctla2b			
Zc3h7b			
Ccdc159			
Rbms2			
P4ha3			
Apaf1			
Rangap1			
Ppp4r1l-ps			
Gm13446			
Dnajc4			
Arhgap4			
5730455P16Rik			
Mapre1			
Fcgr3			
Lhfpl5			
Utp15			
Lrtm2			
Efnb3			
Capns1			
Armc10			
Amot			
Kank4			
Ppap2b			
Ociad2			
Pcsk4			
Pdgfc			
Cacnb2			
Rhou			
Nav1			
Lasp1			
Zfp354a			
Snx16			
Reps1			
Nek1			
Mtx3			
Dio2			
Slc16a2			
Cyb5r3			
Lgmn			
Prkcq			
Tmem252			
Dtx3l			
Wbp4			
Acat2			
Acot3			
Fra10ac1			
Gm13111			
4930447C04Rik			
Usp43			
Mvb12a			
Fabp3			
Gtpbp6			
Herpud1			
Apeh			
Slitrk3			
2310047M10Rik			
Tbc1d8b			
Dnah7a			
A430033K04Rik			
Szt2			
Exd2			
Ntng1			
Pgam2			
Lrrc2			
Fam71e1			
Ube3c			
Itpr1			
Snn			
Rbmx			
Ppp1r18			
Aqp4			
Zfp598			
Plek			
Evi2a			
Tmem44			
Terf2ip			
Cela3b			
Lrrc19			
Tob1			
Acvr1c			
Paqr8			
Slitrk5			
Lingo2			
Itgb1bp1			
Ece1			
