AllCombined	Arc	BLA	BNST	CGC	CMA	dorCA1	dorDG	HB	ILC	InsularCortex	LC	LH	LS	MDT	MPOA	MS	NaCcore	NaCshell	PAG	PLC	PVN	Raphe	SNT	venCA1	venDG	VMH	VTA
ENSRNOT00000012101	ENSRNOT00000009202	ENSRNOT00000001084	ENSRNOT00000005773	ENSRNOT00000038138	ENSRNOT00000021636	ENSRNOT00000012760	ENSRNOT00000050232	ENSRNOT00000006148	ENSRNOT00000017301	ENSRNOT00000003397	ENSRNOT00000015092	ENSRNOT00000064438	ENSRNOT00000068717	ENSRNOT00000047439	ENSRNOT00000010826	ENSRNOT00000002869	ENSRNOT00000008987	ENSRNOT00000012325	ENSRNOT00000064661	ENSRNOT00000001890	ENSRNOT00000001486	ENSRNOT00000012558	ENSRNOT00000065188		ENSRNOT00000015322	ENSRNOT00000060594	ENSRNOT00000001890
ENSRNOT00000075159	ENSRNOT00000074772	ENSRNOT00000012138	ENSRNOT00000020493	ENSRNOT00000028373	ENSRNOT00000003092	ENSRNOT00000049832	ENSRNOT00000008106	ENSRNOT00000074743	ENSRNOT00000061233	ENSRNOT00000067261	ENSRNOT00000025018	ENSRNOT00000002552	ENSRNOT00000003784	ENSRNOT00000059813	ENSRNOT00000001961	ENSRNOT00000050987	ENSRNOT00000054890	ENSRNOT00000013721	ENSRNOT00000064671	ENSRNOT00000040954	ENSRNOT00000066598	ENSRNOT00000003413	ENSRNOT00000022695		ENSRNOT00000016111	ENSRNOT00000001486	ENSRNOT00000040954
ENSRNOT00000015956	ENSRNOT00000067939	ENSRNOT00000001099	ENSRNOT00000005071	ENSRNOT00000056392	ENSRNOT00000074978	ENSRNOT00000008281	ENSRNOT00000004877	ENSRNOT00000004905	ENSRNOT00000002576	ENSRNOT00000015452	ENSRNOT00000005849	ENSRNOT00000010254	ENSRNOT00000005773	ENSRNOT00000066678	ENSRNOT00000061233	ENSRNOT00000001856	ENSRNOT00000001644	ENSRNOT00000065926	ENSRNOT00000031741	ENSRNOT00000026390	ENSRNOT00000001910	ENSRNOT00000027520	ENSRNOT00000040983		ENSRNOT00000014444	ENSRNOT00000066598	ENSRNOT00000066069
ENSRNOT00000005138	ENSRNOT00000001591	ENSRNOT00000002030	ENSRNOT00000005623	ENSRNOT00000010399	ENSRNOT00000020763	ENSRNOT00000072190	ENSRNOT00000026789	ENSRNOT00000059069	ENSRNOT00000045795	ENSRNOT00000028948	ENSRNOT00000010601	ENSRNOT00000028877	ENSRNOT00000036990	ENSRNOT00000009716	ENSRNOT00000013575	ENSRNOT00000028549	ENSRNOT00000003397	ENSRNOT00000021884	ENSRNOT00000007424	ENSRNOT00000059524	ENSRNOT00000014124	ENSRNOT00000036738	ENSRNOT00000015687		ENSRNOT00000075794	ENSRNOT00000001910	ENSRNOT00000010409
ENSRNOT00000064900	ENSRNOT00000065521	ENSRNOT00000036942	ENSRNOT00000008382	ENSRNOT00000006186	ENSRNOT00000018685	ENSRNOT00000058665	ENSRNOT00000026152	ENSRNOT00000029312	ENSRNOT00000004901	ENSRNOT00000061916	ENSRNOT00000046746	ENSRNOT00000029041	ENSRNOT00000009489	ENSRNOT00000020809	ENSRNOT00000045795	ENSRNOT00000009086	ENSRNOT00000065926	ENSRNOT00000041709	ENSRNOT00000028290	ENSRNOT00000065584	ENSRNOT00000018646	ENSRNOT00000013933	ENSRNOT00000058490		ENSRNOT00000009139	ENSRNOT00000019795	ENSRNOT00000052289
ENSRNOT00000000635	ENSRNOT00000036223	ENSRNOT00000003857	ENSRNOT00000017232	ENSRNOT00000048770	ENSRNOT00000003971	ENSRNOT00000061921	ENSRNOT00000026962	ENSRNOT00000016259	ENSRNOT00000051504	ENSRNOT00000036745	ENSRNOT00000046983	ENSRNOT00000036472	ENSRNOT00000068132	ENSRNOT00000036853	ENSRNOT00000018122	ENSRNOT00000070832	ENSRNOT00000009897	ENSRNOT00000014309	ENSRNOT00000017147	ENSRNOT00000036853	ENSRNOT00000014747	ENSRNOT00000001581	ENSRNOT00000068003		ENSRNOT00000016688	ENSRNOT00000014124	ENSRNOT00000044742
ENSRNOT00000021366	ENSRNOT00000030015	ENSRNOT00000006087	ENSRNOT00000073025	ENSRNOT00000029829	ENSRNOT00000021289	ENSRNOT00000014639	ENSRNOT00000020207	ENSRNOT00000024690	ENSRNOT00000003246	ENSRNOT00000071917	ENSRNOT00000064450	ENSRNOT00000048550	ENSRNOT00000005623	ENSRNOT00000034266	ENSRNOT00000064671	ENSRNOT00000003473	ENSRNOT00000037660	ENSRNOT00000009897	ENSRNOT00000020181	ENSRNOT00000013467	ENSRNOT00000046563	ENSRNOT00000002869	ENSRNOT00000072389		ENSRNOT00000025308	ENSRNOT00000002862	ENSRNOT00000036115
ENSRNOT00000023811	ENSRNOT00000068739	ENSRNOT00000068717	ENSRNOT00000027893	ENSRNOT00000025740	ENSRNOT00000003320	ENSRNOT00000012473	ENSRNOT00000018133	ENSRNOT00000022142	ENSRNOT00000054850	ENSRNOT00000006780	ENSRNOT00000070822	ENSRNOT00000014437	ENSRNOT00000019089	ENSRNOT00000012385	ENSRNOT00000007424	ENSRNOT00000001696	ENSRNOT00000033285	ENSRNOT00000071917	ENSRNOT00000017972	ENSRNOT00000034266	ENSRNOT00000021769	ENSRNOT00000034506	ENSRNOT00000028266		ENSRNOT00000017400	ENSRNOT00000018646	ENSRNOT00000011697
ENSRNOT00000007624	ENSRNOT00000001640	ENSRNOT00000016401	ENSRNOT00000071986	ENSRNOT00000026462	ENSRNOT00000015338	ENSRNOT00000010906	ENSRNOT00000066740	ENSRNOT00000016037	ENSRNOT00000024536	ENSRNOT00000039991	ENSRNOT00000037742	ENSRNOT00000012321	ENSRNOT00000025904	ENSRNOT00000061234	ENSRNOT00000060132	ENSRNOT00000004038	ENSRNOT00000071211	ENSRNOT00000027061	ENSRNOT00000074096	ENSRNOT00000034708	ENSRNOT00000012720	ENSRNOT00000049127	ENSRNOT00000022086		ENSRNOT00000075536	ENSRNOT00000020625	ENSRNOT00000013467
ENSRNOT00000064851	ENSRNOT00000024752	ENSRNOT00000020493	ENSRNOT00000001853	ENSRNOT00000023706	ENSRNOT00000005919	ENSRNOT00000021607	ENSRNOT00000019666	ENSRNOT00000028067	ENSRNOT00000003346	ENSRNOT00000022249	ENSRNOT00000004939	ENSRNOT00000066809	ENSRNOT00000021337	ENSRNOT00000047741	ENSRNOT00000013052	ENSRNOT00000073790	ENSRNOT00000067414	ENSRNOT00000033285	ENSRNOT00000008302	ENSRNOT00000005873	ENSRNOT00000034284	ENSRNOT00000027682	ENSRNOT00000014598		ENSRNOT00000060282	ENSRNOT00000014747	ENSRNOT00000012385
ENSRNOT00000024402	ENSRNOT00000013912	ENSRNOT00000025904	ENSRNOT00000005885	ENSRNOT00000006830	ENSRNOT00000025928	ENSRNOT00000006148	ENSRNOT00000004970	ENSRNOT00000007917	ENSRNOT00000028542	ENSRNOT00000021596	ENSRNOT00000064832	ENSRNOT00000007957	ENSRNOT00000042562	ENSRNOT00000004241	ENSRNOT00000028290	ENSRNOT00000006329	ENSRNOT00000010224	ENSRNOT00000067414	ENSRNOT00000028264	ENSRNOT00000012947	ENSRNOT00000015299	ENSRNOT00000024218	ENSRNOT00000001485		ENSRNOT00000010375	ENSRNOT00000046563	ENSRNOT00000000595
ENSRNOT00000009398	ENSRNOT00000042117	ENSRNOT00000031033	ENSRNOT00000015322	ENSRNOT00000001968	ENSRNOT00000016657	ENSRNOT00000025606	ENSRNOT00000049832	ENSRNOT00000027965	ENSRNOT00000022400	ENSRNOT00000004881	ENSRNOT00000001577	ENSRNOT00000008281	ENSRNOT00000065261	ENSRNOT00000010229	ENSRNOT00000027370	ENSRNOT00000041950	ENSRNOT00000022249	ENSRNOT00000025472	ENSRNOT00000010433	ENSRNOT00000047741	ENSRNOT00000040978	ENSRNOT00000019256	ENSRNOT00000001248		ENSRNOT00000024393	ENSRNOT00000021769	ENSRNOT00000047698
ENSRNOT00000019748	ENSRNOT00000026121	ENSRNOT00000065261	ENSRNOT00000045460	ENSRNOT00000017325	ENSRNOT00000028388	ENSRNOT00000029312	ENSRNOT00000008281	ENSRNOT00000068003	ENSRNOT00000038212	ENSRNOT00000060132	ENSRNOT00000002991	ENSRNOT00000019501	ENSRNOT00000000792	ENSRNOT00000011086	ENSRNOT00000017147	ENSRNOT00000003240	ENSRNOT00000035240	ENSRNOT00000075790	ENSRNOT00000008361	ENSRNOT00000054955	ENSRNOT00000028316	ENSRNOT00000055978	ENSRNOT00000038537		ENSRNOT00000015818	ENSRNOT00000049170	ENSRNOT00000005753
ENSRNOT00000066084	ENSRNOT00000011085	ENSRNOT00000002883	ENSRNOT00000017338	ENSRNOT00000033978	ENSRNOT00000006423	ENSRNOT00000038686	ENSRNOT00000058665	ENSRNOT00000027526	ENSRNOT00000016712	ENSRNOT00000027370	ENSRNOT00000017617	ENSRNOT00000058665	ENSRNOT00000016013	ENSRNOT00000000716	ENSRNOT00000022632	ENSRNOT00000049344	ENSRNOT00000014661	ENSRNOT00000003412	ENSRNOT00000061504	ENSRNOT00000010229	ENSRNOT00000026466	ENSRNOT00000064802	ENSRNOT00000030943		ENSRNOT00000014249	ENSRNOT00000051638	ENSRNOT00000004121
ENSRNOT00000001054	ENSRNOT00000020908	ENSRNOT00000003349	ENSRNOT00000013341	ENSRNOT00000020951	ENSRNOT00000067392	ENSRNOT00000003237	ENSRNOT00000016730	ENSRNOT00000002030	ENSRNOT00000001745	ENSRNOT00000016632	ENSRNOT00000041215	ENSRNOT00000012610	ENSRNOT00000035651	ENSRNOT00000025939	ENSRNOT00000026960	ENSRNOT00000000478	ENSRNOT00000073636	ENSRNOT00000074096	ENSRNOT00000003413	ENSRNOT00000015612	ENSRNOT00000075041	ENSRNOT00000020051	ENSRNOT00000022360		ENSRNOT00000000826	ENSRNOT00000012720	ENSRNOT00000012947
ENSRNOT00000013695	ENSRNOT00000067650	ENSRNOT00000015322	ENSRNOT00000064914	ENSRNOT00000055271	ENSRNOT00000026907	ENSRNOT00000015401	ENSRNOT00000006148	ENSRNOT00000006087	ENSRNOT00000027271	ENSRNOT00000016236	ENSRNOT00000067939	ENSRNOT00000059069	ENSRNOT00000010627	ENSRNOT00000008106	ENSRNOT00000000025	ENSRNOT00000039842	ENSRNOT00000004881	ENSRNOT00000026843	ENSRNOT00000005556	ENSRNOT00000050232	ENSRNOT00000009198	ENSRNOT00000028411	ENSRNOT00000030617		ENSRNOT00000025031	ENSRNOT00000034284	ENSRNOT00000016209
ENSRNOT00000031291	ENSRNOT00000008507	ENSRNOT00000027452	ENSRNOT00000000574	ENSRNOT00000028653	ENSRNOT00000025966	ENSRNOT00000027755	ENSRNOT00000016027	ENSRNOT00000016401	ENSRNOT00000067942	ENSRNOT00000005706	ENSRNOT00000023637	ENSRNOT00000029312	ENSRNOT00000012379	ENSRNOT00000032424	ENSRNOT00000018058	ENSRNOT00000073738	ENSRNOT00000060132	ENSRNOT00000013476	ENSRNOT00000002869	ENSRNOT00000017736	ENSRNOT00000054915	ENSRNOT00000001533	ENSRNOT00000002502		ENSRNOT00000064245	ENSRNOT00000015299	ENSRNOT00000061234
ENSRNOT00000018723	ENSRNOT00000024897	ENSRNOT00000075601	ENSRNOT00000067333	ENSRNOT00000008964	ENSRNOT00000050859	ENSRNOT00000059680	ENSRNOT00000029312	ENSRNOT00000005773	ENSRNOT00000064145	ENSRNOT00000043148	ENSRNOT00000012790	ENSRNOT00000017718	ENSRNOT00000015322	ENSRNOT00000026962	ENSRNOT00000018114	ENSRNOT00000010712	ENSRNOT00000075790	ENSRNOT00000003413	ENSRNOT00000025221	ENSRNOT00000026152	ENSRNOT00000026141	ENSRNOT00000003473	ENSRNOT00000020098		ENSRNOT00000060838	ENSRNOT00000028316	ENSRNOT00000020532
ENSRNOT00000017794	ENSRNOT00000014411	ENSRNOT00000034261	ENSRNOT00000031979	ENSRNOT00000024901	ENSRNOT00000020323	ENSRNOT00000032027	ENSRNOT00000016259	ENSRNOT00000014787	ENSRNOT00000012727	ENSRNOT00000064060	ENSRNOT00000024701	ENSRNOT00000015401	ENSRNOT00000033406	ENSRNOT00000004448	ENSRNOT00000003413	ENSRNOT00000046983	ENSRNOT00000027944	ENSRNOT00000017770	ENSRNOT00000004127	ENSRNOT00000013393	ENSRNOT00000025355	ENSRNOT00000043365	ENSRNOT00000003735		ENSRNOT00000041922	ENSRNOT00000018293	ENSRNOT00000068098
ENSRNOT00000031231	ENSRNOT00000056903	ENSRNOT00000017400	ENSRNOT00000024737	ENSRNOT00000001486	ENSRNOT00000025354	ENSRNOT00000014827	ENSRNOT00000024690	ENSRNOT00000013753	ENSRNOT00000057058	ENSRNOT00000000025	ENSRNOT00000025547	ENSRNOT00000043561	ENSRNOT00000059780	ENSRNOT00000051243	ENSRNOT00000023078	ENSRNOT00000022661	ENSRNOT00000000733	ENSRNOT00000036738	ENSRNOT00000022246	ENSRNOT00000024256	ENSRNOT00000060370	ENSRNOT00000073809	ENSRNOT00000041168		ENSRNOT00000054776	ENSRNOT00000075041	ENSRNOT00000045547
ENSRNOT00000020284	ENSRNOT00000011747	ENSRNOT00000035285	ENSRNOT00000027528	ENSRNOT00000066598	ENSRNOT00000001730	ENSRNOT00000030617	ENSRNOT00000009402	ENSRNOT00000064468	ENSRNOT00000027943	ENSRNOT00000058362	ENSRNOT00000016423	ENSRNOT00000056649	ENSRNOT00000019931	ENSRNOT00000009817	ENSRNOT00000004524	ENSRNOT00000058642	ENSRNOT00000024536	ENSRNOT00000003191	ENSRNOT00000039540	ENSRNOT00000051243	ENSRNOT00000013747	ENSRNOT00000036717	ENSRNOT00000057218		ENSRNOT00000036151	ENSRNOT00000009198	ENSRNOT00000027616
ENSRNOT00000063810	ENSRNOT00000026895	ENSRNOT00000015387	ENSRNOT00000074384	ENSRNOT00000001910	ENSRNOT00000042882	ENSRNOT00000002502	ENSRNOT00000015401	ENSRNOT00000006966	ENSRNOT00000001401	ENSRNOT00000008883	ENSRNOT00000029443	ENSRNOT00000040983	ENSRNOT00000014552	ENSRNOT00000024782	ENSRNOT00000010835	ENSRNOT00000055016	ENSRNOT00000021638	ENSRNOT00000014090	ENSRNOT00000000011	ENSRNOT00000059776	ENSRNOT00000021075	ENSRNOT00000023623	ENSRNOT00000018556		ENSRNOT00000005039	ENSRNOT00000017375	ENSRNOT00000004241
ENSRNOT00000020437	ENSRNOT00000001890	ENSRNOT00000025576	ENSRNOT00000006095	ENSRNOT00000014124	ENSRNOT00000061558	ENSRNOT00000006087	ENSRNOT00000068322	ENSRNOT00000005623	ENSRNOT00000027520	ENSRNOT00000067942	ENSRNOT00000020265	ENSRNOT00000021216	ENSRNOT00000074595	ENSRNOT00000066740	ENSRNOT00000013933	ENSRNOT00000038677	ENSRNOT00000024408	ENSRNOT00000049127	ENSRNOT00000011246	ENSRNOT00000006836	ENSRNOT00000013703	ENSRNOT00000074695	ENSRNOT00000021337		ENSRNOT00000029593	ENSRNOT00000028052	ENSRNOT00000026897
ENSRNOT00000022047	ENSRNOT00000027445	ENSRNOT00000070994	ENSRNOT00000015387	ENSRNOT00000032739	ENSRNOT00000057529	ENSRNOT00000014625	ENSRNOT00000007947	ENSRNOT00000000911	ENSRNOT00000063876	ENSRNOT00000025134	ENSRNOT00000059892	ENSRNOT00000027755	ENSRNOT00000067663	ENSRNOT00000019666	ENSRNOT00000003239	ENSRNOT00000072573	ENSRNOT00000038212	ENSRNOT00000010463	ENSRNOT00000055978	ENSRNOT00000024782	ENSRNOT00000019040	ENSRNOT00000073790	ENSRNOT00000042562		ENSRNOT00000007775	ENSRNOT00000025355	ENSRNOT00000054955
ENSRNOT00000042126	ENSRNOT00000001305	ENSRNOT00000055822	ENSRNOT00000072481	ENSRNOT00000014747	ENSRNOT00000005461	ENSRNOT00000005773	ENSRNOT00000028067	ENSRNOT00000041550	ENSRNOT00000036738	ENSRNOT00000010748	ENSRNOT00000000325	ENSRNOT00000017834	ENSRNOT00000048332	ENSRNOT00000048550	ENSRNOT00000004127	ENSRNOT00000014548	ENSRNOT00000019923	ENSRNOT00000009084	ENSRNOT00000028411	ENSRNOT00000001940	ENSRNOT00000023068	ENSRNOT00000006329	ENSRNOT00000064292		ENSRNOT00000029768	ENSRNOT00000064662	ENSRNOT00000068440
ENSRNOT00000019707	ENSRNOT00000001766	ENSRNOT00000012657	ENSRNOT00000065339	ENSRNOT00000046563	ENSRNOT00000004065	ENSRNOT00000036200	ENSRNOT00000007917	ENSRNOT00000000792	ENSRNOT00000013933	ENSRNOT00000028876	ENSRNOT00000068431	ENSRNOT00000032027	ENSRNOT00000024757	ENSRNOT00000057845	ENSRNOT00000004702	ENSRNOT00000001591	ENSRNOT00000028876	ENSRNOT00000001012	ENSRNOT00000013743	ENSRNOT00000017151	ENSRNOT00000016265	ENSRNOT00000035788	ENSRNOT00000065261		ENSRNOT00000036103	ENSRNOT00000021075	ENSRNOT00000075420
ENSRNOT00000014491	ENSRNOT00000024938	ENSRNOT00000014151	ENSRNOT00000035846	ENSRNOT00000049170	ENSRNOT00000010151	ENSRNOT00000006796	ENSRNOT00000027755	ENSRNOT00000072794	ENSRNOT00000029825	ENSRNOT00000017770	ENSRNOT00000067000	ENSRNOT00000001248	ENSRNOT00000017858	ENSRNOT00000017090	ENSRNOT00000009009	ENSRNOT00000006070	ENSRNOT00000026909	ENSRNOT00000001533	ENSRNOT00000003473	ENSRNOT00000004970	ENSRNOT00000019524	ENSRNOT00000021168	ENSRNOT00000013189		ENSRNOT00000017466	ENSRNOT00000013703	ENSRNOT00000000716
ENSRNOT00000021862	ENSRNOT00000005172	ENSRNOT00000004383	ENSRNOT00000012088	ENSRNOT00000073642	ENSRNOT00000057740	ENSRNOT00000022328	ENSRNOT00000007268	ENSRNOT00000007625	ENSRNOT00000034506	ENSRNOT00000009549	ENSRNOT00000011394	ENSRNOT00000020098	ENSRNOT00000028213	ENSRNOT00000012321	ENSRNOT00000074960	ENSRNOT00000059892	ENSRNOT00000001581	ENSRNOT00000003473	ENSRNOT00000001696	ENSRNOT00000004641	ENSRNOT00000065531	ENSRNOT00000006020	ENSRNOT00000007625		ENSRNOT00000064526	ENSRNOT00000049706	ENSRNOT00000025939
ENSRNOT00000023278	ENSRNOT00000019876	ENSRNOT00000004834	ENSRNOT00000020683	ENSRNOT00000074395	ENSRNOT00000018645	ENSRNOT00000064468	ENSRNOT00000017834	ENSRNOT00000064875	ENSRNOT00000051590	ENSRNOT00000010835	ENSRNOT00000008160	ENSRNOT00000074514	ENSRNOT00000017400	ENSRNOT00000014639	ENSRNOT00000056862	ENSRNOT00000065076	ENSRNOT00000059592	ENSRNOT00000001696	ENSRNOT00000043365	ENSRNOT00000072818	ENSRNOT00000027083	ENSRNOT00000073910	ENSRNOT00000014103		ENSRNOT00000016561	ENSRNOT00000019524	ENSRNOT00000051338
ENSRNOT00000001717	ENSRNOT00000040954	ENSRNOT00000016986	ENSRNOT00000013621	ENSRNOT00000001517	ENSRNOT00000023581	ENSRNOT00000065261	ENSRNOT00000032027	ENSRNOT00000014770	ENSRNOT00000024079	ENSRNOT00000013933	ENSRNOT00000019618	ENSRNOT00000006087	ENSRNOT00000075476	ENSRNOT00000027634	ENSRNOT00000008954	ENSRNOT00000015185	ENSRNOT00000020425	ENSRNOT00000020929	ENSRNOT00000020472	ENSRNOT00000014437	ENSRNOT00000006708	ENSRNOT00000038807	ENSRNOT00000005095		ENSRNOT00000055274	ENSRNOT00000012530	ENSRNOT00000072983
ENSRNOT00000015179	ENSRNOT00000027256	ENSRNOT00000041410	ENSRNOT00000068666	ENSRNOT00000012720		ENSRNOT00000013189	ENSRNOT00000001485	ENSRNOT00000009370	ENSRNOT00000005781	ENSRNOT00000003191	ENSRNOT00000007662	ENSRNOT00000016401	ENSRNOT00000061693	ENSRNOT00000010906	ENSRNOT00000011246	ENSRNOT00000001640	ENSRNOT00000019848	ENSRNOT00000044147	ENSRNOT00000002876	ENSRNOT00000012321	ENSRNOT00000028495	ENSRNOT00000007580	ENSRNOT00000014770		ENSRNOT00000032059	ENSRNOT00000068336	ENSRNOT00000030967
ENSRNOT00000021258	ENSRNOT00000006355	ENSRNOT00000009430	ENSRNOT00000025585	ENSRNOT00000006321		ENSRNOT00000002883	ENSRNOT00000003857	ENSRNOT00000027206	ENSRNOT00000027457	ENSRNOT00000001581	ENSRNOT00000014492	ENSRNOT00000005773	ENSRNOT00000037955	ENSRNOT00000068535	ENSRNOT00000011610	ENSRNOT00000023619	ENSRNOT00000074826	ENSRNOT00000002987	ENSRNOT00000027266	ENSRNOT00000008281	ENSRNOT00000045477	ENSRNOT00000067939	ENSRNOT00000037369		ENSRNOT00000017264	ENSRNOT00000006708	ENSRNOT00000023139
ENSRNOT00000028892	ENSRNOT00000001589	ENSRNOT00000037399	ENSRNOT00000007816	ENSRNOT00000034284		ENSRNOT00000006175	ENSRNOT00000003735	ENSRNOT00000007790	ENSRNOT00000005270	ENSRNOT00000002134	ENSRNOT00000027057	ENSRNOT00000035906	ENSRNOT00000015387	ENSRNOT00000026173	ENSRNOT00000055978	ENSRNOT00000006992	ENSRNOT00000013864	ENSRNOT00000065921	ENSRNOT00000011784	ENSRNOT00000020836	ENSRNOT00000070986	ENSRNOT00000013031	ENSRNOT00000022107		ENSRNOT00000021289	ENSRNOT00000018170	ENSRNOT00000024256
ENSRNOT00000018336	ENSRNOT00000026390	ENSRNOT00000061761	ENSRNOT00000074634	ENSRNOT00000027263		ENSRNOT00000035651	ENSRNOT00000016401	ENSRNOT00000039115	ENSRNOT00000049127	ENSRNOT00000068743	ENSRNOT00000023789	ENSRNOT00000001700	ENSRNOT00000018061	ENSRNOT00000025183	ENSRNOT00000021883	ENSRNOT00000057745	ENSRNOT00000050987	ENSRNOT00000017187	ENSRNOT00000006329	ENSRNOT00000072190	ENSRNOT00000018170	ENSRNOT00000074847	ENSRNOT00000040065		ENSRNOT00000065053	ENSRNOT00000024581	ENSRNOT00000038068
ENSRNOT00000021648	ENSRNOT00000006699	ENSRNOT00000051754	ENSRNOT00000000826	ENSRNOT00000016947		ENSRNOT00000009370	ENSRNOT00000006796	ENSRNOT00000067902	ENSRNOT00000039540	ENSRNOT00000070925	ENSRNOT00000034400	ENSRNOT00000005623	ENSRNOT00000072031	ENSRNOT00000073026	ENSRNOT00000011651	ENSRNOT00000064501	ENSRNOT00000010463	ENSRNOT00000073790	ENSRNOT00000017373	ENSRNOT00000007154	ENSRNOT00000030960	ENSRNOT00000027963	ENSRNOT00000012379		ENSRNOT00000066266	ENSRNOT00000026752	ENSRNOT00000004448
ENSRNOT00000020870	ENSRNOT00000034708	ENSRNOT00000021812	ENSRNOT00000022384	ENSRNOT00000056173		ENSRNOT00000008934	ENSRNOT00000021537	ENSRNOT00000021756	ENSRNOT00000011070	ENSRNOT00000006525	ENSRNOT00000041264	ENSRNOT00000019089	ENSRNOT00000021956	ENSRNOT00000031190	ENSRNOT00000013390	ENSRNOT00000011085	ENSRNOT00000025494	ENSRNOT00000064860	ENSRNOT00000003240	ENSRNOT00000016730	ENSRNOT00000026752	ENSRNOT00000008160	ENSRNOT00000059468		ENSRNOT00000016422	ENSRNOT00000003407	ENSRNOT00000006836
ENSRNOT00000004999	ENSRNOT00000005881	ENSRNOT00000028086	ENSRNOT00000020648	ENSRNOT00000015299		ENSRNOT00000071986	ENSRNOT00000022328	ENSRNOT00000043827	ENSRNOT00000010022	ENSRNOT00000059592	ENSRNOT00000041371	ENSRNOT00000031033	ENSRNOT00000070994	ENSRNOT00000015395	ENSRNOT00000020051	ENSRNOT00000044788	ENSRNOT00000019256	ENSRNOT00000035788	ENSRNOT00000064752	ENSRNOT00000025606	ENSRNOT00000003407	ENSRNOT00000000078	ENSRNOT00000015386		ENSRNOT00000036718	ENSRNOT00000041808	ENSRNOT00000003705
ENSRNOT00000066501	ENSRNOT00000004121	ENSRNOT00000071166	ENSRNOT00000060838	ENSRNOT00000075041		ENSRNOT00000030912	ENSRNOT00000065261	ENSRNOT00000015322	ENSRNOT00000039974	ENSRNOT00000020425	ENSRNOT00000013271	ENSRNOT00000007625	ENSRNOT00000044541	ENSRNOT00000032558	ENSRNOT00000008785	ENSRNOT00000014866	ENSRNOT00000068437	ENSRNOT00000023383	ENSRNOT00000010712	ENSRNOT00000025183	ENSRNOT00000041808	ENSRNOT00000011287	ENSRNOT00000071603		ENSRNOT00000013170	ENSRNOT00000028328	ENSRNOT00000010680
ENSRNOT00000050782	ENSRNOT00000017607	ENSRNOT00000038830	ENSRNOT00000041922	ENSRNOT00000025769		ENSRNOT00000007641	ENSRNOT00000027893	ENSRNOT00000047158	ENSRNOT00000055978	ENSRNOT00000065373	ENSRNOT00000067519	ENSRNOT00000008934	ENSRNOT00000003012	ENSRNOT00000022142	ENSRNOT00000028411	ENSRNOT00000008507	ENSRNOT00000070832	ENSRNOT00000008868	ENSRNOT00000001759	ENSRNOT00000015286	ENSRNOT00000008138	ENSRNOT00000055570	ENSRNOT00000072849		ENSRNOT00000075201	ENSRNOT00000008138	ENSRNOT00000064438
ENSRNOT00000063787	ENSRNOT00000001228	ENSRNOT00000012519	ENSRNOT00000066548	ENSRNOT00000007247		ENSRNOT00000022282	ENSRNOT00000043384	ENSRNOT00000033406	ENSRNOT00000021883	ENSRNOT00000034506	ENSRNOT00000019799	ENSRNOT00000007267	ENSRNOT00000009123	ENSRNOT00000003901	ENSRNOT00000001533	ENSRNOT00000004477	ENSRNOT00000002987	ENSRNOT00000003240	ENSRNOT00000045233	ENSRNOT00000019507	ENSRNOT00000025142	ENSRNOT00000013912	ENSRNOT00000006798		ENSRNOT00000004686	ENSRNOT00000025142	ENSRNOT00000023664
ENSRNOT00000020476	ENSRNOT00000020532	ENSRNOT00000064073	ENSRNOT00000050138	ENSRNOT00000040845		ENSRNOT00000024616	ENSRNOT00000015322	ENSRNOT00000065347	ENSRNOT00000025847	ENSRNOT00000017686	ENSRNOT00000024214	ENSRNOT00000021756	ENSRNOT00000072387	ENSRNOT00000007917	ENSRNOT00000003473	ENSRNOT00000075630	ENSRNOT00000065921	ENSRNOT00000000687	ENSRNOT00000057738	ENSRNOT00000015401	ENSRNOT00000016163	ENSRNOT00000031026	ENSRNOT00000023504		ENSRNOT00000027802	ENSRNOT00000004619	ENSRNOT00000020600
ENSRNOT00000022184	ENSRNOT00000002053	ENSRNOT00000023779	ENSRNOT00000052054	ENSRNOT00000055272		ENSRNOT00000017338	ENSRNOT00000064914	ENSRNOT00000028856	ENSRNOT00000020051	ENSRNOT00000005157	ENSRNOT00000018622	ENSRNOT00000014444	ENSRNOT00000044279	ENSRNOT00000031549	ENSRNOT00000029587	ENSRNOT00000001890	ENSRNOT00000039857	ENSRNOT00000049344	ENSRNOT00000004163	ENSRNOT00000022142	ENSRNOT00000004619	ENSRNOT00000055232	ENSRNOT00000021783		ENSRNOT00000030700	ENSRNOT00000028793	ENSRNOT00000046110
ENSRNOT00000011991	ENSRNOT00000067169	ENSRNOT00000027785	ENSRNOT00000059628	ENSRNOT00000016341		ENSRNOT00000059780	ENSRNOT00000027340	ENSRNOT00000014946	ENSRNOT00000036137	ENSRNOT00000007687	ENSRNOT00000027512	ENSRNOT00000075794	ENSRNOT00000048875	ENSRNOT00000009987	ENSRNOT00000026336	ENSRNOT00000001305	ENSRNOT00000009436	ENSRNOT00000000478	ENSRNOT00000015384	ENSRNOT00000028067	ENSRNOT00000051445	ENSRNOT00000014866	ENSRNOT00000014946		ENSRNOT00000039012	ENSRNOT00000016205	ENSRNOT00000056051
