RemVsCurr	RemVsCon	CurrVsCon	TreatControl
ARRDC2	SLFN13	VWF	VWF
KLHL20	NDNL2	SEPT11	SEPT11
PNN	NR1D2	IMP3	IMP3
SLC23A2	SGK3	IKZF3	IKZF3
PHF16	FAM54B	ITGA6	ITGA6
C2CD3	ZNF763	CYP26C1	CYP26C1
GTPBP10	EVL	STK17A	STK17A
FAM179B	TRABD	SERGEF	SERGEF
LZTS2	KIAA1468	PRRC1	PRRC1
NDUFB11	OPA1	EIF2B1	EIF2B1
OBSCN	LCK	ZNF48	ZNF48
C18orf1	GBP3	DSTN	DSTN
ENDOD1	MRPS18C	RPS6KB2	RPS6KB2
TMEM110	SKA2	CDCA7L	CDCA7L
SMARCC1	CTC-205M6.2	STARD4	STARD4
MAGEF1	NIPAL2	TRIM14	TRIM14
DNAJA3	ZADH2	CXXC5	CXXC5
SLC30A5	SSR4	KIAA1279	KIAA1279
RAB4A	CAPN2	TSR1	TSR1
AMT	MAD2L2	PEX3	PEX3
PLEKHA8	ZNF529	SLC12A2	SLC12A2
TMCO7	DAD1	NDUFS8	NDUFS8
PIGR	LAT	ARMC8	ARMC8
SLC24A2	CPSF4	DONSON	DONSON
ZNF780A	PPP1R8	AASDH	AASDH
DDX51	CERKL	UBP1	UBP1
PAIP1	CD164	NDUFB9	NDUFB9
APOBEC3C	PDE4A	IL24	IL24
B4GALT1	COA5	CXCR7	CXCR7
FBXL4	MAPRE2	ZBTB38	ZBTB38
SHPRH	AZIN1	EIF3F	EIF3F
TRAJ18	ASCC1	RGS12	RGS12
RLN1	AKAP11	UBE2V2	UBE2V2
C22orf28	SPPL2A	C21orf59	C21orf59
SFRP4	SIKE1	PTDSS1	PTDSS1
BLOC1S5	KIFAP3	SET	SET
PSME4	RWDD3	TMEM203	TMEM203
RPS23	RPL15	OGT	OGT
TTF1	BAG5	GLS	GLS
MRPL4	TCF12	PRKD3	PRKD3
C11orf65	C8orf40	SLC25A5	SLC25A5
PREPL	RFC1	SCYL3	SCYL3
COL4A5	MBTPS1	MST4	MST4
C14orf126	YTHDC2	LARS	LARS
PAK3	MYO3B	LRBA	LRBA
ZNF16	GFOD1	ATP5G1	ATP5G1
EDN1	MYL12A	SLFN12L	SLFN12L
C10orf32	ARHGEF3	ALPP	ALPP
RPL18	PDHB	OMD	OMD
CPSF6	MCM7	RPP14	RPP14
NUP107	AHCYL1	ZNF346	ZNF346
VPS4A	HNRNPAB	NDUFA9	NDUFA9
SOX17	PAICS	ZBTB4	ZBTB4
ATP10D	GLCCI1	HMG20A	HMG20A
AVIL	GALK2	CD226	CD226
APOC4	TXNDC15	GPRIN3	GPRIN3
MTERFD2	PAPD4	SLAMF6	SLAMF6
MLLT6	TBX18	SNHG12	SNHG12
GPR155	LMF1	SUSD3	SUSD3
ITPKB	FADS1	IL10RA	IL10RA
PNOC	CYBRD1	RNF165	RNF165
DNAH7	BTBD1	ACADM	ACADM
SNF8	ORMDL3	NDUFS1	NDUFS1
EFCAB13	ANKIB1	ZNF259	ZNF259
SNRNP48	WDR19	PSEN2	PSEN2
PIM2	GRPEL1	ARPC5L	ARPC5L
ATXN7L3	ZNF664	S100A16	S100A16
FCRL2	ARID2	KIR3DL1	KIR3DL1
CHGB	STAT4	TFPI	TFPI
C17orf78	NUP205	TUBB	TUBB
NETO2	ZNF721	DDHD2	DDHD2
GBAS	CBR4	SMC2	SMC2
PRPF40A	DHX35	DPY19L4	DPY19L4
FBXW11	SLC35F3	PCDH9	PCDH9
TMX2	RRAGB	SGPP1	SGPP1
PDXDC1	RPF2	TES	TES
PLOD1	SETD6	SSBP1	SSBP1
PML	CCR6	MRPS18B	MRPS18B
RAB35	AKAP7	CANX	CANX
SLC39A6	CMAS	TRMT13	TRMT13
LSM4	C12orf39	BPTF	BPTF
TRIM68	VRK2	PCCA	PCCA
CATSPERG	RAB30	CDKN1C	CDKN1C
JARID2	RPL27	HAVCR2	HAVCR2
VIPR1	CNOT6L	LPXN	LPXN
HIST1H2BA	MAGT1	ZNF639	ZNF639
UQCRC2	PEX1	PDE4D	PDE4D
DENND2A	SEC23IP	TMEM106B	TMEM106B
KRTAP5-7	PATL2	PRKACB	PRKACB
SPTLC3	MAN2A1	RPS6KA3	RPS6KA3
ADAL	SLFN5	RNF43	RNF43
CCNI	VPS35	IRF8	IRF8
PHF20L1	HNRPDL	SNX9	SNX9
CLCN1	CYC1	WDR77	WDR77
PSMC2	ISG20	CD8A	CD8A
KCTD5	DLG5	BCL7A	BCL7A
SYCE3	SEL1L3	GEMIN4	GEMIN4
CDK6	HIPK2	PYHIN1	PYHIN1
SCAF4	CMKLR1	RANGRF	RANGRF
OSBPL6	PRSS35	NSG1	NSG1
POLR2H	ENOPH1	CEP78	CEP78
KBTBD4	ZC3HAV1L	C6orf228	C6orf228
FKBP14	GAR1	DNM1L	DNM1L
ZFP36L2	CREM	TRA2A	TRA2A
ABHD14B	RBM28	DIMT1	DIMT1
GRK4	ARL2BP	IGBP1	IGBP1
FAM195B	IPO7	METTL23	METTL23
HMGN4	SH3BGRL2	FAM13B	FAM13B
ZNF24	CLCN3	SLFN13	SLFN13
PMAIP1	RP4-604K5.1	NDNL2	NDNL2
TEFM	MBNL1	NR1D2	NR1D2
C3orf52	CX3CR1	ERCC6L2	ERCC6L2
IFNG	SIN3A	CDK17	CDK17
DNALI1	CAMK2D	GFPT1	GFPT1
CHRNB2	CCNG1	SGK3	SGK3
PPP2CB	VAPB	CD200R1	CD200R1
LFNG	GFM2	MTAP	MTAP
RFX8	PRR4	FAM54B	FAM54B
FSCN3	PEBP1	ZNF763	ZNF763
B4GALT6	FBL	EVL	EVL
TCL1A	REXO1	HNRNPR	HNRNPR
AIP	AUTS2	TRA2B	TRA2B
TSPAN3	HS2ST1	NR2C2	NR2C2
GALNT1	C19orf10	SPON2	SPON2
C6orf47	PXMP2	TP53RK	TP53RK
SYNGR2	ELMOD2	PDZD4	PDZD4
PELP1	CAPN7	METTL2B	METTL2B
NCR3	NDUFB4	TRABD	TRABD
C17orf70	MDH2	KIAA1468	KIAA1468
UGT3A2	MTPN	OPA1	OPA1
SOX9	DNTTIP2	LCK	LCK
TEAD1	DIABLO	GBP3	GBP3
LIX1L	MCCC1	MPLKIP	MPLKIP
RPAP1	PPP6R2	MRPS18C	MRPS18C
SKA3	EBAG9	ORMDL1	ORMDL1
ITGA9	CNOT1	SKA2	SKA2
MYCBP2	TRNAU1AP	CTC-205M6.2	CTC-205M6.2
PKNOX2	SPAG16	NIPAL2	NIPAL2
ZNF225	PHF6	ZADH2	ZADH2
CDK5R1	C2orf69	SSR4	SSR4
ATF7IP2	ABHD15	CAPN2	CAPN2
USP53	PARK2	RSAD1	RSAD1
SLC25A18	CXorf65	MAD2L2	MAD2L2
FAM13A	ZNF654	ZNF529	ZNF529
TSPAN31	MALT1	DAD1	DAD1
NUSAP1	ARHGAP18	LAT	LAT
OTUB1	ANXA7	ANKRD19P	ANKRD19P
ZNF695	PCNT	CPSF4	CPSF4
TRMT2A	MMD	PPP1R8	PPP1R8
CXCR4	PDSS1	CERKL	CERKL
C1GALT1	RNFT1	CD164	CD164
SYNGAP1	CAST	RABL3	RABL3
PYGO2	MON2	XPO4	XPO4
GXYLT1	NLRC3	FBXL17	FBXL17
GULP1	RAB27B	PDE4A	PDE4A
ZNF71	SYCE1	SNX25	SNX25
NBR2	MLH1	COA5	COA5
RCN2	PDE6B	GPR125	GPR125
ZCCHC11	KLK15	MAPRE2	MAPRE2
GTF2F2	IMPA1	AZIN1	AZIN1
SUZ12	MRPL1	ASCC1	ASCC1
TM4SF1	ETS1	ARL14EP	ARL14EP
RIPK3	DLD	PTPRU	PTPRU
SMPX	DGUOK	AKAP11	AKAP11
WASL	LINC00657	SPPL2A	SPPL2A
LRRTM3	ECI2	SIKE1	SIKE1
CDR1	C14orf119	KIFAP3	KIFAP3
SASH3	PHF11	RWDD3	RWDD3
MRFAP1L1	KIAA1430	FYTTD1	FYTTD1
TNRC6C	EMC2	RPL15	RPL15
ZNF365	OSBPL5	BAG5	BAG5
HEBP1	BTBD6	SRSF7	SRSF7
UROD	GOLGA4	TCF12	TCF12
RP11-55K13.1	DR1	C8orf40	C8orf40
FARP2	CEP192	INSIG1	INSIG1
EMD	ATP5A1	GK5	SLC30A7
TRPV3	FOXP1	SLC30A7	RFC1
RHOBTB2	ITGB7	RFC1	MBTPS1
C11orf71	CDC42SE2	MBTPS1	YTHDC2
TAF13	CYB5B	YTHDC2	MYO3B
KIAA0586	PFKP	MYO3B	GFOD1
MGMT	HSPH1	GFOD1	MYL12A
PRODH2	RNF2	MYL12A	SLC25A3
DCT	MRPL48	SLC25A3	ARHGEF3
NDUFA11	PHC3	ARHGEF3	PDHB
PTF1A	GGA2	PDHB	MCM7
HTR2A	HIST1H2AI	MCM7	AHCYL1
FAM65A	FAM126A	AHCYL1	PRPS1
COX15	UBE2Q2	PRPS1	HNRNPAB
TREX1	UNC45B	HNRNPAB	AASDHPPT
DDX49	FAM19A4	AASDHPPT	LAX1
NWD1	STYXL1	LAX1	PAICS
TERF2IP	TRIM3	PAICS	TOMM40
CORIN	LPIN1	TOMM40	CASD1
FOXC1	OSBPL3	CASD1	GLCCI1
TINAG	CRELD2	GLCCI1	C12orf57
TADA1	AGL	C12orf57	GALK2
MLANA	IRF4	GALK2	BORA
SPIRE1	MRPS27	BORA	RPAP2
MCM9	ATAD2B	RPAP2	TXNDC15
LRRC28	ZMYM6NB	TXNDC15	DMKN
C4BPB	AP4E1	DMKN	PAPD4
DDRGK1	IGKV3-11	PAPD4	FDXACB1
ASRGL1	GJB3	FDXACB1	TBX18
WNK2	SUCLG2	TBX18	SPRED1
KCNJ5	PTPN12	SPRED1	LMF1
MBTPS2	NMT1	LMF1	FADS1
GRAMD1B	NONO	FADS1	CYBRD1
ABL1	TCP1	CYBRD1	MRPL39
UBAP2	KXD1	MRPL39	BTBD1
C12orf5	FYN	BTBD1	ORMDL3
CSNK1E	RBM17	ORMDL3	ANKIB1
SOX3	PRDM4	ANKIB1	WDR19
RUNX1T1	WEE1	WDR19	COG2
HSD17B1	RMND1	COG2	GRPEL1
SS18L1	RPL28	GRPEL1	GTF2A2
COL14A1	PNO1	GTF2A2	ZNF664
LDB2	BCR	ZNF664	CD79A
TCEAL3	WDR67	CD79A	ARID2
RP11-800A3.7	C3orf26	ARID2	STAT4
FGFRL1	LINC00272	STAT4	APPL1
KCNAB2	TAF1B	APPL1	CMA1
ZPLD1	HP1BP3	CMA1	NUP205
CC2D2B	BIN1	NUP205	ZNF721
SCN2A	HPS5	ZNF721	CD19
AKD1	COQ4	CD19	CBR4
ZNF862	EIF4G3	CBR4	DHX35
IFNA2	IMPDH2	DHX35	SLC35F3
ANP32A	NDUFS4	SLC35F3	RRAGB
TAF1D	NAB1	RRAGB	NKRF
GPR55	ANKRD32	NKRF	AKAP12
FAM216A	APPBP2	AKAP12	HNRNPA0
C1QTNF3	KRTAP21-2	HNRNPA0	RPF2
NEK11	MREG	RPF2	ZHX3
RDH16	MORF4	ZHX3	SETD6
EIF4E2	ECM2	SETD6	NET1
SCEL	PARP11	NET1	CCR6
C7orf72	HIST1H2AG	CCR6	PALLD
CDC25B	TIMM17A	PALLD	AKAP7
OR52J3	ISOC1	AKAP7	CMAS
FAM200B	NENF	CMAS	C12orf39
C15orf41	ZNF248	C12orf39	VRK2
RAI1	ATP5G3	VRK2	RAB30
SLC30A4	NDUFS6	RAB30	CBX5
ACTR3B	TMED2	CBX5	RPL27
GAN	CHMP1B	RPL27	HLA-DPB1
KANK3	HIST1H2AE	HLA-DPB1	ZDHHC21
PKNOX1	ATF2	ZDHHC21	CNOT6L
EID2B	CNPY2	CNOT6L	G2E3
SHBG	PCGF5	G2E3	ATAD5
TTC8	MOCS2	ATAD5	SLC5A3
WRN	P2RX5	SLC5A3	MAGT1
BIVM	KCMF1	MAGT1	PEX1
MADCAM1	HIST1H2BF	PEX1	SEC23IP
PWP2	VKORC1L1	SEC23IP	PATL2
CLEC4F	RQCD1	PATL2	MAN2A1
SPRYD4	NHP2	MAN2A1	PTPRCAP
MFAP3	EIF2S1	PTPRCAP	SLFN5
SHMT1	RP11-169K16.7	SLFN5	TSPYL1
TRIM15	SYAP1	TSPYL1	VPS35
AVPR1A	ZC3H14	VPS35	C8orf59
KIAA0101	VTA1	C8orf59	SERPINB9
DDX19B	PCNXL4	SERPINB9	HNRPDL
BBC3	RECQL	HNRPDL	PPP3CC
MRO	TSC22D1	PPP3CC	RNF125
TBCD	RAPGEF1	RNF125	SLC26A2
OGDH	IMPAD1	SLC26A2	GRHPR
USE1	LNPEP	GRHPR	DNAJB1
SYT16	CD2AP	DNAJB1	CYC1
GRM4	TMEM206	CYC1	ISG20
HIBCH	PRPS2	ISG20	DLG5
CRIM1	ZWILCH	DLG5	CD79B
NCKAP5L	CXorf30	CD79B	SEL1L3
PITPNM2	GLO1	SEL1L3	TMEM126A
ESAM	BTRC	TMEM126A	PDCD2L
TSSK1B	FARS2	PDCD2L	HIPK2
CRMP1	CCDC25	HIPK2	CTLA4
TRPS1	SF3B5	CTLA4	CMKLR1
PANK2	PMPCB	CMKLR1	PRSS35
STAT5B	CUL2	PRSS35	ENOPH1
TCL6	PRR5-ARHGAP8	ENOPH1	ZC3HAV1L
C7orf62	MPP7	ZC3HAV1L	GAR1
SEC22B	FAM122B	GAR1	CREM
CYB5D2	C11orf31	CREM	RBM28
NUP62CL	ZSCAN16	RBM28	ARL2BP
SLC6A16	SLC33A1	ARL2BP	SCRN1
TRIM42	NOP16	SCRN1	IPO7
PHEX	KAT6B	IPO7	SH3BGRL2
STAP2	KLF9	SH3BGRL2	CLCN3
NCDN	BBX	CLCN3	RP4-604K5.1
ZCCHC5	RWDD2B	RP4-604K5.1	MBNL1
JRKL	PPM1D	MBNL1	CX3CR1
OR5T2	ROBO3	CX3CR1	SIN3A
MRPL42	RNASEH2A	SIN3A	CAMK2D
MAGI3	POC5	CAMK2D	HLA-DPA1
MOBP	LAS1L	HLA-DPA1	ZNF337
SCARB1	RABGAP1	ZNF337	CCNG1
LMBR1L	ATL3	CCNG1	BAG3
RP11-297M9.2	TMEM181	BAG3	LRRC8A
FADS6	ENOX2	LRRC8A	RYK
PPY	ACTL6A	RYK	VAPB
ZMYM3	RAB7L1	VAPB	MT1F
RMI2	THEMIS	MT1F	PRDX6
IGSF21	GSTO2	PRDX6	PIAS2
KCNH7	MAPKBP1	PIAS2	SSX2IP
LSM11	INTS2	SSX2IP	GFM2
CXXC4	ZNF223	GFM2	PRR4
ZNF362	SLC25A30	PRR4	PEBP1
SLC9A1	ZNF410	PEBP1	MRPL35
LYNX1	UTP11L	MRPL35	FBL
CRB1	IL22	FBL	ZNF512
CRYGS	RGS20	ZNF512	REXO1
CCHCR1	C1orf174	REXO1	CNKSR2
CDR2L	GSTK1	CNKSR2	MBTD1
CEP55	NDFIP1	MBTD1	YIPF4
AC137932.6	MRPL16	YIPF4	APOBEC3F
GPHB5	ILF2	LRP2BP	TAS2R19
C3orf71	UBE3A	APOBEC3F	AUTS2
GPRIN2	EIF3K	KIAA1377	HS2ST1
