RemVsCurr	RemVsCon	CurrVsCon	TreatControl
	YJEFN3	TMEM69	HAX1
	CRNN	PTPMT1	EIF3M
	NT5C1A	FUT11	GPATCH8
	IGHV3-13	ZCCHC7	UXT
	AC114947.1	UGT3A1	RASSF1
	GNAT3	ARHGAP31	BBS9
	DFNA5	TAS2R43	RPL5
	AIF1	FHL1	ATP1B3
	GPR150	PIGL	PSMB2
	DAGLA	POPDC2	STK17B
	C1orf185	DDA1	CYB561
	MMP21	B3GALT6	C7orf23
	OSGIN2	EIF3D	AKAP9
	GRHL3	NUP93	DNLZ
	RP11-65F13.2	AGAP5	USP48
	GPR158	RPE	KRIT1
	ANKRD11	AKTIP	RCOR3
	SLC51A	HEG1	RNF115
	TNKS1BP1	EPB41L2	SDPR
	TDRD10	DHRS3	TIA1
	DHODH	GRHL2	TNFAIP3
	CD300A	SF3A3	AKAP5
	CABP4	GRPEL2	CHD9
	RP1	ZXDB	EXT2
	MIDN	SERBP1	RAB11FIP4
	MSANTD1	BTAF1	BSCL2
	C22orf31	VMA21	SCG3
	TMEM120A	RINT1	SGPL1
	SH3GL2	SACM1L	ELMOD1
	C2orf82	IGF2BP1	C12orf75
	AC103702.1	SLC2A1	KIAA0895
	FAM3B	RIMKLB	RAB33A
	C2orf51	GNAZ	RELL1
	RP5-971N18.3	SYTL4	EMC8
	SCGB1D1	CIRBP	WDR76
	RASL10A	TRAC	PIK3R3
	LRRC71	TOMM22	UBE2E1
	FAM69C	PLEKHA2	EEA1
	RP11-432I5.4	TXNIP	RNF113A
	SLC26A4	RPL36	TATDN2
	PRKCSH	KIAA0528	BLOC1S6
	PVRL1	COX4I1	HSP90B1
	WDTC1	PSMA2	REPS1
	TEX13A	C22orf32	HDDC2
	SAMD13	ZNF791	HAUS2
	CA7	DDX18	RHBDD1
	RGR	ZNF655	POU2AF1
	RNASET2	FAM107B	NOL8
	TCTEX1D4	CYFIP2	NUDT19
	GLTPD2	CDKN1A	SVIP
	CDH24	HMGN3	GOPC
	VWA5B1	TNKS2	SYPL1
	CCDC134	ANAPC4	TP73-AS1
	FAM110A	LETMD1	SPG11
	GABRB1	RFX5	CTSC
	IRS4	CDKN2AIP	FGA
	CDK5R2	PRPSAP1	PTAR1
	AMBN	FAM159A	PPP1R14C
	CXCR2	TNIK	CERS6
	BHLHE40	NARS	FIGLA
	MSX2	ITFG2	ANKRD55
	LCT	PPAP2A	TCF7
	OR52A4	NUP155	FMN1
	MICA	HEXA	AES
	CLCNKB	ZNF398	YTHDF1
	SCTR	GCH1	HNRNPD
	HRCT1	ASB3	STIM2
	C7orf57	MTR	DHX9
	ULBP3	PLEKHB1	ATP5F1
	ZNF239	MRPL9	HDAC1
	PRR19	OR11H6	VPS52
	CUBN	PJA1	PPP1CC
	CENPO	LRP5L	UNC50
	TAS2R40	B3GAT2	BANF1
	C10orf108	ATXN3	RPS29
	HPSE2	LMOD3	PARP1
	TIMM17B	PPIH	IGFBP7
	IER2	CASP8AP2	ENPP1
	TEAD4	ZNF268	SNAPC3
	RLN3	CD8B	TMEM67
	KRTAP20-2	PPM1A	AP3M1
	DTYMK	KLK1	ABCD4
	UTP18	RPP21	CEACAM22P
	FLOT2	MSI2	YAF2
	GABRR2	SNRPN	GABPB1
	KIAA1731	MRPL51	XYLB
	SSTR3	TRBC2	PLA2R1
	CRYBB2	DCK	TMEM39B
	FAM83B	PPP1R16B	HUS1
	IL22RA2	IFT80	C11orf21
	FREM1	HDDC3	IPO11
	ABCB11	IGIP	CHMP6
	CHKB	HAX1	SMARCD1
	ANKRD52	EIF3M	DUSP10
	DHRS2	KLHDC3	MTFP1
	C2orf66	PVRIG	CACFD1
	KRT32	GPATCH8	SEC22A
	CYP2R1	UXT	DMD
	CAGE1	RASSF1	BOD1L2
	SAPCD2	ODF2L	SIRPG
	BMP2	BBS9	ZNF510
	SEC1P	RPL5	SNX24
	GSDMC	ATP1B3	NCOA7
	PRR15L	NCBP2	GFAP
	ASB12	C1QBP	ZNF576
	LRRC25	EXOSC6	EMC4
	C5orf65	ARFGAP3	SLC39A10
	HMX3	PSMB2	FKBP11
	TBX10	SLC25A36	FAM117B
	FAAH2	KLHDC1	C2orf15
	DMRTA1	STK17B	SUPT16H
	HGFAC	MPV17	PF4V1
	TAGLN3	CYB561	CCDC150
	TMEM145	C7orf23	POLR3G
	KLHL38	RNF126	GNPAT
	POTEA	AKAP9	RBM15B
	OR9G4	BPHL	MGAT4A
	ALDH3A1	TIPIN	IRF2BP2
	FGF6	DNLZ	DYNLL1
	C11orf52	USP48	NAPEPLD
	THNSL2	KRIT1	PF4
	ALDH1L2	UBE2G2	SLU7
	KRTAP12-4	ELMOD3	ZNF548
	IRX6	RCOR3	KIAA0141
	TMEM235	MTMR6	GSPT1
	GPR50	DLST	SMYD3
	ITFG3	RNF115	PRDX4
	PCDHA6	IDUA	CRYZ
	ITGA8	SDPR	SLBP
	MAP4K4	TIA1	SOCS4
	BHLHE23	TNFAIP3	C6orf118
	OR4D9	AKAP5	TTF2
	C1orf170	DCAF5	RPL30
	ZDHHC24	CHD9	NDUFAF3
	HES5	EXT2	TROVE2
	CXCL6	RAB11FIP4	ANKLE2
	KRTAP10-3	BSCL2	PRKX
	SPATC1	SCG3	CWC15
	SCRT2	SGPL1	MGA
	FAM129B	ELMOD1	CLTA
	SERINC4	C12orf75	PSME1
	CTD-2015B23.2	KIAA0895	RPA2
	VASP	RAB33A	ABI1
	PROK1	RELL1	C16orf5
	PEMT	EMC8	DARS2
	DDAH2	WDR76	IKZF1
	ODF1	POLR3GL	BCCIP
	RGS13	OCIAD1	NGFRAP1
	MCOLN1	CD22	UBA2
	C1QTNF9B	UBE2E1	DIP2A
	CCDC102A	EEA1	GTF2H1
	TK1	RNF113A	CCDC112
	OR5AC2	TATDN2	SNRPF
	OR1J1	BLOC1S6	ITGB1BP1
	OR6P1	HSP90B1	HNRNPC
	FADD	REPS1	VGLL4
	CNTROB	HDDC2	ANKRD27
	ZNF222	PSPC1	ELP6
	LINGO4	HAUS2	QTRTD1
	PSD	RHBDD1	EID2
	SERPINA5	IFT52	ZNF197
	INSL3	FAM82A2	PCED1A
	ARMCX2	POU2AF1	TMEM199
	VASN	NOL8	DPY19L2
	GMDS	NUDT19	ATG2B
	SNORD94	ZNF28	CDYL
	STAT3	SVIP	SIRT1
	WTIP	GOPC	COG5
	OR5P3	SYPL1	ZNF805
	OR6F1	TP73-AS1	TRAT1
	SGCG	C1orf21	CSNK2B
	ODF4	SPG11	HIBADH
	FAM124B	CTSC	TXNDC5
	SCT	FGA	CCL4
	TNF	PTAR1	SNW1
	ZNF132	PPP1R14C	MCM3AP
	C11orf68	CERS6	POMP
	OR2K2	FIGLA	USP8
	KIAA1875	ZNF461	AFF4
	KCNE2	TCF7	SECISBP2
	MACROD1	DHX36	FBXO9
	ODZ4	CYTH2	DDX21
	ANKK1	TMED3	CYB561D1
	SLC25A41	MRPS35	CCDC84
	GAST	AES	CXorf26
	PDPK1	YTHDF1	IARS
	OR52R1	HNRNPD	FAIM
	TNIP2	STIM2	PNISR
	C20orf151	DHX9	EIF5A
	RAC3	ATP5F1	MRPL3
	RARRES2	TMX1	CTNNB1
	ADAM21	METTL7A	GLG1
	RHBDD3	HDAC1	BACH2
	UCN3	VPS52	MGST3
	YBX2	PPP1CC	SEC24A
	DUOX2	UNC50	GLT25D2
	EMC9	CD6	SOD3
	GPR15	PURA	MYCN
	RHBDL1	CBLB	ERVW-1
	KRT71	BANF1	CXCL5
	PKD2L1	OXCT1	C1orf110
	TPRA1	RPS29	C1orf86
	C5orf54	PARP1	COMMD10
	LAD1	IGFBP7	GRAMD3
	USP20	ENPP1	SCN3B
	GP2	TRIM4	TOR2A
	TBX6	HERPUD1	PARG
	FOXD3	RSPH6A	ERO1LB
	RSPH3	SNAPC3	TMEM138
	KRBA2	COG6	OTUB2
	C1orf87	TMEM67	S100PBP
	AP006621.1	AP3M1	RBBP7
	SOX14	GUF1	ZFR
	PGAM2	RABL2A	TAF10
	OR8D4	ABCD4	KIF1A
	KRTAP3-2	CEACAM22P	TAB3
	ZFPM1	YAF2	ELK4
	CCDC37	GABPB1	TUBB1
	MIR7-3HG	XYLB	MAK16
	ELTD1	PLA2R1	SLC44A4
	HK3	TMEM39B	RNF138
	CDH20	HUS1	DUSP16
	PCDHGA5	FAM63B	SRC
	SULT6B1	GDAP2	SLAIN1
	FAM129A	NDUFAF6	PHF15
	KRTAP8-1	C11orf21	PPP2R5C
	CR392000.1	IPO11	SRSF9
	CCDC157	CHMP6	CCDC91
	MT1E	SMARCD1	XPO1
	HSP90AA5P	DUSP10	POLR2J
	CATSPER2	MTFP1	ZNF623
	TPRN	CACFD1	WHAMM
	FAM100A	ZNF649	GATS
	OR51M1	SEC22A	PCSK7
	IL34	DMD	MAP4
	RTP3	BOD1L2	TRPV2
	SPACA4	SIRPG	RPS3
	FXYD4	ZNF510	PSIP1
	TMEM202	SNX24	ANP32E
	C16orf86	NCOA7	MFHAS1
	IGSF6	GFAP	DEK
	KHDC1L	ZNF576	ILF3
	ZSCAN4	EMC4	MCM3
	CHAF1B	SCARNA14	PCED1B
	ZNF843	PPAPDC1B	PSMA1
	MLF2	MEAF6	MDC1
	CPLX3	SLC39A10	DSCR3
	NCR1	GDF11	ZNF600
	KRTAP19-6	SEMA5B	IQUB
	POU3F4	FKBP11	SMEK2
	GPR1	FAM117B	PIP4K2B
	SIRPA	C2orf15	PPBP
	GADD45A	SUPT16H	USP36
	CEP170	CAPZA3	MKL2
	LINGO3	POLD3	TBRG1
	VWA5B2	RASGRP3	IGKV1-5
	OR9G1	PF4V1	TRAV17
	BOC	CCDC150	UFD1L
	GGNBP1	M6PR	TMA16
	ATP13A1	GNPAT	GNL2
	FFAR2	TERF1	YIF1B
	MEGF6	BCLAF1	TCAIM
	FOXI3	RP11-315O6.2	METTL16
	THBD	RBM15B	ECHDC2
	EMID1	MGAT4A	RRM2
	RPL13P5	NAA38	HMGCS1
	KCTD13	IRF2BP2	TPGS2
	WNT2	DYNLL1	APOBEC3D
	OR6C75	NAPEPLD	ERH
	CDK11A	PF4	RPL37
	HSPA1A	CD28	HNRNPM
	PLIN5	MBNL2	SRSF8
	P2RY2	DCTPP1	ZBTB40
	C11orf16	RP1L1	EZR
	OR6N1	SLU7	ZMYM6
	TTTY12	ZNF548	MAP1LC3B
	RAB24	CREBL2	CDC27
	C11orf94	GPD1L	SAC3D1
	ANKRD1	POGLUT1	TM9SF3
	WDFY2	KIAA0141	CUL4A
	TMEM101	TANC1	MTMR12
	C1orf192	ZNF709	CD2BP2
	C10orf91	GLS2	PSMG2
	SHROOM1	C9orf156	TET1
	ANO10	RTN4IP1	CCDC53
	FAT2	MMP13	MTX2
	MANBAL	STIL	SMG8
	MYL7	C3orf38	LGR6
	MYO16	GSPT1	C19orf12
	SLC25A48	NPC1	KIAA0494
	SLC27A2	SMYD3	SLC16A1
	TAS2R13	PRDX4	FLNB
	C19orf59	CRYZ	CRYBG3
	CYP2A13	SLBP	WDR61
	OR5K3	RPL30	RHOF
	OR2W5	NDUFAF3	LRPPRC
	OR10A2	TROVE2	LRRC8D
	RAX2	ANKLE2	ITPA
	GALNT8	PRKX	CDK9
	IL1B	CWC15	SFMBT2
	LINC00319	MGA	ATG14
	RP11-110G21.1	CLTA	DNAJC16
	RCOR2	PSME1	TRIM5
	SLC24A4	MAT2B	MED14
	RP11-488C13.5	RPA2	UGT1@
	RNF130	AQP3	PAG1
	SNORA47	ABI1	PTPN1
	PLA2G3	HMGXB3	UBQLN1
	FRMD5	C16orf5	HBP1
	OR9I1	DARS2	TMED5
	ZMAT4	IKZF1	KDELC2
	TMEM52	BCCIP	KIAA0368
	OTOR	NGFRAP1	EXOC6B
	CNTN6	UBA2	RUVBL1
	MAML3	DIP2A	REXO4
	TNRC18	TMOD3	HNRNPA2B1
	PFN3	GTF2H1	EID1
	HIST1H2BE	CCDC112	HNRNPF
	CRB2	MYT1L	PSMC5
	PNPLA3	SNRPF	TRADD
	KCNJ15	FIGF	PCBP2
	CTXN1	ITGB1BP1	GNPNAT1
	ATOH8	FAM188A	ACRBP
	OR5AU1	COMMD6	XRCC5
	C2orf53	TFDP2	C16orf58
	CKAP4	PDHA1	NDUFA8
	S100A8	HNRNPC	SLC1A4
	MRGPRX4	VGLL4	ETNK1
	C16orf7	ANKRD27	ATL2
	TAAR6	ELP6	PWP1
	FAR2	QTRTD1	MITD1
	KDM6B	EID2	MFSD8
	HLX	BNC2	CEP41
	GPR156	ZNF197	AP2B1
	LHX9	PCED1A	OBFC1
	CRYBB1	TMEM199	TOLLIP
	LCN15	DPY19L2	DARS
	CRHR1	ZNF75A	BRMS1L
	AMICA1	NEK8	NPAT
	IQCF5	ATG2B	ACVR2A
	RAB3D	CDYL	SYT17
	MESP2	TRAT1	CCDC105
	CCDC155	CSNK2B	ABCC4
	PLEKHO2	GATAD1	CADM1
	CRYBA2	HIBADH	RARB
	C10orf131	TXNDC5	GALNTL2
	ZBTB22	CCL4	CCL8
	RNF19B	SNW1	CD48
	PRAM1	MAP3K7	ERAP1
	AKR1CL1	MCM3AP	TCOF1
	LIN7A	CHCHD7	DPF3
	SLPI	POMP	ADSS
	KAAG1	WDR70	PDCD5
	MOS	USP8	AKIRIN1
	PGLYRP1	ARMC1	CUL9
	PI3	AFF4	HERC6
	DNAJB8	SECISBP2	NAP1L1
	C22orf46	OXNAD1	C20orf24
	PCDHGB7	LRRC8B	TKTL1
	LRRC4	FBXO9	ZMYM5
	HOXD11	FAM3D	CRTAM
	RP11-23F23.2	LY75	USP46
	SIGLEC5	DDX21	SBSPON
	CCDC116	RPL37A	IGF1
	ANXA9	TNKS	CLCA2
		LEMD2	LANCL2
		CYB561D1	MANEA
		GPR174	PEX11B
		CCDC84	IFITM1
		ANXA4	DDX19A
		RALGPS2	COX7A2
		MRPL52	FKBP2
		CXorf26	GOSR1
		EPT1	AAAS
		UBE2Z	TEP1
		ATRX	ZNF280C
		DKK4	MIS12
		CYP20A1	PDGFA
		RPS6KC1	GORASP2
		IARS	RNF41
		FAIM	ZNF37A
		FAM18A	RUNX2
		URM1	CCDC6
		PNISR	EXOC2
		EIF5A	USP38
		PDS5A	FAM208B
		YY2	NRN1
		NUDT13	PAPPA
		MRPL3	PRUNE
		CTNNB1	PRMT3
		GLG1	MEIS1
		BACH2	MED17
		PLIN1	CNTLN
		CASP10	CHMP4A
		BDH1	PSMA6
		LXN	GIMAP4
		MGST3	UTRN
		ZNF121	POLR2B
		TNFAIP1	C19orf24
		SEC24A	HSD17B4
		GLT25D2	ZFX
		SOD3	SPTBN1
		MYCN	PPM1M
		HSPA14	P4HB
		ERVW-1	PLAC1L
		RBBP7	MGST2
		ZFR	STAG1
		TAF10	HMBOX1
		APBA2	KDM1A
		EIF4A3	INO80C
		TRABD2A	ZNF195
		MESDC1	SNAP47
		THAP6	CPOX
		VAMP5	ATP1B1
		PRKCQ	OR5K4
		ATG4C	FAM149B1
		ASCL4	INTS7
		AJAP1	SLC25A4
		KIF1A	PSG6
		TAB3	LRRN3
		ELK4	CCDC109B
		TUBB1	TRIB2
		MAK16	INTS4
		SHMT2	RING1
		FILIP1L	WDR69
		FOXP4	ATF7IP
		SLC44A4	RPL8
		RNF138	TBC1D20
		CRIPT	EEF1A1
		PHF15	DSTNP2
		PPP2R5C	MRPS31
		SRSF9	PSMB6
		CCDC91	MINA
		XPO1	ELF2
		POLR2J	MED23
		FAM20B	MRPL11
		ZNF623	MRPS25
		ALG8	ARL5A
		WHAMM	SCUBE3
		LAIR1	RP11-389O22.1
		RARRES1	PGLYRP3
		ANKRD44	ARHGDIB
		RALGAPB	C16orf54
		CTDSPL	PRDX1
		LDOC1L	CD5
		NNT	RBBP6
		LZIC	CCT7
		EIF5A2	PNMA1
		CHM	RCBTB1
		SLC25A26	TCERG1
		PCSK7	MEF2C
		SLC35A2	GNG11
		ZFC3H1	FCF1
		MAP4	SH3TC1
		TRPV2	DRG1
		C6orf106	METTL18
		ZNF101	TMEM161B
		RPS3	ERLIN1
		ITK	SNED1
		ADAM33	FCGR2B
		PSIP1	YIPF5
		ANP32E	TYMS
		MFHAS1	C21orf91
		DEK	PIGU
		NR2C1	ADSL
		MMGT1	USP24
		MEX3C	RNASE9
		TRIM29	FAS
		VPS45	SERPINE2
		ILF3	MYNN
		FXR1	C16orf59
		WDR43	ATAD2
		FAM96A	SLC31A1
		C9orf41	ABLIM1
		MCM3	RSRC2
		PCED1B	MAL
		EBNA1BP2	TIAL1
		TMEM248	TESPA1
		PSMA1	TWSG1
		USP37	CLIC2
		MDC1	ATP8B1
		DSCR3	PTTG1
		TIPARP	AGPAT4
		EPHX2	ADD3
		SIT1	REEP5
		ZNF600	IPO5
		NUP54	CD1B
		RASD1	SCN5A
		ZNF260	RAB6A
		HOXB3	ACLY
		IQUB	ZNF384
		ENPEP	SP3
		SMEK2	HOOK1
		CACNB2	SSBP2
		PIP4K2B	RBMX2
		C10orf118	CAMTA1
		PPBP	DGKZ
		USP36	BAIAP2
		HOXA9	RBBP9
		LCMT2	PNPT1
		WDR3	TAF1
		MKL2	GSTA4
		HMGCS1	FSTL1
		APOBEC3D	CNIH
		ERH	ELOVL7
		RPL37	SOGA1
		HNRNPM	AGA
		PMS1	CYP4F2
		THOC1	REEP3
		SRSF8	SLAIN2
		ZBTB40	METTL25
		EZR	TAF6
		ZMYM6	CTBP1
		MAP1LC3B	SPARC
		CDC27	DTNBP1
		IBTK	MUS81
		SNX5	FUNDC2
		CSGALNACT1	MED19
		ZNF192	ZBTB25
		KLF12	GCN1L1
		KIAA0196	MAPK1IP1L
		RARS2	STOM
		TOMM6	SPTLC1
		SAC3D1	OXTR
		PGR	TUBB3
		TOMM70A	BOD1
		YARS	MYEF2
		PAPD5	NQO1
		ZNF271	KLRC4
		RAD21	DDX52
		TM9SF3	HSPA9
		CUL4A	C1orf198
		FAM102A	MAN1A1
		MTMR12	C2CD3
		MAGOHB	MAZ
		CD2BP2	DPM1
		EED	BMS1
		PLCE1	CSPP1
		DAAM1	TBC1D29
		KIAA0494	HDAC9
		OPCML	ADPRM
		TMEM9B	LIMD1
		USP13	MDP1
		SLC16A1	ENDOD1
		FLNB	TMEM110
		CRYBG3	CDK2AP1
		ZNF644	ERF
		ABT1	GOLGA8A
		ELK3	TMEM194A
		WDR61	TMEM70
		CUL5	SEC14L2
		TMEM116	FAM161B
		RHOF	USF2
		LRPPRC	AKAP8
		LRRC8D	LGALS1
		ITPA	ZCCHC9
		CDK9	PRIMA1
		SFMBT2	TMED4
		C5orf49	METTL14
		ATG14	FAM117A
		GPR65	PAIP1
		ID3	NDUFB2
		AHI1	TNFRSF21
		PAG1	FAM184B
		TTC3	PRDM1
		RABGGTB	CCDC68
		ZNF329	GTF2H3
		PHKG2	PSME4
		PTPN1	AMOT
		UBQLN1	C1orf123
		ZBTB24	TCEANC2
		ELP2	MCF2
		NEDD8	UCP2
		HNRNPA2B1	ENTHD1
		EID1	ENSA
		EIF4E	ATXN7
		ARL8B	CTDSP1
		HNRNPF	NUCB2
		RPL32	YWHAH
		SURF1	CFI
		ZNF134	DCN
		PSMC5	ART3
		SSR2	SULT1C2
		ZNF207	STXBP6
		PSMD12	ZNF16
		ZKSCAN1	TOP2A
		TRADD	DNAJB11
		C4orf34	LAMTOR1
		ABCD2	CAPRIN1
		PCBP2	XPNPEP1
		SENP5	BCAP29
		SETX	SMG1
		GNPNAT1	EIF2C3
		ACRBP	SUSD1
		ABI2	TRO
		ZNF581	AVIL
		FBXL16	SMC1A
		ZNF606	ARHGAP15
		XRCC5	SERTAD2
		C16orf58	LRRN4
		FUCA2	PRDM13
		CSMD1	ARFIP2
		S100G	GBAS
		NDUFA8	CLDN19
		ATP5SL	PLOD1
		RASAL2	PNP
		UNG	ZBED4
		PIK3C2B	TREML1
		RCHY1	TRAK2
		ZNF790	UQCRC2
		NUDT16L1	ACVR1
		RHOQ	MED13
		CCL8	SPTLC3
		CD48	SYCE3
		ATF3	CDK6
		ERAP1	OSBPL6
		ADSS	KLHL24
		PDCD5	TXLNG2P
		MTIF2	HEBP1
		AKIRIN1	EIF1AY
		PLEKHF2	WDTC1
		CUL9	AMBN
		BEX2	OR52A4
		PPP2CA	UTP18
		EXOG	CRYBB2
		ACBD3	ANKRD52
		N4BP2	DHRS2
		HERC6	C2orf66
		EPS15	KRT32
		GMFB	SEC1P
		PEX11B	GSDMC
		TMEM30A	PRR15L
		C6orf25	FAAH2
		INPP4B	LSP1
		IFITM1	TAGLN3
		DDX19A	TMEM145
		ATP2A2	KLHL38
		ZNF706	FGF6
		COX7A2	C11orf52
		VWCE	THNSL2
		ARL1	GPR50
		ARL6IP1	ITFG3
		OSBP	MAP4K4
		ZNF782	BHLHE23
		SART3	OR4D9
		FKBP2	C1orf170
		GRAP	ATP6V1B2
		RPS12	CXCL6
		CHMP4A	KRTAP10-3
		PSMA6	SPATC1
		PPIA	SCRT2
		HDAC2	FAM129B
		GIMAP4	VASP
		UTRN	DDAH2
		POLR2B	ODF1
		AP4B1	RGS13
		EIF4EBP2	MCOLN1
		PIGT	GJA8
		WDR36	C1QTNF9B
		MED21	MOB3A
		C19orf24	CCDC102A
		MANF	TK1
		HSD17B4	OR5AC2
		NMD3	OR1J1
		ZFX	SOGA2
		ZNF500	ARAP3
		CNNM1	FADD
		SETD2	CNTROB
		MRPS24	ZNF222
		ZMYND11	LSP1P3
		OMA1	MYH9
		BAHD1	JUNB
		PLAA	RNF24
		HSP90AB1	LINGO4
		ATF7IP	PSD
		BCL9L	SERPINA5
		BZW2	INSL3
		RPL8	ARMCX2
		RPL13A	VASN
		PROSER1	GMDS
		TXK	SNORD94
		KPNA5	TALDO1
		GPR4	STAT3
		NELL2	PCDHA12
		ARHGDIB	WTIP
		C16orf54	MNDA
		TMEM66	KIF1C
		UBA52	SOWAHD
		COX20	CDX1
		LACTB2	OR5P3
		PTBP1	TET3
		ARHGAP5	OR6F1
		KIAA0907	SHD
		PRDX1	SGCG
		LYG2	ODF4
		TMX3	BNIP3
		ARHGAP17	FAM124B
		ZC3HAV1	SCT
		RBM48	TNF
		TRNT1	KRT9
		LTV1	FGF8
		ZFP91	ZNF132
		CDV3	UBA1
		CCDC115	C11orf68
		ZNHIT6	IFNA16
		ABLIM1	OR2K2
		SRP54	KIAA1875
		RSRC2	FZD9
		YME1L1	ACTL8
		MLX	KCNE2
		CD44	OR6C4
		HIST1H4I	MACROD1
		ADD3	ODZ4
		MTMR1	ANKK1
		C21orf33	SLC25A41
		TUBA1B	RBMS2
		C3orf37	TRIB1
		RAB6A	GAST
		GTF2F1	PDPK1
		MAX	PARD6A
		DAZAP1	PNMT
		CAMTA1	OR52R1
		SFPQ	FCN1
		SBNO1	JHDM1D
		RGP1	TNIP2
		MIER1	C20orf151
		ZBTB25	RAC3
		ALKBH5	AC100803.1
		NACA	RARRES2
		GCN1L1	ADAM21
		MAPK1IP1L	RHBDD3
		CDC73	UCN3
		LDHB	YBX2
		MAZ	DUOX2
		ZBTB44	SOWAHB
		SMAD4	EMC9
		ARF4	GPR15
		WDR82	AACSP1
		SMARCC1	RHBDL1
		NDUFB2	SERTAD1
		APOBEC3C	DBX1
		B4GALT1	GEM
		RPS23	ESPN
		UCP2	OR4S1
		DDX6	KRT71
		G3BP1	PKD2L1
		ZMPSTE24	TPRA1
		RPL18	OR4K2
		TRIM11	C5orf54
		KAT6A	LAD1
		MTERFD2	PROL1
		PIM2	OR6T1
		DENND2A	UNC93B1
		TXLNG2P	USP20
		PSAP	CRYBB3
		USP4	ALPL
		MAP4K4	GP2
		ARHGAP30	TBX6
		S100A11	FOXD3
		MAP1S	KIF13A
		FAM100B	RSPH3
		NOTCH1	KRBA2
		CSF3R	C1orf87
		STAB2	AP006621.1
		MOB3A	SOX14
		LY96	PGAM2
		RGL4	OR8D4
		RP1-178F10.3	KRTAP3-2
		SLC35G3	INSL5
		MYO1F	LINC00652
		OSCAR	RTBDN
		RBP7	MAB21L1
		HCRT	ZFPM1
		ALDH2	CCDC37
		LSP1P3	C1orf210
		MYH9	MIR7-3HG
		S100A7L2	ELTD1
		TAAR2	TRPM6
		JUNB	LCE1D
		RP5-1029K10.2	AC092653.5
		KIF15	USHBP1
		IL6R	CLSPN
		SLC15A4	HK3
		ERRFI1	S100A12
		RNF24	CDC42EP2
		U52112.12	CDH20
		DLGAP3	OPN4
		SOX21	ERCC6L
		TALDO1	PCDHGA5
		EBLN2	C17orf53
		AQP5	HES4
		MS4A14	SULT6B1
		SEMA4B	FAM129A
		STAT3	KRTAP8-1
		OR13C3	CR392000.1
		LILRA6	KCNRG
		XPO6	C2CD2L
		NEAT1	CCDC157
		ATG16L2	MT1E
		TSPO2	BAHCC1
		GPR26	HSP90AA5P
		LRRC33	CATSPER2
		KLK11	FAM214B
		KRT9	TPRN
		C6orf123	FAM100A
		IL17C	OR51M1
		ELF4	PLA2G4C
		FGF8	IL34
		UBA1	RTP3
		LPAR2	ITGAM
		BGLAP	SPACA4
		C11orf68	FXYD4
		FAM195A	TRIM25
		AP000708.1	TMEM202
		MYO1E	TREH
		KDR	SURF6
		C16orf79	FAM186B
		RBM8A	CHD8
		APCS	ELFN1
		RBMS2	C16orf86
		TRIB1	CFTR
		PDPK1	IGSF6
		GAPDHS	KHDC1L
		MAGEC2	ZSCAN4
		DHRS13	CHAF1B
		VAV1	MBD6
		QPCT	ZNF843
		GPR25	MLF2
		PARD6A	CCDC64B
		FCN1	CPLX3
		JHDM1D	LINC00085
		PCDHA8	ADAMTS4
		STEAP4	CR1
		TNIP2	SYNGR4
		C20orf151	NCR1
		SRMS	KRTAP19-6
		NANOGNB	POU3F4
		RAC3	CCDC124
		CLUL1	TCEAL7
		CKB	PCDHGC3
		B3GNT8	RP11-701P16.1
		AC100803.1	PROK2
		DNAJC3	IQCF6
		GPR15	XKR7
		NEU1	CNTNAP4
		ZDHHC1	GPR1
		C20orf173	SIRPA
		AACSP1	LRRC45
		RHBDL1	FPR1
		NICN1	SIM1
		SERPINA11	GADD45A
		CXorf59	CEP170
		GSN-AS1	CILP2
		SERTAD1	DSPP
		TTPA	RNF133
		HIST1H2BM	LINGO3
		DBX1	MDFI
		CLEC4D	RP11-702L6.4
		GEM	OR2J2
		PSORS1C2	VWA5B2
		ESPN	OR9G1
		SPINK2	LRRN1
		OR4S1	BOC
		ZNF221	SSH2
		CCDC114	MEFV
		OR4K2	MSH4
		CCDC172	COQ3
		CCNB1	OR52K2
		C5orf54	KLK14
		ARHGAP22	GGNBP1
		PROL1	DBX2
		OR6T1	CLASRP
		UNC93B1	ATP13A1
		HCK	FKBPL
		CRYBB3	TMEM91
		ALPL	FFAR2
		XAB2	KRTAP25-1
		CEACAM18	FER1L6
		LCE3C	CLECL1
		GJD4	MEGF6
		CDA	A2LD1
		MYL3	FOXI3
		AADACL4	THBD
		GP2	CBL
		MYO7B	EMID1
		TDO2	LHB
		TBX6	RP11-299H22.3
		LRRC17	RPL13P5
		FOXD3	KCTD13
		SOX14	WNT2
		PGAM2	PRM2
		PCDHB16	OR6C75
		OR8D4	CDK11A
		SPI1	CAMP
		ALDH6A1	OR1L3
		INSL5	KRT84
		LINC00346	VN1R1
		RIBC2	HSPA1A
		RP11-332O19.5	TAAR8
		PLXNA2	RTN3
		LINC00652	S100A9
		RTBDN	ZFAND3
		SOX18	AC004870.3
		MAB21L1	LEMD1
		ZFPM1	DNAH10
		BST1	C19orf69
		KIF12	PLIN5
		NOL3	P2RY2
		GPR20	C11orf16
		C1orf210	OR6N1
		MIR7-3HG	NCF2
		RP1-283K11.3	CDX2
		ELTD1	UNC5CL
		TRPM6	TTTY12
		LCE1D	RAB24
