DFTU	DFRC	DFNC	DFRN
LOC100287413	C2orf61	SNCB	KLHL9
C9orf16	HTR2B	GABPA	DHX35
LINC00301	KRT8P41	NXN	LOC653075
MAD1L1	PAQR6	BLOC1S1	FLJ35424
IFITM2	RPL31P11	OTOA	WDR24
SPRY4	LOC100506516	ZNF827	ARMC5
MIF4GD	FLJ31306	TGM6	XLOC_012031
E2F4	AVIL	CD59	TEF
LAD1	NXF2	MS4A1	MAML2
LOC283332	CCDC116	FAM65A	BOK
LOC283177	XLOC_011572	LUZP6	XLOC_008290
LIG3	XLOC_007949	KLHDC3	FOXN3
ARGFXP2	THEG5	IQSEC2	XLOC_l2_011603
LOC255167	QPCTL	MFSD1	ALDH1L1
FAM125A	CD9	XLOC_l2_013857	ARFIP1
YIF1B	AQP2	E2F4	SLC13A4
CD74	NMS	CNNM1	C13orf41
XLOC_l2_006640	MGC10814	CSRNP1	NXN
NAIP	LOC100652883	ZC3H14	XLOC_009892
TXNDC3	LOC100505986	FBXL19	ABCG2
PLD3	LOC339400	TSC22D4	Q07610
CAPN1	LOC100128320	LOC92249	ADAM21
PACS2	LOC644339	NAP1L4	IFI27L1
ZNF37BP	CDK20	DDX11L10	FLJ25328
C17orf57	LOC100653004	XLOC_008795	TAF6
DKFZP586B0319	XLOC_012833	RNF208	XLOC_006254
XLOC_007918	FLJ45513	PAM16	OVOS
XLOC_012359	LRRC32	CDK11B	LOC100287482
GMPR	XLOC_003347	C16orf58	ACSF3
GPR108	ELAVL4	ND1	XLOC_012632
XLOC_008427	XLOC_l2_015202	XLOC_l2_009320	XLOC_010490
C20orf106	XLOC_010736	MGAT2	MRPS18C
MED12	XLOC_000614	XLOC_l2_009968	LOC100128593
LOC100292409	XLOC_008990	BAZ1B	PARP15
BDH1	XLOC_003338	GPR146	GPRC5C
LOC284628	XLOC_000390	CDKN1A	PP12719
IRF2	XLOC_013004	RARA	FAM75C2
XLOC_002427	XLOC_l2_014191	XLOC_005563	SULT4A1
SCAMP2	LOC100506523	TMEM9B	BRAT1
XIST	FLJ40536	CHDH	RFPL3-AS1
FAM110B	ROM1	RLN3	XLOC_002317
TMEM174	LRRN4	STRN4	XLOC_l2_007706
SERINC2	LOC283352	XLOC_001747	CCDC90B
ACOT8	ABHD11	GNA11	XLOC_010467
ABCB8	CROCCP3	EXTL3	CRYGS
C21orf56	CCDC84	ADAM1	XLOC_005466
LOC100653206	KCNJ8	EVI5L	FAM132A
XLOC_l2_007310	XLOC_002184	PRKAG3	DBNDD2
LOC100128922	C21orf81	POU2F2	PPIB
C15orf2	IGFBPL1	ZNF414	C17orf99
LOC100170939	XLOC_l2_014294	ATP6	OR1A1
C19orf20	CLK1	CTAGE10P	LOC100652974
XLOC_l2_004595	ARL4C	LOC100128107	SNRPE
THOC1	XLOC_014097	RGS6	RNF139
GEN1	SMCR6	U2AF2	LAPTM4A
SF3B4	CORIN	ZNF771	TBC1D3B
ZNF518A	DBIL5P2	FCER2	PALMD
ZFPL1	ZNF542	KDM6B	DDX54
WNT10A	LOC100506673	XLOC_009233	RNASEL
GON4L	LOC401188	GALNT2	RNF141
RNF185	XLOC_002685	RNF40	RPL36A
KLHDC3	LOC100505976	CCDC59	HELZ
LY6E	BDH1	ZNF296	LOC652586
XLOC_005770	MYH7	MYO1G	C16orf78
C9orf79	PROP1	SLU7	FUK
PRPF40A	C2CD4A	CDH7	EID3
SYTL3	XLOC_012743	DLEU2L	XLOC_011740
WDR73	XLOC_011256	YOD1	XLOC_004091
LOC100133089	DNAH6	ISYNA1	PHF2
IGSF8	TBC1D29	AQP7	DEFB119
LOC100653003	XLOC_000322	ADRBK1	IRF2BP1
N4BP3	LCN10	TBC1D10B	ZNF614
SAMD4B	XLOC_012737	ZBTB7A	SH3BP5
DUS2L	XLOC_003069	CRYGN	PCDH1
RAB4B	MAGI1	PRG2	RGS12
LOC100509256	LOC100130193	XLOC_005617	MCC
ZNF414	LOC100653103	XLOC_011038	XLOC_007406
SNORA14A	SNORA45	VPS52	SLED1
SNORD87	GRM4	XLOC_012176	NDUFA1
FBXW4	XLOC_004467	COPS7B	LOC731789
APC	XLOC_003160	LOC283588	FAM205B
TXLNG	LOC100507651	VCY	WDR62
CWC22	LOC401480	CKAP5	DSCAM-AS1
POGZ	ZFHX2	KIF9	CYSLTR1
UNC119	FAM153B	LOC100652878	ALLC
RHOG	SIRPG	JUND	LOC143666
XLOC_007653	HTR7P1	ASPHD2	DNAH3
ZNF296	TCL6	MAP2K7	TBC1D3G
LOC100506992	BMPR1B	KDM1A	ZSWIM4
