XFTU	XFTU1	XFTU2	XFTU4	XFTU8
Chad	Capn6	A130030D18Rik	Pttg1	Rnaseh2c
Tgfbr2	Trappc9	Gjb3	Slc7a12	Mrc1
Gng8	Stk32c	Zbtb24	Calml3	Atp1b2
Gcnt3	Phf1	1700092C17Rik	Lrrcc1	Dtymk
Tars2	Cldn13	Ankfn1	1700030N03Rik	Armc8
1700017N19Rik	Nnmt	Esr1	Odf2	Dnajc3
Cdc25c	Trip13	2010320M18Rik	1700020L13Rik	Cd83
2310039H08Rik	Son	Zfp825	Nt5c1b	Cst11
5730460C07Rik	Grhl2	Lrriq3	Eif2ak4	Lrfn1
Trim14	Sptlc3	Dkc1	Ggps1	Sox12
A530010F05Rik	Prox1	Krt19	Prpf8	Rpusd2
Xirp2	Carf	Cyp26b1	Cldn13	Csnk1e
3110082I17Rik	Kcnh5	Psg29	Slit2	Cyp8b1
Dus4l	Tram1l1	Muc1	Lrrc10	Zfp11
Tsc22d3	Lrrtm1	Gpx7	Duoxa1	1110059E24Rik
Rhox4b	Map3k14	H2-Q6	Rbm38	Usp34
Slc26a4	Sim1	4930522H14Rik	Tex24	Mkrn1
Dynll2	Pkp2	Map3k14	Fam171a1	Prlr
Ppara	B3gnt7	Bet1	Gas8	Tmem65
Pou6f2	Pck2	Abca14	Isg20	Mybl1
Abcg1	Tppp3	Nudc-ps1	Cd81	Polrmt
Tbc1d8b	P2rx6	Pcdhga9	Tmem106a	Aup1
Nox4	Gzmb	Lrrc25	St3gal6	Serinc4
Sstr5	Hoxa1	Psg18	Mef2c	Sox1
Ermap	Aqp12	1700047G07Rik	4930447K03Rik	Pipox
4930442G15Rik	Trip10	Slc22a13	Adnp	Tdo2
Krt23	Txndc11	E130116L18Rik	Nes	Xbp1
Myoz2	St3gal1	Gabrr1	9130204K15Rik	Acbd3
Sec61a2	Dyrk4	Capn2	Fgf13	Nt5c2
4930447K03Rik	Ccr5	Gfra2	Zfy2	3222401L13Rik
4930455G09Rik	Zfp157	1810058N15Rik	9530020I12Rik	Xlr4c
Klk1	Apold1	1700020N01Rik	Mcat	Ccdc43
Psmc3	Rbpjl	Adam24	D430019H16Rik	Mageb2
Gpc6	Myef2	Myo1g	Ctbp2	Echdc3
4930547E08Rik	Rpa3	Fhl5	Nsmce4a	Akap6
Muc1	Far1	Gstm2	Ccdc80	Lingo2
Efna1	Hbb-y	Ccdc115	Btg2	Gzmn
Pmpca	B4galt7	Slfn4	Acsm3	Madd
Btbd2	Tbc1d24	Gpr151	Tcp11	H2-T23
Ap2b1	Card6	Fgd5	Il22	Clnk
Psme2	Tatdn2	Lactb2	Sort1	Pex26
Taf15	Pofut2	Nos1	Chst5	Cyb5d2
1700069B07Rik	Epn3	Ctbs	4930542C16Rik	Kcnk9
Gipc1	Fgf4	Rax	Kndc1	St8sia6
Irf7	Dpep2	Triml1	4933427D14Rik	Pggt1b
Mmd2	Nhlh1	Taar8c	2310005E17Rik	Gpr27
Zscan20	Susd3	Bphl	Fmo4	Tomm40
Nes	A730035I17Rik	Cyp1a2	Bcl3	Pfdn1
Ccdc115	Rims4	Zkscan17	Wfdc2	Cd96
Dscc1	Cep350	Gins3	Nr1i3	Cd180
Ap3b1	Fscn3		Cdc7	Slc38a1
Pttg1	Gcnt3		Slc26a4	Ccdc88c
Irf1	1700047G07Rik		Bdh1	Plcd4
Fut2	Atxn7l1		Cxcl12	Ctxn1
Spata4	Etaa1		Cd276	Thap7
Rnf125	Rufy3		Mtmr4	Dcpp1
Zdhhc23	Hadh		Pgd	H2-M11
Rpusd2	Ube2v2		4930522N08Rik	Pyroxd1
Mthfr	Alpi		Cd300lg	Pigl
Crhr2	4931429L15Rik		Tceal6	Nova1
Gbe1	Xlr4a		Stard8	Vps16
Plscr3	Slc25a22		Bahcc1	Def6
Dock2	Scyl2		Slc10a1	Pcmt1
Fgf11	Efna2		Tbc1d10c	Arf3
Rufy4	Ceacam11		6530402F18Rik	Nt5c3
Atp6v1g3	A430034D21Rik		Defb6	Kcnj16
Traf3ip1	Cnga3		Znrf4	Npepps
Srp68	Zfand2a		Gas7	Ccng1
Tcstv1	Taf15		1700013G24Rik	Phyh
A230051N06Rik	Lhx9		Depdc7	Tubb1
Scrg1	Ceacam19		4930578I06Rik	Slc6a20b
Lcn9	2900041M22Rik		Krt40	Zpld1
Rab37	Foxl2		Ctf2	5730596B20Rik
Defb35	Tnfaip2		Fbn1	Eral1
Sh2b3	Mink1		1700084J12Rik	Galntl5
Acss3	Rftn1		C130073F10Rik	4933432I09Rik
Agbl2	1700019M22Rik		Zc3hav1l	Insrr
Car7	Slc10a6		B3gnt8	Pum2
Mrps10	Hesx1		Tbx6	Tk1
Dync1li1	5730403I07Rik		Trappc3	Cdc42se1
Pcgf2	Tmem63c		Tomt	H2-M10.5
Fbxl17	Tnfsf18		A830031A19Rik	Usp15
Crispld2	Ftcd		Galnt10	Efhb
Syt6	Gpr34		Svep1	Mtdh
Defb10	Dll3		Slc26a1	Mtmr11
Serpinb9e	1700008O03Rik		D830024N08Rik	Abhd8
Polr3d	Mia2		Trpv5	Ap3d1
Mat2a	Ap2b1		Tcp11l2	Smcr8
Tnc	Ifna9		Nkain4	4933406I18Rik
2310061N02Rik	Krtap2-4		Mpzl1	Cd8b1
Ing3	Nle1		Runx3	Slc24a1
Tiparp	Gpr101		2310061N02Rik	Defb4
Cd163	Abca5		Kera	9130230L23Rik
Ccdc54	Itga6		Coil	Gstk1
Heatr5b	Ms4a5		Sectm1a	6330415B21Rik
Plcd4	Stx12		BC037704	Tpd52
S1pr3	Tnfsf9		1700027A07Rik	Med14
Car4	Rpe65		Cnbp	Sardh
Zfp110	Yipf4		Cnpy1	Serping1
Utp14b	Cdh26		Krtap14	Mocos
Efcab9	Pth2r		Bbs5	Srm
4930432M17Rik	Epx		Fbxl22	Zfyve16
Tbc1d9	Gpr150		H2-T3	Rabl3
Spag6	Mmel1		9630009A06Rik	Cdc6
Pitpnm3	Dsc2		Nuak1	Dpf1
5730403I07Rik	Slc36a3		Tnfrsf19	Nab2
Reg4	Zfp668		Gabra3	Ccl24
Slc5a2	Rnf126		Usp28	Adh6a
Akr1c13	Smc2		Clec11a	AA467197
D730045A05Rik	Dok1		Armcx6	Capsl
Gabra3	Plcb3		Guca2b	A430048G15Rik
4933427E11Rik	Ccnd1		Fst	Ugt2b35
Mepce	Tubgcp2		Hspa12a	Agpat4
Adcy7	Hoxc6		Xrcc4	Serpinb8
Mcpt1	B230217C12Rik		Arg2	Prkci
Setd5	Mapk10		Hsd17b3	Lrrc7
Sycp2	BC016579		Slc10a5	Ifitm2
Zmat1	Anpep		Reg4	Zdhhc17
Iffo1	4921539E11Rik		Lyplal1	Trmt5
Gcnt7	Sepsecs		Cxcl2	Spata1
Ctsl	Cma1		Mdc1	Clasp2
Farp2	Dll1		Ms4a7	Suv39h1
Lhx9	Irf1		Tnfaip3	Nmt2
Hectd3	Tas2r140		Ephb2	Atp6v1g3
Ankrd26	Cdk5r1		Ren1	Kctd4
S100a9	Ccr1l1		4933436I01Rik	Fermt3
Zc3h12c	1700008H02Rik		Cpn2	Dclk2
Cdh24	Lcmt2		Cyp2d9	Ing5
Cab39l	4930547E08Rik		Fbxw7	H2-DMb1
Il1rl1	Nrip2		Nudt9	Snca
Id1	Cdkn1a		Gstm6	Dhrs13
Greb1	Ubxn11		Krtap13-1	Pde4c
Cend1	Gda		Tmem26	Klre1
4930405A10Rik	Dnajc2		Speer4b	BC004004
Tie1	Btbd2		Junb	Fndc7
Adamts15	Fkbp15		9130017K11Rik	Slc5a5
Armc9	Mstn		Fshb	Sidt2
Noc3l	Ccne1		Zfp53	Cdkn2c
Scara5	Dvl2		Samsn1	1700123O12Rik
Pigt	Rnf150		Car7	Trpm2
Ddx60	Tnfaip3		S100g	Dlat
Rhou	Recql		Ptprj	Alox12
Calcb	Rab3ip		Scin	Sycp2
9430069I07Rik	Dydc2		Siglece	Zgpat
Ceacam11	Cd300lf		Sema4c	Efna2
Slc30a8	Efna1		Pdgfra	Atp2b4
Trim58	Vax2		Gnpnat1	Fbxl12
Ap4e1	Cmtm2b		Bnc2	Zfp775
Igf1	Higd1c		Ppih	Adam17
Chrna9	Zfp747		Krtap6-2	Dync1li1
A430035B10Rik	Oxct2b		Wasf1	Pigb
F730043M19Rik	Gsta1		Casr	Rbmx2
B430203G13Rik	Cst11		Cnih3	Btbd3
Irak3	Gca		Syt11	Atp13a5
Slc24a5	Tcl1b3		Rsl1	Satl1
Cd180	Acot12		Rpgrip1l	Mrpl16
Dlgap5	Car8		Inhba	Ccdc12
Cchcr1	Tlr2		Pycard	Mcm7
Gbp4	Dhrs2		BC034090	Sec14l1
Cxcl12	Ogg1		Syt13	Sdhb
Pde3b	Olr1		Fmn2	Phpt1
Dnajc28	E2f4		Aamp	C1qtnf2
A930004D18Rik	Gzmm		Zfp69	Slc2a10
Xrcc2	Pdcl3		Gosr1	Ctsh
Tor3a	Egf		Enpp3	Anxa13
Clec4a4	Gucy2f		Gdap1l1	Bri3bp
Afap1	Hnrnph2		Krtap13	Rnf123
Slc5a3	Flg2		Cnot6	Brsk1
Zranb1	Tcirg1		Susd5	Dnajc15
Actc1	Jmjd6		Mrpl32	Tnk1
Cxcl17	C6		Defb12	Neurog1
Ghrh	Stag3		Plcl2	Stoml1
Stk32c	Yy2		Mto1	Krt84
Zfp661	Trpv6		Nle1	Lsr
Pla2g4a	Iapp		Serpina4-ps1	4930405H06Rik
Grik3	Cul3		Has1	Tars2
Syvn1	Nostrin		Rab30	Efnb1
	Cntn4		Egfl6	Shd
	Bst1		Fndc1	Vash2
	Nfat5		Cxxc5	Ropn1l
			Dhx9	Cacng3
			Nup98	Cnga1
			Bmp2k	Dpt
			Rexo2	Apbb2
			Ms4a4b	Zfp30
			Ccl24	Sco1
			Lrrfip1	Gpr150
			Pih1d2	Cd300lb
			Prkar1b	Rhbdl1
			Lipf	Zdhhc3
			Glb1	Fryl
			Cabin1	Bdh2
			Slc15a2	Per1
			Crybb1	Nat1
			Abcb5	Cep70
			Fam169b	Wnt4
			2310022B05Rik	Ctsk
			Dbil5	Zfp382
				Pcdhga5
				Pcdhb3
				Mbd3
				Zfyve19
				Pelo
				Afap1l2
				Cldn16
				Golga2
				4921513H07Rik
				Atp2b2
				Mapk1ip1l
				Mak
				Gp6
				Ccdc73
				Ncln
				Thsd4
				Nrgn
				Rer1
				Cblc
				Vsnl1
				Lin37
				Tcstv1
				Aoah
				Morf4l2
				Mtf2
				Atg4b
				B2m
				Stard4
				Prss27
				E230020D15Rik
