SFTU	SFRC	SFNC	SFRN
Prkar1b	Dpy19l3	Acvr1	Birc5
Capn5	Ptpn5	Sf1	Ino80b
Ccdc3	Gss	Kmt2a	Rnaseh2c
Mast1	Kitl	Sema3c	Triap1
Zbtb34	Zfp804a	Ppat	Imp3
Uchl1	Zfhx4	Eml6	Ccdc12
Diap1	Camk4	Rbm24	Nop16
Spns2	Pde7b	Mtss1	1700018B24Rik
Plekha2	Slc1a1	Vti1b	Rfx5
Ltk	4933427G17Rik	Ramp3	Ift46
St6galnac5	Mcfd2	Prokr2	Ddrgk1
Kmt2a	Homer2	Pcdh11x	E130309D14Rik
Lpar4	Slc9a5	Spns2	Rab24
Aga	Il1rapl2	Ackr1	LOC102635316
Gpr12	Acvr2a	C1qc	Fto
Slc16a10	Apbb2	Fkbp7	Magi3
Nampt	1700029I15Rik	Fbxo25	5330434G04Rik
Synm	Fam134b	3110039M20Rik	2810428I15Rik
Kcnk10	Prkar1b	C1ql2	Aqp4
Phf20l1	Kif17	Twf2	Krt10
Actn2	Col25a1	Afap1l2	Htra4
E130012A19Rik	Tmcc3	Stard3nl	Zc3h12a
Camk4	Kcne1l	Pdgfa	Gng3
Car4	Dcp2	Sema3e	Mrpl13
Lacc1	Rap2a	Brca1	Ccs
Mir22hg	Emid1	Cxadr	Dguok
Lrpap1	Kl	Il1rapl2	Recql5
Olfm4	Fam189a1	1810058I24Rik	Lmnb2
Pcsk5	Reln	C1qb	Tyw3
Kcns2	Osbpl1a	Kcnk10	Sp3os
St3gal1	Snhg8	Adcy3	Pold2
Sparc	Prdm11	Palmd	Cyth4
Pfkp	Aff1	Kcnf1	Mif
Trnp1	Extl2	Nckap1	Dtd1
Hace1	Vti1b	1700017B05Rik	Tmem161b
Chn2	Wsb2	Bcl6	Pole3
Nt5dc3	Traf3	Crcp	Spc24
Rap2a	Mast1	Tgfb2	Mcm7
Acvr2a	Fnbp1	Mdga2	Cdc20
Spata13	Pcsk5	E330009J07Rik	Pik3ip1
Foxk1	Rbm43	Nos1ap	Cntn1
Sox8	Rfc1	Rab40b	Thap3
Pde4b	Ccdc3	Fam189a1	Nudc
Bri3bp	Stx7	Kndc1	Vma21
Kcnip3	Dnajc27	Homer2	Rp9
Fbxo25	Dscam	Prdm11	Elac1
Ppp1r13b	Pfkp	Pdzrn4	1600025M17Rik
Agrn	Slc6a1	Dnpep	Myo10
Tgfa	Egfem1	Fkbp1a	Asxl1
Klhl32	Dpy19l1	Snx33	Fhl2
Rragd	Spata2	Tmem242	Zfand5
4933427G17Rik	Eno2	Parvb	Cln5
Heg1	Igsf1	Pnmt	Rbfox3
Slc26a11	Ptprn	Chn2	Slc29a1
Ptprg	Zmiz1	Kif22	Cdk18
Mgat5	Rbm24	Nanos1	Haus3
Clmn	Galnt13	Ciao1	Sowahb
Fam210b	St6galnac5	Klhl32	Klk13
Mkx	Sparc	Mex3b	Pgm5
Fbln1	Adamtsl3	Aspscr1	4930543N07Rik
Bdnf	Ache	Il27ra	Trim28
Rps6ka2	L3mbtl3	Ccdc50	Adprhl2
Arhgef15	Arpp21	Grb14	Dnah2
Chd7	Laptm4b	Tmem217	Wnt7a
Smpdl3b	Pck2	Ermn	Cryl1
