SFTU	SFRC	SFNC	SFRN
Bcor	Caln1	Camkmt	Echdc2
Rfx1	Sowaha	Map3k4	Gpr12
Bach1	Fam117a	Sox4	Rpusd3
Afap1l2	Fstl1	Vti1b	Ctsc
Mapk10	Nudcd1	Scn1b	Myh11
Ppl	Plcxd3	Foxk1	3632454L22Rik
Mcu	Pgm5	Apol8	Adcyap1r1
Vti1b	Tpt1	Ppl	Mpp6
Cygb	Miat	Parm1	Ak2
Cpne9	Lamb3	S100a6	Kcnip2
Plcxd3	Cgref1	Abcc8	Fam167b
Parm1	Sparc	Mex3a	Adora2b
Ier5	Capn5	Csf1	Cd163
Slc6a1	Tdo2	Nav2	Rab11fip5
Uhrf2	Iqgap1	Rragd	Osmr
Snrnp35	Sstr2	Pag1	Kcns1
Kmt2a	Stx7	Ncan	Cd83
Plcg2	Ppp2r5c	Dpyd	Pno1
Gpr12	Flywch2	Tmtc4	Sptssb
Tspan33	Atp1b3	Trnp1	Chst10
Prkar1b	Syt17	Nos1ap	Cdk5r2
Tmtc4	Klhdc8b	Hmgn5	Vwf
Slc6a15	Tagln3	Pkd1	Frmd4a
Syn1	Zfp804a	Rin2	Higd1b
Scn1b	Gpr153	Otp	Cebpd
Spon1	Wdsub1	Gm608	Ube2ql1
Dpyd	Ngb	Rec8	Otoa
Rtn2	Vipr1	Eno1	Catsper1
Prorsd1	Lrrtm1	Ap1s1	Defb15
Thumpd3	D430041D05Rik	Col6a2	Insl6
Anp32b	Ephb1	Jph1	Smc2os
Trpm3	Adamtsl2	Sox11	5830411N06Rik
Ltk	Kcnip3	Fstl1	Zic1
Lrrc16a	Rtn2	Arhgap42	Serpinh1
Entpd3	Smpdl3b	Rgs14	Atm
Gpsm1	Lrrc10b	Diap1	F2r
Dlk2	Ahcyl2	Unc5c	Mfge8
Wnt9a	Fam129b	Fndc3a	Bcat2
Nudcd1	Ptgs2	Iqgap2	Tgfa
Efr3a	Lmo1	Fzd5	Hspb3
Homer2	A930033H14Rik	Iqgap1	Tas2r119
Sparc	Kcnj10	Chgb	Iqub
Calb1	Fam19a2	Zfhx2	D16Ertd472e
Bgn	Cd68	Man2a1	Thsd1
Pcdh10	Dscaml1	Slc6a15	Klk1b24
Ptbp3	Tram1l1	Syn1	Capn3
Trp53inp2	Dpy19l3	AI504432	Pnck
4930578M01Rik	Slco2a1	Rhov	Cisd1
Zfhx2	Uhrf2	Tgfa	Aqp1
Fam13a	Umodl1	Lcorl	2510039O18Rik
Slco5a1	Il17d	Hace1	Ptx4
Sstr2	Il15ra	E130012A19Rik	Alox8
Medag	Ephb6	Trp53	Rftn1
Card10	E130012A19Rik	Ahcyl2	Fbxo45
4933427G17Rik	Dpy19l1	Mmd	Sema5a
Fosl2	Foxk1	Snapc5	Orai1
Ypel5	Mcu	Ppp1cc	Cdk18
Golm1	Mast1	S100pbp	2410012M07Rik
Fnip2	Abca4	Rasgrf1	6720483E21Rik
Rassf8	Pld3	Mcfd2	1700108F19Rik
1110008P14Rik	Abhd2	Dll1	Mdfic
Egfem1	Pnma2	Ankrd55	H60c
Stk4	Cd1d1	4930562C15Rik	Penk
Pag1	Sema3a	Nabp1	Id1
Nt5dc3	Eno2	1810012K16Rik	Sclt1
Kcnip2	Chgb	Ror1	Lepr
Adcy3	Ppp1r16b	Hoxa5	1700080N15Rik
Acer3	Cxx1c	Acsl5	Cbx2
Wsb2	Matn4	Flywch2	Crisp2
Synm	Rnh1	Aifm1	Cd209g
Col11a2	Exoc7	Acvr1	Srpx2
Hace1	Txn1	Il33	Six4
6330403A02Rik	Fra10ac1	Tmod1	2310034O05Rik
Matn2	Dcx	1200014J11Rik	5730559C18Rik
Wisp1	Arhgap42	Nap1l1	Cdc20
Rragd	Nsg1	Isca2	AU040972
Rbm43	Grhpr	Snrnp35	Sema3e
Pld3	Slc16a2	Crtac1	1700028I16Rik
Batf3	Nos1ap	Mcu	Fbxl7
Calb2	Gpc1	Slc27a2	Nelfcd
Stxbp1	Gpsm1	1700108F19Rik	Bbc3
Tpt1	Lamp5	Thumpd3	Ints6
Tdrp	Txnrd3	Slc12a5	6030419C18Rik
Hpcal1	Cc2d1a	Wdsub1	Fn3krp
Fbln2	Porcn	Matn2	Ier5
Cttn	Snrnp35	Zfp423	Cxcl12
Klf6	Vwa3b	Brwd1	A630033H20Rik
Pdlim4	Itpka	Lrrn1	Dsc1
Mapk8ip1	Zfp462	Clrn3	4933401B06Rik
Cldn3	Entpd3	Mcm9	Icam2
Syt17	Mir22hg	Egfem1	Rnf169
Med15	Clmn	Atp11a	Tcof1
Gm266	Sh3bp1	Mn1	Panx1
Efr3b	Lrrc16a	BC030336	Tmem140
Gypc	Wsb2	Uhrf2	Myocd
Prkar2a	Paip2	Gm266	Trhr
Kcnj10	Shisa5	Ap2m1	6720468P15Rik
Otop2	Akt3	Dlk2	Sertm1
Paip2	Spg21	Gpr114	Anapc10
Atf6b	Ankrd50	Pls3	Il17rd
Grhpr	Pparg	Pcdh10	S100a6
Nwd2	Prc1	Depdc1b	Rgs9
Nfkbiz	Grik4	Sec1	Onecut1
Gss	Prlr	Hmox1	Nwd2
Napa	Ppp1r1a	Tdrp	Tex40
Ntf3	Lmo3	Klhl25	2310016G11Rik
Fam19a2	Gria2	Csf2ra	Tram2
Grik4	Axin2	Medag	Tpm2
Spns2	Klf6	Lrrc16a	Klf7
Il27ra	Vav3	Tm7sf3	Mndal
Gm1673	Shisa4	Entpd3	Slc35e4
Slc45a4	Plekha2	Cxcr4	D2hgdh
Abca4	Kcnk1	Col11a2	Pole3
Tmod1	6330403A02Rik	Lgals3	Ttc16
Cxx1c	Pde7b	Spns2	Arpp19
Prc1	Dlk2	Cttn	Ifitm1
Akt3	Tmod3	Rassf8	Gpr114
Arhgap26	Tnrc6c	Batf3	Sra1
Ppp1r1a	Foxq1	6820408C15Rik	Bag2
Atp11a	Hist2h2be	Plcxd3	Sardh
Lgals3	Thumpd3	Fam83f	Slc27a2
Klhdc8a	Synm	Slc4a4	Was
Adcy1	Rwdd3	Ttll9	Fbln1
BC030336	3110039M20Rik	Elfn2	Cyp20a1
Pde4b	Rasd1	Stxbp1	Tet2
Ephb6	Atf6b	Gpsm1	Polq
1500009L16Rik	Pcdh10	Tgfbr2	4930570G19Rik
Ngb	Cttnbp2nl	Arhgap24	Ttll3
D430041D05Rik	Pkp2	Mpdz	Slc14a1
E2f1	Sh3rf3	Gpr61	Cpxm1
Dscaml1	Nfxl1	Myh3	Klhl13
Slc26a8	Adcy3	Wfdc18	Crip1
Tm7sf3	Col25a1	Nudt4	Rfx5
Tub	Slc26a8	Rxra	Col1a2
Chek2	Arhgap26	Thap7	Crocc
Sox4	Cd24a	Rtn2	Angpt2
Tram1l1	Rftn1	Serpinb8	AI507597
Tmem144	Dnajc16	Trpc1	Chrdl2
Ulk2	Ppapdc1a	Adamts9	Reep3
Ankrd50	Stk40	Trp53i11	Itm2a
Gda	Prdm8	Tanc1	Ypel4
Slc35f4	Onecut1	Rbm43	Pde7b
Eno1	Prrt1	Sec24c	Eif3h
Idnk	Slc6a15	Pla2g2d	Sdccag8
Sh3d19	S100a4	Il21r	Larp1b
Ndc1	Medag	Mdga2	H2afx
Capn5	Negr1	Hpcal1	Trim30a
Olfm4	Ccdc3	Hus1	Clec14a
Krt10	Rasd2	Tubb3	Arhgap19
Unc5c	Syn1	Slc45a1	B020011L13Rik
Pls3	1500009L16Rik	Ttc16	Cygb
Tdo2	Ppl	Ano6	Wdr38
Rnasel	Mrpl23	2900052N01Rik	Midn
Gpc1	Fbln2	Prkar2a	Acot6
3110039M20Rik	Fbxl7	Rfx1	Sept9
Ap2m1	Parm1	Osbpl3	Akr1d1
Ccdc3	Csgalnact1	5033430I15Rik	Kif4
Slc12a5	Pip5k1c	Otop2	Vmn1r11
Sgtb	Rassf8	Ndc1	Fbxo24
Ror1	Adcyap1r1	Kmt2a	Nab1
Arhgap24	Atp2b3	Gprc5b	Katnal2
Gsta4	Ntn5	Adcy3	Arl11
Txn1	Napa	Ap2a2	Tmem138
2900052N01Rik	Fam184a	Ints6	Trmt1
Slc16a2	Fam210b	1700006J14Rik	Jup
Kcna5	Rbm43	Trim71	Sc5d
Prdm11	Vti1b	Edem2	Zfp711
Mapk4	Mamdc2	Kif4	Kcnk10
Slc2a9	Pfas	Pprc1	Bbs12
Phka2	Scn3b	Stk10	Fam210b
Dcp2	Slc7a14	Cbr3	Col18a1
Nap1l1	Tmtc4	Plekhg5	Itpripl2
Miat	Atm	Synm	Dock10
2900026A02Rik	Galnt13	Fam188a	Rnf133
Pnck	Osbpl1a	Pdss1	Creb3l2
Cc2d1a	Rbbp5	Atp6v1a	Chil4
Rbbp5	Arhgap29	Plcg2	Ahnak
Kcnk1	Cdc42ep4	Slc45a4	H2-K1
Tnrc6c	Pdgfa	Skida1	Hsd3b3
Cbr3	Slc25a37	Rnasel	Tpm4
Agrn	E2f1	Mmp14	Inpp5f
Srrm4	Thbs3	Tle4	Sccpdh
Ppp1r16b	Dpyd	Bcor	Efnb1
Vav3	Cd44	5830418K08Rik	Dpp9
Ap1s1	Gla	Ubtd1	Abtb1
Oma1	Chsy3	Ube2e3	Cgref1
Card6	Tmem109	Med22	4430402I18Rik
Diras2	Gabrd	Dab1	Cpne1
Stx7	B4galt1	Rif1	Ccr10
Fhl2	Egfem1	Gss	Olfr1509
Sgk1	Plk2	Olfm4	Ctxn2
Prlr	Il17rd	Ltk	Tmem71
Dscam	Hpcal1	Arhgef3	Pdlim4
Lmna	Mllt11	Fbln2	Nacc2
Pip5k1c	Col11a2	6330403A02Rik	Ube2f
Tmod3	Efnb3	Rabgap1l	Negr1
Rasd2	Olfm2	Batf	Rassf5
Rif1	Emid1	Nudcd1	Gm10785
Arhgef3	Gda	Sparc	Stc1
Vipr1	Scn1b	Slc26a4	Slc25a18
Fam117a	Spock3	Zcchc10	Pramel7
Hus1	Batf3	Gucy1a2	Elovl5
Sema3a	Rps6ka2	2900026A02Rik	Fam129b
Slc41a2	Aven	Csf3	Ccdc40
Spag5	Me2	Evpl	Kank3
Col6a2	Slc35f4	Pter	Sepw1
Pnma2	Spata2	Mpc2	Rassf6
Ckap4	Galnt12	Cpne9	Klhl11
Aloxe3	B4galt2	Wsb2	Pir
Mlip	Ulk2	Mapk1	Gm11651
Gria2	Gss	Gzma	4930545L23Rik
Cish	Zmiz1	Cygb	Dicer1
Rnh1	Aspg	Lrp4	Esm1
Kndc1	Nckap1	Bach1	Cldn5
Rccd1	Sh3d19	Avp	L3mbtl2
Adamts9	Chrd	Chsy1	Acvr1c
Gpnmb	Idh1	Adcy1	Fam72a
Slc4a4	Gfra1	Ier5	Fam203a
A930033H14Rik	Adcy1	Polr1b	Cox8b
Klhl32	Amer3	Srl	Flna
Lhfp	Gsta4	Sstr2	Gm20754
Marcksl1	Car4	Prdm11	Wisp1
Dcc	Cabp7	Golt1b	Slc25a10
Tubb3	Stxbp1	Il1rapl1	Papola
B4galt2	Zfhx2	Acadl	4931406P16Rik
Sh3bp1	Ebf4	Efr3a	Fam117a
E130119H09Rik	Npy	Slc2a9	Traip
Rabgap1l	Otop2	1700028I16Rik	Pcdh8
Cgref1	Anxa4	Slc6a1	Lzts1
Pkp2	Matn2	Smarcd2	Mapk8ip1
Smpdl3b	Prkar2a	Pik3r1	Ak8
Ebf4	Lypd1	1700042G07Rik	Necab3
Pds5b	Idnk	Napa	Tbx18
Emid1	Serpinf1	Dcc	Tbx5
Tmem109	Icam4	Fbp2	Frat2
Smarcd2	Arsb	Gpr12	Asb18
Ndfip2	Pds5b	Sh3gl2	Irgm1
Gprc5b	Mapk10	Klf6	Zc3h10
Socs2	2310009B15Rik	Cdh20	Rnf152
Mtss1	Aifm3	Igsf9	Ccdc185
Gabrg2	Foxp2	Gpc2	Gm9899
Ano6	Slc45a4	Ap2a1	Slc39a8
Atp6v1b2	Meg3	Pld3	Spock3
Rhoq	Mgat5	Pogz	Col9a1
Rtfdc1	Tdrp	Clnk	Armcx3
Ubtd1	Gtl3	Zfp827	Bmp5
Mgat4a	Pgm2l1	Art2b	Spp2
Pdgfra	Lrrc8a	Zfp444	Dgke
Dsp	Myo18a	Lefty2	Lrrn3
Phf20l1	Traip	Chodl	Tgfb2
Nrsn2	LOC102632463	Utp14a	Ptgs2
Ube2e3	Srrm4	Klhl32	Rab36
St6galnac4	Cttn	Rtfdc1	Pcdh19
Hhip	Kctd4	Defb42	Prpf38b
Cabp7	Bhlhe40	Ppp1r18	Poteg
Galnt13	Jup	Mapk4	Csgalnact1
Cdc42ep4	Crocc	Fam13a	2810429I04Rik
Dab1	Dcp2	Gabrg2	Gjc1
Hrk	Phf20l1	Trp53inp2	Crispld2
Nt5dc2	Creg1	Sgsm2	Tspan5
Dlg5	Slitrk5	Tmpo	Man2b2
Prrt1	Otof	E2f1	Myl12a
Mgat5	Nptx2	Prkar1b	Mrgprb1
Fndc3a	Sstr4	Tspan33	Nudt16l1
Ptgs2	Gm11744	Hps1	Cldn8
Tmsb4x	Trak2	Noc3l	Dynap
Lrrc8a	Agrn	Zfhx4	Insm2
Tmpo	Ung	Idnk	Serpina3i
Apol8	Cyth1	Calb1	Apaf1
Sh3rf3	Pou2f1	Arhgef6	Sncaip
Npy	Bhlhe41	Atf6b	Gas5
