XFTU	SFTU	SFRC	SFNC	SFRN
Cd6	Ppp2r2c	Srpk1	Golim4	Cyp2b9
Cidea	Man1c1	St18	Pgam2	Cnksr3
Sema4g		Gstm6	Eml2	Casq2
Adamtsl1	Fhad1	Susd2	Ppme1	E2f7
Nt5c3	Ptk2b	Ephx4	Hdac1	Gm9112
Pak1	Rps26	Slc39a11	Tiam2	Ppm1j
Gipc1	Pkp2	Tor1a	Asap1	Setdb2
Nhsl1	Trpc4	Pkp2	Chst8	Psmc2
Mcmbp	Ptpn5	Cdc42bpa	Enox2	Cphx
Bloc1s1	Lxn	Ptpn5	Trpc3	Clec4a2
Stard13	Pak1	Cdk5r1	Akt2	Pax9
Tmem35	Egln3	Dpp4	Bri3bp	B3gnt2
Etv6	Gm13889	Tacc1	Dchs1	Gm10324
Plk3	Hs3st5	Fap	Doc2a	Wnt7b
Drp2	Tacr3	Glcci1	Tle6	2010109A12Rik
Kntc1	St8sia5	Fscn1	Pitpna	Bend6
Smarca2	Cx3cl1	Uba52	Mgll	Wt1
Hs3st5	Tle6	Chd9	Cdhr1	
Tiam2	Efs	Tmem120a	Fap	Otx1
Haus4	Lactb	Cnih2	Smarca2	5530601H04Rik
Tead1	Akt2	Slc30a4	Ptprz1	
Il1rapl1	Bves	Lrrn2	Serpina3n	Phkb
Fam20c	Gabra2	Wnt9a	Numb	Ucp1
Il1r1	Prickle3		BC046404	1700048O20Rik
Gkap1	Tmem196	Npy	Ppm1b	Cntn4
Acvr1b	Mcmbp	Aloxe3	Cacng3	Prkcz
Coch	Kbtbd11	Dgat2	Sigmar1	Cpne3
Rarres1	Numb	Pgam2	Spr	Hipk3
Tle6	1700019N12Rik	Krt1	Hbegf	1200011M11Rik
St8sia5	Fbxw7	Pparg	Kbtbd11	Gad1
Limch1	Cyfip1	Sigmar1	Galntl4	Il2rg
Il16	Slc9a2	Ppm1b	Npy	Slc47a2
Hdc	Plcb4	H2-Ke6	Ptpre	Mcm10
6530401D17Rik	Paqr6	Eef1a1	Tmem120a	
Ecm2	Gcnt2	Fbxw7	4930447C04Rik	Nr1h5
Amot	Csrnp1	Zfp316	Srpk1	Bub1b
Stk32c	Kif3c	Egln3	Fscn1	Prkd2
5730469M10Rik	Tcfap2b	Pnck	Kctd6	Sh3bgrl3
Inpp4b	Ankrd40	Prlr	Arhgef26	Limk1
Ccbp2	Mybpc3	Abcd2	Nr3c2	Wnt3a
Spag5	Grk5	Ttc39b	Tacr3	
Srpk1	Ndufa3	Snrnp40	Actn4	Pstpip1
Prelid1	Il17rd	Rph3al	Boc	Lrg1
Scrn1	Adrb3	Kif3c	Slc4a4	Bmyc
Trpv2		Naprt1	Stx4a	Map3k15
Zfp365	Ccdc113	Get4	Il16	Alkbh1
Gabra5	Mcm4	Ptpre	Vti1b	Fbxl3
Gm4838	Lck	Prex1	Allc	Wrn
Lap3	Cxxc5	Gpr153	Ttl	Grhl1
Blnk	Rasgrf1	Plk3	Uck2	Frmd5
Kcnmb4	Ptprz1	1700019N12Rik	Med27	Rnf103
Mapk6	Hdac1	B3gat2	B3galt5	Mid1
Wnt9a	Tiam1	Tacr3	Rnf38	Negr1
	Glcci1	Prkaa1	Afap1l1	Cyp4a31
Matn4	Accn1	4930447C04Rik	Snrnp40	Slc4a4
Sun1	5033430I15Rik	Lyrm2	Spint1	Tmem150b
Vasn	Kcnmb4	Prdm8	Fbxo17	Dscaml1
Kcnj4	Derl1	Ptprz1	Rpl18a	Adck5
Golim4	Ehd3	Spr	Pnck	Gemin7
Slc22a1	Myh1	Vasn	Stx1a	Diablo
B3gat2	Racgap1	Il16	Cdk5r1	Crnkl1
Cinp		Enox2	Klf7	Ggcx
Gna13	Dgat2	Stx1a	Gm13889	Psp
Cdhr1	Slc30a4	Cd34	Ap1s2	
Zap70	Serpina3n	Rnf38	Slc39a11	Nqo2
Ppap2b	Mtfp1	Fbxo17		Thnsl1
Acap3	Adra2c	Slc39a10	Aldh1a3	AI836003
Smad5	B3galt5	Doc2a	Ptgs1	Il1r1
Fap	Bri3bp	Gaa	Naprt1	Foxp2
Ehd3	Tmem150c	Limk1	3110035E14Rik	Stmn3
Clstn2	H2-Ke6	Gm13889	Syt6	Mapk4
Jakmip1	Ccbp2	D330012F22Rik	Tm6sf1	Zfp326
Kcnh1	Pitpna	Rev3l	Htr3a	Wnt10a
Kcng2	Pcp4	Scrn1	Pgm2	Acly
Gucy1b3	Wnt9a	Cblb	Clstn1	BC147527
Rps15a	Rerg	Lamb1	Sema3a	Pptc7
Kcnk4	Sparc	Efs	Clu	Lrrc67
Lxn	Il17ra	Cry2	Krt1	Sytl3
Asb11	Cabp1	Rplp1	Rogdi	Pdzd7
