XFTU	SFTU	SFRC	SFNC	SFRN
Hrasls	Lct	5033430I15Rik	Kcnb1	D430041D05Rik
Wdr82	Lrrn4	Elmod3		
Cckbr	Mtap4		Rph3a	Tnrc6a
Rab6b	Twf2	Tbc1d8b	Slc26a11	Bag1
Nsa2	Lmna	Nrsn2	Efhd2	Htr2b
Slc12a6	Il1r1	Rgs4	5730469M10Rik	Hey2
Lmo3	Pnma3	Top1mt	Bdh2	A430110N23Rik
Anapc16	Haus4		Gabrg3	F7
Clstn1	Rnf38	Ttc39c	Il17ra	Actl7a
Mycl1	Padi2	Dnajb5	Slc24a3	
D3Bwg0562e	Smc4	Efhd2	Ermp1	
Gm14496	Slc7a14		Elmod3	
Ephx3	Rgnef	Ednra	Syt6	
Lct	Zmiz2	Kcnmb4	Tspan33	
Gabra5	Arrb1	Foxo6	Bcl11b	
Pla2g12a	Grk5	Josd1	Hdlbp	
Lxn	Sgtb	Rab34	Myo1b	
Dscaml1	Ckb	Kcnj4	Cry2	
Cym	Hrasls			
Rab11fip4	Trpv2	Psmc5	Slc35f2	
Tiam2	Adrb3	Asl	Twf2	
Cacng3	Ermp1	Htr2a	Gm5623	
Kit	Csnk1e	Cyp7b1	Dusp3	
Arntl2	Slc29a4	Gria1	Cav3	
Zfp945	5730469M10Rik	Hdc	Plcl2	
Rhebl1	H3f3a	Lrrk2	Pip4k2c	
Cav3	Lrrn3	Gprasp2	Pkp2	
Plk3	Dbi	Rph3a		
Prkg1	Acp5	Tgfbr3	Trpv2	
Abcb4	D10Jhu81e	Zfpm1	Lamb1	
Rgs12	Myo18a	Scube1	Il18	
Haus4	Tmsb4x	Kndc1	Epha6	
Cx3cl1	Btg1	Nrip2	Lrrn3	
Cry2	Cradd	1700045I19Rik	Frem3	
Rspo1	Blnk	Gm5468	Poln	
Fap	S100a6	Nsun7	Ppm1a	
Pld2	Smad5	Actn1	Grk5	
Arl4c	Wdfy4	Orc3	Zfpm1	
4933440N22Rik	Cidea	C530028O21Rik	Lmna	
Ramp2	Cgrrf1	Slc4a4	Ipcef1	
Cd7	Plcl2	Ormdl1	Rpl18a	
Btbd10	Lrrk2	Efna1	Gprasp2	
Smad5	Lyrm2	Pias4	Jdp2	
Tle6	Ppm1a	Map4k2	Rpl6	
Tead1	Gipc1	Prokr2	Srp14	
Wnt9a	Nos1ap	Tspan33	St6galnac5	
Txn1	Sh2d5	D16Ertd472e	Hic2	
Crhr2	Slc22a1	Twf2	Rcn3	
	Elmod3	Ivns1abp	Abcd2	
Rab3a	1700073E17Rik	H3f3a	Bves	
Fam136a	Cdk2ap1	2310009B15Rik	Cyp7b1	
Sec61b		Lrrc2	Serpina3n	
Foxo6	Rangap1	Kcng2	Gkap1	
Actb	Slc30a4	Sox5	Kcnj14	
Dusp3	Orc3	Tbr1	Egr1	
Crls1	Gprasp2	Phf20	Prokr2	
Slc39a11	Trib1	Zfp503	Emx1	
Fbxo39	Prlr	Grp	Ralyl	
Hdac1	Rerg	Aldh1a7	Fdx1	
Slc9a1	Stard13	Egr1	Pdk2	
Slc27a3	Serpina3g	Slc4a11	Dtx4	
4932438A13Rik	Kcng2	Hmgn2	Rfk	
Sigmar1	Crh	Gm5623	Cnn3	
Whsc1	Lcat	Mcm6	Htr2a	
Slc35f2	Adc	Zfp523	Doc2a	
Rab27a	Slc35f2	Rnf38	Kcnh4	
Rbpj	Foxo6	Man1c1	Slc7a14	
Sparc	Gabra5	Lpl	D3Bwg0562e	
1700045I19Rik	Tacr3	Plcd4	Trim71	
Ubb	Gpr133	Selm	Fut9	
Frmd4b	Tbr1	Sema7a	Phgdh	
Myh2	Rgs4	Epb4.1l4b	Scube1	
Tyro3	Ggct	Smad5	Cdkn1a	
Trp73	Prdm5	Lrrc59	Uap1	
Otud1	Nol4	Kcnj12	Mtfp1	
Pex10	D16Ertd472e	Tmem150c	5033430I15Rik	
Trnt1	Gmppb	Anp32b	St8sia4	
Vit	Tm6sf1	Trpv2	Dbi	
Ncdn	Erlin2	Pnrc2	Cdk5r1	
Fxn	Hmgn5	Grk5	Bcar3	
Uap1	Wdr61	Lyrm2	Ccbp2	
Phgdh	Xpa	4931429I11Rik	Tmem150c	
Ehd1	Ppapdc3	Ppm1h	Gria1	
Peli1	Egln3	Doc2a	Grp	
Csrp2bp	Slc9a1	Ryr3	Cyp4b1	
Zranb1	Rchy1	E130309F12Rik	Ripk3	
Tgs1	4933439C10Rik	Gnpat	Mef2d	
Hyal2	Rab27a	Serpina3i	Rnf144a	
Rap1gap	Comt	Serpina3n	Il1r1	
Lcat		Cks1b	Rab11fip4	
Mamdc2	Ccno	Blnk	Rftn1	
Ppapdc1a	Klhl13	Emx1	Atp13a4	
Vgf	Cap2	Wisp1	Ormdl2	
B4galt6	Vti1b	D10Jhu81e	Nampt	
Garnl3	Cd34	Myo18a	Zfp945	
Rock2	Gabrd	Klhl13	Lyrm2	
	Emx1	Unc5c	Ckb	
Eps8	Kcnk3	Lrrc8b	Ecm2	
Tmem120a	B3galt5	Slc30a4	Ppapdc3	
Grp	D17Wsu92e	Gabra5	Derl1	
Nuf2	Ralyl	Klhdc8b	Ube2o	
Kbtbd11	Ivns1abp		Mtap4	
Fhl2	Dcn	Frem3	Sema7a	
		Ripk3	Ngfr	
Cpe		Hivep2	Lmln	
Afap1l1	Gchfr	Cgrrf1	Cwh43	
Slit1	Zfpm1	Ggct	Ifi203	
Cby3	Il17ra	Kcnh4	Gm6816	
Ambra1	Eps8	Mtap4	Echs1	
Oxtr	Gm561	Il16	D130043K22Rik	
Grhl1	Zfp963	Fam116b	Gnpat	
